Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	1469	1469	1469	1469	1469	1476 
Apache	HBASE	836	836	836	836	836	839 
Apache	HIVE	1241	1241	1241	1241	1241	1261 
Commons	CODEC	42	42	42	42	42	42 
Commons	COLLECTIONS	92	92	92	92	92	90 
Commons	COMPRESS	113	113	113	113	113	113 
Commons	CONFIGURATION	133	133	133	133	133	135 
Commons	CRYPTO	8	8	8	8	8	8 
Commons	CSV	14	14	14	14	14	14 
Commons	IO	91	91	91	91	91	91 
Commons	LANG	217	217	217	217	217	217 
Commons	MATH	245	245	245	245	245	245 
Commons	WEAVER	2	2	2	2	2	2 
JBoss	ENTESB	47	47	47	47	47	47 
JBoss	JBMETA	26	26	26	26	26	26 
Spring	AMQP	108	108	108	108	108	108 
Spring	ANDROID	11	11	11	11	11	11 
Spring	BATCH	432	432	432	432	432	432 
Spring	BATCHADM	20	20	20	20	20	20 
Spring	DATACMNS	158	158	158	158	158	158 
Spring	DATAGRAPH	60	60	60	60	60	60 
Spring	DATAJPA	147	147	147	147	147	147 
Spring	DATAMONGO	271	271	271	271	271	272 
Spring	DATAREDIS	49	49	49	49	49	49 
Spring	DATAREST	132	132	132	132	132	132 
Spring	LDAP	53	53	53	53	53	53 
Spring	MOBILE	11	11	11	11	11	11 
Spring	ROO	714	714	714	714	714	720 
Spring	SEC	541	541	541	541	541	542 
Spring	SECOAUTH	101	101	101	101	101	101 
Spring	SGF	107	107	107	107	107	107 
Spring	SHDP	45	45	45	45	45	45 
Spring	SHL	11	11	11	11	11	11 
Spring	SOCIAL	15	15	15	15	15	15 
Spring	SOCIALFB	15	15	15	15	15	15 
Spring	SOCIALLI	4	4	4	4	4	4 
Spring	SOCIALTW	8	8	8	8	8	8 
Spring	SPR	130	130	130	130	130	135 
Spring	SWF	134	134	134	134	134	134 
Spring	SWS	174	174	174	174	174	173 
Wildfly	ELY	25	25	25	25	25	25 
Wildfly	SWARM	58	58	58	58	58	59 
Wildfly	WFARQ	1	1	1	1	1	1 
Wildfly	WFCORE	361	361	361	361	361	361 
Wildfly	WFLY	984	984	984	984	984	986 
Wildfly	WFMP	3	3	3	3	3	3 
Previous	AspectJ	286	286	286	286	284	244
Previous	JDT	94	94	94	94	94	94
Previous	PDE	60	60	60	60	60	60
Previous	SWT	98	98	98	98	98	98
Previous	ZXing	20	20	20	20	20	20
