Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	72	0.3333	1.0000	0.0769	0.0769	0.1429	0.3333
Apache	CAMEL	81	0.2500	0.3333	0.1667	0.1667	0.3333	0.5000
Apache	CAMEL	85	0.5000	1.0000	0.1667	0.1667	1.0000	0.5000
Apache	CAMEL	103	0.3017	0.1890	0.6500	0.6875	0.2045	0.5441
Apache	CAMEL	105	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	112	0.0069	0.0109	0.0347	0.0347	0.0148	0.0456
Apache	CAMEL	123	0.0046	0.0049	0.0019	0.0019	0.0000	0.0132
Apache	CAMEL	140	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	154	0.2276	0.2976	0.1989	0.1989	0.2442	0.2619
Apache	CAMEL	158	0.1815	0.2136	0.1433	0.1433	0.1459	0.3098
Apache	CAMEL	161	0.0045	0.0044	0.0020	0.0132	0.0062	0.0094
Apache	CAMEL	166	0.0227	0.0208	0.0833	0.0833	0.0115	0.0286
Apache	CAMEL	171	0.4667	0.4074	0.1204	0.1204	0.6667	0.4444
Apache	CAMEL	173	0.5588	0.5524	0.2840	0.2781	0.7178	0.4411
Apache	CAMEL	189	1.0000	1.0000	0.2500	0.5000	0.5000	1.0000
Apache	CAMEL	191	0.3333	0.2500	0.2000	0.2000	0.1429	0.5000
Apache	CAMEL	194	0.0417	0.0588	0.0588	0.0588	0.5000	0.0588
Apache	CAMEL	197	0.0881	0.0947	0.1117	0.1187	0.0621	0.3469
Apache	CAMEL	203	0.2000	0.2000	0.0588	0.0588	0.5000	0.5000
Apache	CAMEL	210	0.0031	0.0035	0.0066	0.0064	0.0085	0.0198
Apache	CAMEL	211	0.0093	0.0111	1.0000	1.0000	0.8333	1.0000
Apache	CAMEL	224	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667
Apache	CAMEL	232	0.0241	0.0505	0.0608	0.0608	0.0077	0.0564
Apache	CAMEL	247	0.0983	0.1832	0.2268	0.2268	0.0810	0.3431
Apache	CAMEL	257	0.2501	0.3433	0.6000	0.6000	0.4686	0.6095
Apache	CAMEL	261	0.4856	0.5783	0.3669	0.3669	0.5506	0.4678
Apache	CAMEL	271	0.3333	1.0000	0.5000	0.5000	0.5000	0.3333
Apache	CAMEL	297	0.0458	0.0421	0.5250	0.5263	0.0294	0.2143
Apache	CAMEL	304	0.0775	0.2798	0.0088	0.0088	0.5851	0.0136
Apache	CAMEL	307	0.1894	0.1404	0.5175	0.5167	0.5286	0.0732
Apache	CAMEL	320	0.5000	0.5000	1.0000	1.0000	1.0000	0.3333
Apache	CAMEL	324	0.4176	0.4178	0.1050	0.1050	0.3125	0.3232
Apache	CAMEL	329	0.0050	0.0052	0.0128	0.0128	0.0055	0.0477
