Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	72	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	81	0.2500	0.3333	0.1667	0.1667	0.3333	0.5000
Apache	CAMEL	85	0.5000	1.0000	0.1667	0.1667	1.0000	0.5000
Apache	CAMEL	103	0.4022	0.2520	0.8667	0.9167	0.2727	0.7255
Apache	CAMEL	105	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	112	0.0092	0.0146	0.0463	0.0463	0.0197	0.0608
Apache	CAMEL	123	0.0046	0.0049	0.0019	0.0019	0.0000	0.0132
Apache	CAMEL	140	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	154	0.3199	0.4182	0.2725	0.2725	0.3489	0.3534
Apache	CAMEL	158	0.1337	0.1573	0.1580	0.1580	0.1694	0.2827
Apache	CAMEL	161	0.0045	0.0044	0.0020	0.0132	0.0062	0.0094
Apache	CAMEL	166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	171	0.7000	0.6111	0.1806	0.1806	1.0000	0.6667
Apache	CAMEL	173	0.6667	0.7024	0.3054	0.3019	0.6970	0.5500
Apache	CAMEL	189	1.0000	1.0000	0.2500	0.5000	0.5000	1.0000
Apache	CAMEL	191	0.3333	0.2500	0.2000	0.2000	0.1429	0.5000
Apache	CAMEL	194	0.0417	0.0588	0.0588	0.0588	0.5000	0.0588
Apache	CAMEL	197	0.0311	0.0363	0.0473	0.0525	0.0371	0.2573
Apache	CAMEL	203	0.2000	0.2000	0.0588	0.0588	0.5000	0.5000
Apache	CAMEL	210	0.0038	0.0044	0.0086	0.0083	0.0127	0.0271
Apache	CAMEL	211	0.0093	0.0111	1.0000	1.0000	0.8333	1.0000
Apache	CAMEL	224	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667
Apache	CAMEL	232	0.0146	0.0316	0.0487	0.0487	0.0045	0.0438
Apache	CAMEL	247	0.1452	0.2718	0.3239	0.3239	0.1056	0.5000
Apache	CAMEL	257	0.2501	0.3433	0.6000	0.6000	0.4686	0.6095
Apache	CAMEL	261	0.4856	0.5783	0.3669	0.3669	0.5506	0.4678
Apache	CAMEL	271	0.3333	1.0000	0.5000	0.5000	0.5000	0.3333
Apache	CAMEL	297	0.0101	0.0143	1.0000	1.0000	0.0588	0.0476
Apache	CAMEL	304	0.0775	0.2798	0.0088	0.0088	0.5851	0.0136
Apache	CAMEL	307	0.1894	0.1404	0.5175	0.5167	0.5286	0.0732
Apache	CAMEL	320	0.5000	0.5000	1.0000	1.0000	1.0000	0.3333
Apache	CAMEL	324	0.5556	0.5556	0.1389	0.1389	0.4167	0.4286
Apache	CAMEL	329	0.0050	0.0052	0.0128	0.0128	0.0055	0.0477
Apache	CAMEL	340	0.0778	0.1488	0.5714	0.5714	0.2885	0.0696
Apache	CAMEL	352	0.1296	0.1043	0.1705	0.1705	0.5000	0.5075
Apache	CAMEL	363	0.2671	0.3966	0.1393	0.1393	0.3639	0.5588
Apache	CAMEL	370	0.4147	0.4238	0.8667	0.8667	0.6667	1.0000
Apache	CAMEL	373	0.0270	0.0123	0.0185	0.0185	0.0333	0.0345
Apache	CAMEL	374	1.0000	1.0000	0.1667	0.1667	1.0000	1.0000
Apache	CAMEL	380	0.1422	0.1884	0.2429	0.2429	0.0947	0.0106
Apache	CAMEL	383	0.9500	1.0000	0.7292	0.7292	0.5667	1.0000
Apache	CAMEL	384	0.0597	0.1172	0.0383	0.0383	0.0578	0.0717
Apache	CAMEL	388	0.5000	1.0000	0.3333	0.3333	0.5000	0.2500
Apache	CAMEL	404	0.0531	0.0525	0.0119	0.0119	0.0033	0.1228
Apache	CAMEL	410	0.3062	0.3408	0.0657	0.0671	0.3334	0.3058
Apache	CAMEL	412	0.5000	0.5000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	415	0.0379	0.0460	0.0559	0.0559	0.0305	0.0935
Apache	CAMEL	420	0.0623	0.0665	0.0597	0.0597	0.5000	0.1250
Apache	CAMEL	430	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	457	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	461	0.0714	0.5000	0.0588	0.0556	0.3333	1.0000
Apache	CAMEL	462	0.0448	0.0978	0.0763	0.0763	0.2897	0.3444
Apache	CAMEL	476	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	482	0.3694	0.4778	0.6270	0.6389	0.5317	0.1708
Apache	CAMEL	498	0.0357	0.0833	0.1250	0.1250	0.1667	0.1250
Apache	CAMEL	499	0.0323	1.0000	0.0833	0.0833	1.0000	1.0000
Apache	CAMEL	504	0.6693	0.6650	0.7317	0.7317	0.7214	1.0000
Apache	CAMEL	505	0.0539	0.0655	0.0469	0.0466	0.1089	0.0988
Apache	CAMEL	510	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	517	0.1158	0.1185	0.1718	0.1990	0.0302	0.1633
Apache	CAMEL	518	1.0000	0.5000	0.2500	0.2500	0.1667	0.0435
Apache	CAMEL	519	0.5000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	CAMEL	520	0.2852	0.3549	0.4394	0.4394	0.3814	0.1666
Apache	CAMEL	522	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	524	0.3376	0.5297	0.3594	0.3594	0.3706	0.5153
Apache	CAMEL	528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	534	0.2262	0.5833	0.2262	0.2262	0.3095	0.2667
Apache	CAMEL	536	0.9167	0.7556	1.0000	1.0000	0.9167	0.5940
Apache	CAMEL	537	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	547	0.2901	0.2687	0.0706	0.0690	0.2728	0.2631
Apache	CAMEL	548	0.0078	0.0572	0.0094	0.0093	0.1293	0.0180
Apache	CAMEL	549	0.2000	0.3333	0.2500	0.2500	0.0058	1.0000
Apache	CAMEL	550	0.0328	0.0717	0.0256	0.0251	0.1554	0.0617
Apache	CAMEL	551	0.3929	0.2500	0.0635	0.0635	0.1357	0.5833
Apache	CAMEL	558	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	561	0.0020	0.0018	0.0047	0.0047	0.0000	0.0015
Apache	CAMEL	562	0.5015	0.5016	0.0064	0.0064	0.5027	0.1681
Apache	CAMEL	566	0.5000	1.0000	0.0500	0.0500	0.2500	0.5000
Apache	CAMEL	567	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	574	0.1667	0.1667	0.1667	0.1667	0.2500	0.5000
Apache	CAMEL	577	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	581	0.1318	0.0908	0.2548	0.2548	0.0910	0.0150
Apache	CAMEL	583	0.0588	0.0500	0.0208	0.0208	0.0476	0.2500
Apache	CAMEL	584	0.0036	0.0043	0.0270	0.0238	0.0145	0.0208
Apache	CAMEL	587	0.2470	0.2665	0.2631	0.2631	0.0845	0.2353
Apache	CAMEL	593	0.0085	0.0128	0.0058	0.0058	0.0043	0.0173
Apache	CAMEL	597	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	612	0.5000	0.3333	0.0909	0.0909	0.5000	0.5000
Apache	CAMEL	618	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	620	0.5000	1.0000	0.2000	0.2000	1.0000	1.0000
Apache	CAMEL	629	0.7556	0.9167	0.0377	0.0377	0.3889	0.5317
Apache	CAMEL	631	0.1440	1.0000	0.1226	0.1226	0.7000	0.4111
Apache	CAMEL	634	0.3056	0.3304	0.3346	0.3346	0.3522	0.1718
Apache	CAMEL	636	0.4802	0.1878	1.0000	1.0000	0.4242	0.4667
Apache	CAMEL	642	0.0597	0.1082	0.0387	0.0385	0.0793	0.0573
Apache	CAMEL	651	0.4515	0.3446	0.6134	0.6133	0.3407	0.3914
Apache	CAMEL	653	0.8333	0.5435	0.7500	0.7500	1.0000	0.6429
Apache	CAMEL	655	0.5000	1.0000	0.5092	0.5092	0.5031	0.0940
Apache	CAMEL	657	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	664	0.2000	0.5000	0.1000	0.1000	0.1429	0.0833
Apache	CAMEL	667	0.3333	1.0000	0.3333	0.3333	1.0000	1.0000
Apache	CAMEL	675	0.1111	1.0000	0.0333	0.0333	1.0000	0.0400
Apache	CAMEL	677	0.0732	0.0573	0.1714	0.1714	0.0416	0.1714
Apache	CAMEL	679	0.2917	0.5667	0.2652	0.2652	0.5556	0.0926
Apache	CAMEL	685	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	686	0.1108	0.3866	0.1495	0.1495	0.1155	0.6979
Apache	CAMEL	688	0.0525	0.1035	0.0291	0.0339	0.0254	0.0836
Apache	CAMEL	691	1.0000	1.0000	0.3333	0.3333	1.0000	0.5000
Apache	CAMEL	694	0.2509	0.5009	0.1268	0.1267	0.0833	0.5034
Apache	CAMEL	695	0.1667	0.3333	0.3333	0.3333	1.0000	0.1250
Apache	CAMEL	696	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	697	0.1111	0.0400	0.2500	0.2500	0.0625	0.0238
Apache	CAMEL	701	0.0233	0.0667	0.2500	0.2500	0.0417	0.0714
Apache	CAMEL	702	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	707	0.8333	0.8333	0.0516	0.0516	0.1875	0.5714
Apache	CAMEL	710	1.0000	0.5000	1.0000	1.0000	0.2000	1.0000
Apache	CAMEL	712	0.5000	0.5000	0.5000	0.5000	0.2000	1.0000
Apache	CAMEL	713	0.5093	0.5061	0.0086	0.0086	0.5455	0.5033
Apache	CAMEL	715	0.0043	0.0041	0.0093	0.0093	0.0033	0.0417
Apache	CAMEL	718	0.1000	0.0313	0.0417	0.0417	0.0238	0.2000
Apache	CAMEL	727	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	737	0.0237	0.0508	0.0343	0.0618	0.0370	0.1843
Apache	CAMEL	738	0.2569	0.1982	0.1519	0.1477	0.0876	0.2442
Apache	CAMEL	741	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	747	0.1000	0.1250	0.3333	0.3333	0.1250	1.0000
Apache	CAMEL	755	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	758	0.3708	0.3752	0.1102	0.1102	0.1430	0.5286
Apache	CAMEL	763	0.0170	0.0303	0.0410	0.0410	0.1933	0.0429
Apache	CAMEL	765	1.0000	1.0000	0.0625	0.0625	1.0000	1.0000
Apache	CAMEL	773	0.0476	0.3333	0.2000	0.2000	0.1111	0.2500
Apache	CAMEL	774	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	777	0.1905	0.5370	0.3333	0.3333	0.5769	0.5833
Apache	CAMEL	782	0.0202	0.0319	0.0294	0.0292	0.0592	0.0136
Apache	CAMEL	792	1.0000	1.0000	0.3333	0.5000	0.5000	1.0000
Apache	CAMEL	793	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	794	0.0556	0.0909	0.0588	0.0588	0.0588	0.0132
Apache	CAMEL	795	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	803	0.7500	1.0000	0.5833	0.5833	0.6000	0.4500
Apache	CAMEL	806	0.2028	0.3062	0.1298	0.1298	0.5002	0.0703
Apache	CAMEL	807	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	811	0.1326	0.0731	0.0933	0.0932	0.1278	0.2361
Apache	CAMEL	818	0.1429	0.2500	1.0000	1.0000	0.2500	0.1667
Apache	CAMEL	826	0.4950	0.4023	0.2447	0.2448	0.5327	0.2895
Apache	CAMEL	834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	842	0.1667	0.1111	0.1250	0.1250	0.5000	0.2000
Apache	CAMEL	849	0.0795	0.1230	0.1142	0.1144	0.0792	0.1515
Apache	CAMEL	851	1.0000	0.8333	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	857	0.6250	0.7000	1.0000	1.0000	1.0000	0.8333
Apache	CAMEL	858	0.0238	0.0309	0.2862	0.2863	0.5631	0.0229
Apache	CAMEL	860	0.5000	0.3333	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	871	0.2801	0.3239	0.1828	0.1828	0.2807	0.3129
Apache	CAMEL	873	0.0916	0.1223	0.2429	0.2429	0.1563	0.2816
Apache	CAMEL	879	0.0374	0.0833	0.0437	0.0437	0.1090	0.1420
Apache	CAMEL	880	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	881	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	882	1.0000	1.0000	0.5000	0.5000	1.0000	0.3333
Apache	CAMEL	885	0.3490	0.3547	0.0925	0.0925	0.4061	0.3415
Apache	CAMEL	886	0.1429	0.0909	0.3333	0.3333	0.3333	0.0455
Apache	CAMEL	890	0.3333	0.0667	0.3333	0.3333	0.3333	0.0625
Apache	CAMEL	894	0.3214	0.3735	0.1816	0.1816	0.1576	0.4795
Apache	CAMEL	901	0.1055	0.1209	0.2556	0.2549	0.2565	0.1306
Apache	CAMEL	902	0.0076	0.0051	0.0661	0.0661	0.0623	0.1417
Apache	CAMEL	906	0.2978	0.4670	0.8667	0.8667	0.5556	0.9167
Apache	CAMEL	912	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	914	0.3333	0.2500	0.5000	0.5000	0.5000	0.3333
Apache	CAMEL	919	0.3331	0.2853	0.2593	0.2593	0.3500	0.4750
Apache	CAMEL	920	0.3333	1.0000	1.0000	1.0000	0.5000	0.5000
Apache	CAMEL	921	0.3345	0.3420	0.0387	0.0387	0.3333	0.3346
Apache	CAMEL	922	0.0121	0.0097	0.1402	0.1402	0.0000	1.0000
Apache	CAMEL	925	0.7667	0.7292	0.4100	0.4100	0.6556	0.7255
Apache	CAMEL	927	0.1250	0.1250	0.0500	0.0500	0.5000	0.5000
Apache	CAMEL	934	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	939	0.0011	0.0011	0.0000	0.0000	0.0031	0.0417
Apache	CAMEL	942	1.0000	1.0000	0.2500	0.2500	1.0000	0.1250
Apache	CAMEL	958	0.0989	0.1201	0.1159	0.1158	0.1270	0.0815
Apache	CAMEL	969	0.5000	1.0000	0.2500	0.2500	1.0000	0.5000
Apache	CAMEL	970	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	973	0.0024	0.0024	0.0139	0.0141	0.0400	0.0476
Apache	CAMEL	974	0.2509	0.2510	0.5625	0.5476	0.5217	0.5833
Apache	CAMEL	980	0.0033	0.0030	0.0046	0.0046	0.0000	0.0036
Apache	CAMEL	983	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	1001	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	1003	0.0526	0.0333	0.5000	0.5000	0.1111	0.2500
Apache	CAMEL	1021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	1023	0.1700	0.1733	0.3373	0.3373	0.0858	0.0408
Apache	CAMEL	1027	0.6000	0.6667	0.2250	0.2250	0.7000	1.0000
Apache	CAMEL	1034	1.0000	0.8333	1.0000	1.0000	1.0000	0.5833
Apache	CAMEL	1037	0.2260	0.2750	0.1850	0.1850	0.4744	0.4982
Apache	CAMEL	1053	0.4275	0.6254	0.6323	0.6323	0.5243	0.5422
Apache	CAMEL	1054	0.4112	0.3987	0.5473	0.5472	0.2507	0.5798
Apache	CAMEL	1057	0.5000	1.0000	0.5000	0.5000	1.0000	0.5000
Apache	CAMEL	1062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	1063	0.1743	0.1384	0.6250	0.6250	0.3076	0.6000
Apache	CAMEL	1070	0.5000	0.5000	0.2500	0.2500	0.5000	0.5000
Apache	CAMEL	1074	1.0000	1.0000	0.6429	0.6429	1.0000	1.0000
Apache	CAMEL	1080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	1088	0.0939	0.0793	0.2124	0.2124	0.0940	0.1743
Apache	CAMEL	1090	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	1091	0.2573	0.2639	0.5092	0.5092	0.1738	0.3409
Apache	CAMEL	1093	0.1276	0.1746	0.0827	0.0823	0.1040	0.0133
Apache	CAMEL	1095	0.1350	0.2172	0.0585	0.0583	0.2353	0.5026
Apache	CAMEL	1103	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	1107	0.1840	0.2914	0.2534	0.2534	0.5021	0.5600
Apache	CAMEL	1108	0.5000	0.5000	0.3333	0.3333	0.3333	1.0000
Apache	CAMEL	1111	0.2696	0.3479	0.2339	0.2339	0.5112	0.5950
Apache	CAMEL	1118	0.8333	0.7500	0.8333	0.8333	1.0000	0.5667
Apache	CAMEL	1119	0.1000	0.0769	0.1250	0.1250	0.0833	0.5000
Apache	CAMEL	1122	0.3333	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	CAMEL	1125	0.5007	0.5007	0.5114	0.5114	0.5000	0.5009
Apache	CAMEL	1131	0.5667	0.5370	0.5476	0.5476	0.5345	1.0000
Apache	CAMEL	1135	0.0055	0.0067	0.0185	0.0179	0.0167	0.0050
Apache	CAMEL	1140	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	1144	0.0014	0.0038	0.0009	0.0009	0.0034	0.0004
Apache	CAMEL	1145	1.0000	1.0000	0.0313	0.0313	1.0000	0.3333
Apache	CAMEL	1150	0.5005	0.5006	0.5013	0.5013	0.2500	0.5007
Apache	CAMEL	1187	0.5051	0.5094	0.5077	0.5077	0.5204	0.2722
Apache	CAMEL	1188	0.0026	0.0034	0.0036	0.0036	0.0052	0.0067
Apache	CAMEL	1190	0.2000	0.3333	0.1111	0.1111	1.0000	1.0000
Apache	CAMEL	1193	0.3333	0.3333	0.5000	0.5000	0.3333	0.3333
Apache	CAMEL	1196	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	1199	1.0000	0.5000	1.0000	1.0000	1.0000	0.1111
Apache	CAMEL	1205	0.0031	0.0058	0.0033	0.0033	0.0046	0.0046
Apache	CAMEL	1207	0.1111	0.0588	0.1667	0.1667	0.1000	1.0000
