Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	0.3706	0.4158	0.3682	0.3716	0.3665	0.4501
Apache	HBASE	0.3453	0.3796	0.3303	0.3299	0.3561	0.3952
Apache	HIVE	0.2893	0.3365	0.3050	0.3054	0.2775	0.3432
Commons	CODEC	0.7060	0.6704	0.7030	0.7030	0.7019	0.6820
Commons	COLLECTIONS	0.5846	0.6437	0.4278	0.4278	0.6614	0.6790
Commons	COMPRESS	0.6432	0.6685	0.5751	0.5702	0.7054	0.6916
Commons	CONFIGURATION	0.6369	0.6576	0.5032	0.5116	0.6934	0.5511
Commons	CRYPTO	0.1610	0.1692	0.1950	0.1950	0.1545	0.0847
Commons	CSV	0.6142	0.5740	0.5714	0.5714	0.5000	0.6381
Commons	IO	0.7757	0.7944	0.6577	0.6576	0.7994	0.7299
Commons	LANG	0.5998	0.6099	0.5506	0.5504	0.6713	0.5870
Commons	MATH	0.4127	0.4631	0.4649	0.4746	0.4833	0.3968
Commons	WEAVER	0.4091	0.4404	0.5327	0.5327	0.6042	0.2757
JBoss	ENTESB	0.0412	0.0234	0.0477	0.1080	0.0118	0.0559
JBoss	JBMETA	0.2237	0.2360	0.1759	0.1770	0.2111	0.2520
Wildfly	ELY	0.0625	0.0672	0.1098	0.1098	0.0939	0.1270
Wildfly	SWARM	0.2437	0.2923	0.2631	0.2631	0.2363	0.2678
Wildfly	WFARQ	0.5000	0.3333	1.0000	1.0000	0.1111	0.5000
Wildfly	WFCORE	0.3004	0.3155	0.2533	0.2544	0.2591	0.3482
Wildfly	WFLY	0.2653	0.2967	0.2481	0.2515	0.2295	0.3175
Wildfly	WFMP	0.4535	0.2675	0.8485	0.8485	0.5000	0.6226
Spring	AMQP	0.4818	0.5121	0.4876	0.4906	0.5153	0.4973
Spring	ANDROID	0.3634	0.2811	0.2751	0.2751	0.3634	0.4926
Spring	BATCH	0.4013	0.4299	0.3784	0.3804	0.4239	0.4293
Spring	BATCHADM	0.4241	0.4586	0.3518	0.3518	0.4988	0.5091
Spring	DATACMNS	0.4218	0.4538	0.3720	0.3719	0.4954	0.4850
Spring	DATAGRAPH	0.0342	0.0481	0.0298	0.0298	0.0456	0.0562
Spring	DATAJPA	0.4544	0.4807	0.4364	0.4378	0.5385	0.4230
Spring	DATAMONGO	0.4391	0.4805	0.3992	0.3992	0.4869	0.4799
Spring	DATAREDIS	0.6440	0.6769	0.6583	0.6619	0.6558	0.5936
Spring	DATAREST	0.4022	0.4297	0.3643	0.3620	0.4438	0.3466
Spring	LDAP	0.5044	0.5702	0.4908	0.4908	0.5128	0.4069
Spring	MOBILE	0.4622	0.5455	0.6136	0.6136	0.4811	0.3750
Spring	ROO	0.4030	0.4360	0.3784	0.3886	0.4085	0.3968
Spring	SEC	0.5175	0.5431	0.4448	0.4505	0.5720	0.5313
Spring	SECOAUTH	0.3438	0.3417	0.2974	0.3013	0.3525	0.3586
Spring	SGF	0.4242	0.4146	0.3895	0.3894	0.4038	0.3663
Spring	SHDP	0.4172	0.4556	0.3337	0.3337	0.4252	0.4688
Spring	SHL	0.3157	0.2802	0.3389	0.3390	0.3864	0.2034
Spring	SOCIAL	0.6363	0.6459	0.4732	0.4571	0.6156	0.6807
Spring	SOCIALFB	0.6002	0.6662	0.5031	0.4882	0.4586	0.5106
Spring	SOCIALLI	0.4330	0.5457	0.2630	0.3060	0.2270	0.4717
Spring	SOCIALTW	0.5323	0.5804	0.5580	0.6518	0.3787	0.5729
Spring	SPR	0.3203	0.3533	0.2505	0.2594	0.2913	0.3471
Spring	SWF	0.3988	0.4263	0.3924	0.3943	0.4273	0.4498
Spring	SWS	0.3782	0.3899	0.3732	0.3732	0.4139	0.3863
