Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	0.4658	0.5280	0.4511	0.4550	0.4566	0.5524
Apache	HBASE	0.4433	0.4918	0.4284	0.4280	0.4576	0.5025
Apache	HIVE	0.3848	0.4548	0.4098	0.4095	0.3627	0.4497
Commons	CODEC	0.8230	0.7554	0.8016	0.8016	0.8241	0.7935
Commons	COLLECTIONS	0.6296	0.6933	0.4581	0.4581	0.7252	0.7208
Commons	COMPRESS	0.7165	0.7561	0.6139	0.6097	0.7871	0.7693
Commons	CONFIGURATION	0.6846	0.7088	0.5433	0.5498	0.7558	0.5911
Commons	CRYPTO	0.2639	0.3021	0.3911	0.3911	0.2951	0.1059
Commons	CSV	0.6434	0.6032	0.5952	0.5952	0.5357	0.6596
Commons	IO	0.7917	0.8316	0.6680	0.6678	0.8274	0.7550
Commons	LANG	0.6154	0.6225	0.5601	0.5580	0.6898	0.6050
Commons	MATH	0.4851	0.5416	0.5289	0.5410	0.5558	0.4508
Commons	WEAVER	0.4167	0.3750	0.6667	0.6667	0.6667	0.2917
JBoss	ENTESB	0.0515	0.0309	0.0548	0.1256	0.0301	0.0748
JBoss	JBMETA	0.3508	0.3570	0.2500	0.2510	0.3153	0.3530
Wildfly	ELY	0.1540	0.1587	0.1962	0.1962	0.1667	0.1733
Wildfly	SWARM	0.2996	0.3741	0.3082	0.3082	0.3189	0.3590
Wildfly	WFARQ	0.5000	0.3333	1.0000	1.0000	0.1111	0.5000
Wildfly	WFCORE	0.3888	0.4107	0.3176	0.3187	0.3368	0.4256
Wildfly	WFLY	0.3483	0.3877	0.3303	0.3360	0.3040	0.4080
Wildfly	WFMP	0.5833	0.2398	1.0000	1.0000	0.6667	0.7778
Spring	AMQP	0.5751	0.6005	0.5549	0.5564	0.6064	0.5745
Spring	ANDROID	0.4612	0.3462	0.2883	0.2883	0.4221	0.4775
Spring	BATCH	0.4837	0.5188	0.4572	0.4610	0.5159	0.5286
Spring	BATCHADM	0.4589	0.5081	0.4170	0.4170	0.5614	0.5913
Spring	DATACMNS	0.4937	0.5287	0.4367	0.4367	0.5692	0.5396
Spring	DATAGRAPH	0.0503	0.0853	0.0429	0.0429	0.0681	0.1198
Spring	DATAJPA	0.5216	0.5644	0.5080	0.5102	0.6331	0.4890
Spring	DATAMONGO	0.4965	0.5379	0.4553	0.4553	0.5545	0.5341
Spring	DATAREDIS	0.7356	0.7873	0.7503	0.7539	0.7439	0.6823
Spring	DATAREST	0.5184	0.5534	0.4627	0.4596	0.5562	0.4521
Spring	LDAP	0.5782	0.6780	0.5645	0.5644	0.6149	0.4520
Spring	MOBILE	0.5411	0.6369	0.6727	0.6727	0.5379	0.4218
Spring	ROO	0.5049	0.5530	0.4787	0.4882	0.5103	0.4870
Spring	SEC	0.5727	0.6049	0.4900	0.4978	0.6333	0.5793
Spring	SECOAUTH	0.4115	0.4078	0.3495	0.3543	0.4292	0.4362
Spring	SGF	0.5794	0.5642	0.5283	0.5282	0.5571	0.5358
Spring	SHDP	0.5264	0.5570	0.4146	0.4146	0.5131	0.5246
Spring	SHL	0.4493	0.4183	0.4756	0.4757	0.5152	0.2800
Spring	SOCIAL	0.6608	0.6733	0.5092	0.4764	0.6667	0.7030
Spring	SOCIALFB	0.6744	0.7400	0.5274	0.5330	0.4743	0.5374
Spring	SOCIALLI	0.5000	0.5833	0.2708	0.2917	0.2375	0.6250
Spring	SOCIALTW	0.5698	0.5804	0.5833	0.7083	0.3854	0.5833
Spring	SPR	0.4230	0.4530	0.3425	0.3504	0.3760	0.4415
Spring	SWF	0.4576	0.4932	0.4565	0.4586	0.4854	0.5153
Spring	SWS	0.4641	0.4849	0.4458	0.4458	0.5011	0.4700
