Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	72	0.0233	0.0833	0.0024	0.0024	0.0476	0.5000
Apache	CAMEL	81	1.0000 	1.0000 	0.0006 	0.0006 	0.1000 	0.5000
Apache	CAMEL	85	0.5000 	0.5000 	0.0400 	0.0400 	0.5000 	1.0000
Apache	CAMEL	103	0.2553 	0.1056 	0.4004 	0.4190 	0.1069 	0.7049
Apache	CAMEL	112	0.0010 	0.0015 	0.0029 	0.0029 	0.0054 	0.0545
Apache	CAMEL	122	0.0002 	0.0002 	0.0000 	0.0000 	0.0014 	0.0000
Apache	CAMEL	123	0.0054 	0.0123 	0.0037 	0.0037 	0.0098 	0.0188
Apache	CAMEL	140	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000
Apache	CAMEL	154	0.0324 	0.0757 	0.2071 	0.2071 	0.1288 	0.2435
Apache	CAMEL	158	0.1695 	0.4857 	0.2382 	0.2382 	0.0755 	0.0000
Apache	CAMEL	161	0.0034 	0.0035 	0.0007 	0.0021 	0.0035 	0.0081
Apache	CAMEL	166	0.0063 	0.0052 	0.0075 	0.0075 	0.0014 	0.0313
Apache	CAMEL	171	0.0185 	0.0123 	0.0667 	0.0667 	0.0208 	0.0370
Apache	CAMEL	173	0.5620 	0.5211 	0.3715 	0.3715 	0.7057 	0.4389
Apache	CAMEL	191	0.3333 	0.2000 	0.1667 	0.1667 	0.0345 	1.0000
Apache	CAMEL	194	0.0027 	0.0020 	0.0037 	0.0037 	0.0078 	0.0370
Apache	CAMEL	197	0.0001 	0.0001 	0.0002 	0.0002 	0.0004 	0.0140
Apache	CAMEL	210	0.0004 	0.0005 	0.0027 	0.0027 	0.0042 	0.0343
Apache	CAMEL	211	0.0017 	0.0023 	0.3611 	0.3611 	0.2250 	0.8333
Apache	CAMEL	224	0.0417 	0.3333 	0.3333 	0.3333 	1.0000 	0.2000
Apache	CAMEL	232	0.0033 	0.0066 	0.0008 	0.0008 	0.0005 	0.0085
Apache	CAMEL	247	0.0039 	0.0073 	0.0847 	0.0847 	0.0221 	0.1747
Apache	CAMEL	257	0.3748 	0.3786 	0.4714 	0.4714 	0.4139 	0.7222
Apache	CAMEL	261	0.1042 	0.1250 	0.0111 	0.0111 	0.1667 	0.1875
Apache	CAMEL	271	0.1429 	0.1111 	0.0139 	0.0139 	0.1250 	0.2000
Apache	CAMEL	297	0.0054 	0.0058 	0.0578 	0.0578 	0.0261 	0.1389
Apache	CAMEL	304	0.0559 	0.2619 	0.0042 	0.0042 	0.6077 	0.0159
Apache	CAMEL	320	0.5000 	0.5000 	0.3333 	0.3333 	0.2500 	0.2500
Apache	CAMEL	324	0.0395 	0.0492 	0.0357 	0.0357 	0.0389 	0.0518
Apache	CAMEL	329	0.0002 	0.0002 	0.0003 	0.0003 	0.0000 	0.0500
Apache	CAMEL	340	0.0210 	0.1784 	0.1270 	0.1270 	0.1133 	0.0537
Apache	CAMEL	352	0.0278 	0.0417 	0.1111 	0.1111 	0.1667 	0.3333
Apache	CAMEL	363	0.1780 	0.3391 	0.0855 	0.0855 	0.3369 	0.6667
Apache	CAMEL	370	0.3362 	0.3353 	0.3333 	0.3333 	0.3889 	0.6667
Apache	CAMEL	373	0.0208 	0.0071 	0.0058 	0.0058 	0.0083 	0.0370
Apache	CAMEL	380	0.3369 	0.3999 	0.1609 	0.1609 	0.1990 	0.4354
Apache	CAMEL	383	0.4137 	0.4155 	0.2069 	0.2069 	0.2163 	0.4647
Apache	CAMEL	384	0.0086 	0.0338 	0.0024 	0.0024 	0.0067 	0.0079
Apache	CAMEL	404	0.0064 	0.0152 	0.0028 	0.0028 	0.0027 	0.0931
Apache	CAMEL	410	0.1607 	0.0939 	0.0153 	0.0157 	0.1615 	0.1937
Apache	CAMEL	415	0.0066 	0.0089 	0.0078 	0.0112 	0.0081 	0.0608
Apache	CAMEL	420	0.1693 	0.1670 	0.1962 	0.1962 	0.1525 	0.0542
Apache	CAMEL	430	1.0000 	1.0000 	0.5000 	0.5000 	0.3333 	1.0000
Apache	CAMEL	457	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000
Apache	CAMEL	476	0.0048 	0.0036 	0.0006 	0.0006 	0.0000 	0.0101
Apache	CAMEL	498	0.0030 	0.0033 	0.0032 	0.0032 	0.0385 	0.1667
Apache	CAMEL	504	0.4190 	0.3300 	0.5413 	0.5413 	0.3559 	0.6667
Apache	CAMEL	505	0.0100 	0.0257 	0.0102 	0.0102 	0.0266 	0.1139
Apache	CAMEL	517	0.0071 	0.0096 	0.0068 	0.0080 	0.0060 	0.0948
Apache	CAMEL	518	0.1121 	0.0396 	0.0625 	0.0625 	0.0290 	0.1010
Apache	CAMEL	520	0.1339 	0.1100 	0.2113 	0.2114 	0.1195 	0.1277
Apache	CAMEL	524	0.1500 	0.0982 	0.0495 	0.0495 	0.0556 	0.2500
Apache	CAMEL	528	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000
Apache	CAMEL	534	0.2037 	0.4899 	0.1228 	0.1375 	0.4741 	0.6333
Apache	CAMEL	536	0.2762 	0.1945 	0.2500 	0.2442 	0.3285 	0.2679
Apache	CAMEL	547	0.1383 	0.1701 	0.0416 	0.0416 	0.2423 	0.2726
Apache	CAMEL	548	0.0047 	0.0154 	0.0002 	0.0002 	0.0720 	0.0353
Apache	CAMEL	549	0.1111 	0.1000 	0.1667 	0.1667 	0.0017 	1.0000
Apache	CAMEL	550	0.0012 	0.0011 	0.0014 	0.0014 	0.0019 	0.0088
Apache	CAMEL	551	0.0895 	0.2556 	0.0224 	0.0224 	0.0377 	0.1366
Apache	CAMEL	567	0.0003 	0.0007 	0.0006 	0.0006 	0.0000 	0.0059
Apache	CAMEL	574	0.0256 	0.5000 	1.0000 	1.0000 	0.3333 	1.0000
Apache	CAMEL	581	0.0049 	0.0075 	0.0064 	0.0064 	0.0064 	0.0195
Apache	CAMEL	583	0.0006 	0.0005 	0.0013 	0.0013 	0.0054 	0.0029
Apache	CAMEL	584	0.1007 	0.5009 	0.0026 	0.0025 	0.2637 	0.2738
Apache	CAMEL	587	0.0020 	0.0046 	0.0172 	0.0172 	0.0131 	0.0206
Apache	CAMEL	593	0.0005 	0.0005 	0.0003 	0.0003 	0.0001 	0.0151
Apache	CAMEL	597	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000
Apache	CAMEL	618	1.0000 	1.0000 	0.1250 	0.1250 	1.0000 	1.0000
Apache	CAMEL	620	0.0029 	0.0669 	0.0921 	0.0921 	0.1296 	0.1833
Apache	CAMEL	629	0.0254 	0.0335 	0.0077 	0.0077 	0.0157 	0.2778
Apache	CAMEL	634	0.0351 	0.0632 	0.0225 	0.0225 	0.0235 	0.2193
Apache	CAMEL	636	0.0833 	0.0476 	0.0833 	0.0833 	0.0256 	0.0196
Apache	CAMEL	642	0.1026 	0.1027 	0.1037 	0.1037 	0.0129 	0.1501
Apache	CAMEL	651	0.0219 	0.2644 	0.0353 	0.0353 	0.0658 	0.2648
Apache	CAMEL	653	0.5667 	0.5250 	0.4167 	0.4167 	0.6429 	0.7000
Apache	CAMEL	655	0.3553 	0.3042 	0.0627 	0.0627 	0.0449 	0.4458
Apache	CAMEL	657	1.0000 	1.0000 	0.2500 	0.5000 	1.0000 	1.0000
Apache	CAMEL	667	1.0000 	1.0000 	0.0250 	0.0250 	1.0000 	1.0000
Apache	CAMEL	675	0.1111 	0.3333 	0.0042 	0.0042 	1.0000 	0.0526
Apache	CAMEL	677	0.0502 	0.0502 	0.0870 	0.0870 	0.0156 	0.1625
Apache	CAMEL	679	0.0278 	0.1111 	0.0833 	0.0833 	0.0476 	0.0833
Apache	CAMEL	685	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000
Apache	CAMEL	686	0.0031 	0.0044 	0.0057 	0.0057 	0.0025 	0.0000
Apache	CAMEL	688	0.0107 	0.0636 	0.0043 	0.0073 	0.0033 	0.0405
Apache	CAMEL	694	0.2512 	0.5016 	0.0633 	0.0633 	0.0566 	0.0021
Apache	CAMEL	695	0.5588 	0.6667 	0.4167 	0.4167 	0.2667 	0.0714
Apache	CAMEL	696	0.2000 	0.1429 	0.5000 	0.5000 	0.5000 	1.0000
Apache	CAMEL	697	0.0023 	0.0019 	0.0139 	0.0139 	0.0128 	0.0294
Apache	CAMEL	701	0.0050 	0.0196 	0.5000 	0.5000 	0.0323 	0.0909
Apache	CAMEL	702	0.2013 	0.3426 	0.3394 	0.3552 	0.3398 	0.3333
Apache	CAMEL	707	0.0027 	0.0025 	0.0101 	0.0101 	0.0018 	0.0145
Apache	CAMEL	710	1.0000 	1.0000 	0.5000 	0.5000 	0.1667 	1.0000
Apache	CAMEL	712	0.5000 	0.3333 	0.5000 	0.5000 	0.2000 	1.0000
Apache	CAMEL	713	0.0016 	0.0024 	0.0003 	0.0003 	0.0063 	0.0285
Apache	CAMEL	715	0.0001 	0.0001 	0.0006 	0.0006 	0.0003 	0.0500
Apache	CAMEL	718	0.0312 	0.0453 	0.0784 	0.0784 	0.3693 	0.2611
Apache	CAMEL	727	0.0833 	0.1667 	0.3333 	0.3333 	0.0256 	1.0000
Apache	CAMEL	737	0.0025 	0.0099 	0.0100 	0.0115 	0.0516 	0.1944
Apache	CAMEL	738	0.0935 	0.1214 	0.0651 	0.0819 	0.1079 	0.3243
Apache	CAMEL	741	1.0000 	1.0000 	0.3333 	0.3333 	1.0000 	0.0000
Apache	CAMEL	747	0.0607 	0.0693 	0.0524 	0.0524 	0.0151 	0.3441
Apache	CAMEL	755	0.3333 	0.3333 	0.2000 	0.2000 	0.3333 	1.0000
Apache	CAMEL	756	1.0000 	1.0000 	0.2000 	0.2000 	0.3333 	1.0000
Apache	CAMEL	758	0.0014 	0.0018 	0.0021 	0.0021 	0.0022 	0.0556
Apache	CAMEL	763	0.0027 	0.0021 	0.0022 	0.0024 	0.0032 	0.0163
Apache	CAMEL	765	0.5000 	1.0000 	0.1111 	0.1111 	1.0000 	1.0000
Apache	CAMEL	773	0.0016 	0.0033 	0.0044 	0.0044 	0.0081 	1.0000
Apache	CAMEL	777	0.0912 	0.1374 	0.1533 	0.1533 	0.2668 	0.3163
Apache	CAMEL	782	0.0037 	0.0031 	0.0020 	0.0020 	0.0084 	0.0063
Apache	CAMEL	792	1.0000 	0.5000 	0.0286 	0.0909 	0.5000 	0.5000
Apache	CAMEL	793	0.0323 	0.1667 	0.1429 	0.1429 	0.0667 	1.0000
Apache	CAMEL	795	0.5000 	1.0000 	0.0400 	0.0417 	1.0000 	1.0000
Apache	CAMEL	803	0.7000 	0.6429 	0.7000 	0.7000 	0.5345 	0.5000
Apache	CAMEL	806	0.0412 	0.0596 	0.0291 	0.0291 	0.0763 	0.0743
Apache	CAMEL	807	0.5303 	0.2632 	0.0522 	0.0522 	0.2557 	0.5042
Apache	CAMEL	811	0.0005 	0.0009 	0.0015 	0.0015 	0.0047 	0.0455
Apache	CAMEL	818	0.0825 	0.5263 	0.5294 	0.5294 	0.5588 	0.2679
Apache	CAMEL	826	0.0023 	0.0101 	0.0006 	0.0006 	0.0113 	0.0530
Apache	CAMEL	834	0.0022 	0.0021 	0.0028 	0.0069 	0.0013 	0.0075
Apache	CAMEL	842	0.0122 	0.0044 	0.0139 	0.0139 	0.0056 	0.5000
Apache	CAMEL	849	0.0187 	0.0384 	0.0258 	0.0259 	0.0381 	0.1627
Apache	CAMEL	851	0.1250 	0.0455 	0.0556 	0.0556 	0.0111 	0.1667
Apache	CAMEL	857	0.2704 	0.3203 	0.1453 	0.1637 	0.1532 	0.4558
Apache	CAMEL	858	0.1270 	0.1279 	0.0140 	0.0140 	0.0261 	0.0155
Apache	CAMEL	860	0.0601 	0.0702 	0.0557 	0.0557 	0.4400 	0.4105
Apache	CAMEL	871	0.0040 	0.0099 	0.0036 	0.0036 	0.0143 	0.0861
Apache	CAMEL	873	0.0843 	0.0723 	0.0601 	0.0603 	0.1679 	0.2209
Apache	CAMEL	879	0.0015 	0.0335 	0.0019 	0.0019 	0.0083 	0.1674
Apache	CAMEL	880	0.1743 	0.1725 	0.4101 	0.4101 	0.3698 	0.6961
Apache	CAMEL	881	0.4116 	0.3343 	0.1306 	0.1306 	0.3004 	0.4374
Apache	CAMEL	882	1.0000 	1.0000 	0.0714 	0.0714 	1.0000 	1.0000
Apache	CAMEL	885	0.0699 	0.0541 	0.0043 	0.0043 	0.0519 	0.1099
Apache	CAMEL	886	0.0333 	0.0909 	0.2500 	0.2500 	0.3333 	0.5000
Apache	CAMEL	890	0.2500 	0.0714 	0.5000 	0.5000 	1.0000 	0.0556
Apache	CAMEL	894	0.0099 	0.0204 	0.0118 	0.0118 	0.0227 	0.1725
Apache	CAMEL	901	0.0666 	0.0474 	0.0104 	0.0103 	0.0313 	0.1786
Apache	CAMEL	902	0.0003 	0.0003 	0.0058 	0.0058 	0.0033 	0.0185
