MRR							
Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	0.4621	0.5270	0.4188	0.4210	0.4451	0.5571
Apache	HBASE	0.4168	0.4884	0.3938	0.3942	0.4258	0.4060
Apache	HIVE	0.3672	0.4522	0.3914	0.3916	0.3313	0.4580
Commons	CODEC	0.8341	0.8199	0.8625	0.8625	0.8829	0.4087
Commons	COLLECTIONS	0.3327	0.3457	0.2659	0.2659	0.3606	0.3090
Commons	COMPRESS	0.7545	0.7976	0.6382	0.6345	0.7822	0.7802
Commons	CONFIGURATION	0.0480	0.0530	0.0502	0.0502	0.0476	0.0430
Commons	CRYPTO	0.2665	0.3044	0.3974	0.3974	0.3616	0.3420
Commons	CSV	0.6677	0.6785	0.6369	0.6845	0.6429	0.6970
Commons	IO	0.8574	0.8809	0.7332	0.7309	0.8489	0.4322
Commons	LANG	0.6446	0.6441	0.5783	0.5810	0.6423	0.6181
Commons	MATH	0.2173	0.2274	0.2413	0.2627	0.2394	0.2251
Commons	WEAVER	0.6667	0.7500	0.6667	0.6667	0.6667	0.5500
JBoss	ENTESB	0.0511	0.0624	0.0775	0.0775	0.0638	0.0704
JBoss	JBMETA	0.4387	0.4312	0.3233	0.3258	0.3698	0.3639
Wildfly	ELY	0.1506	0.1587	0.1962	0.1962	0.1667	0.1667
Wildfly	SWARM	0.3853	0.4317	0.3960	0.3960	0.3608	0.3656
Wildfly	WFARQ	0.5000	0.3333	1.0000	1.0000	0.1111	0.5000
Wildfly	WFCORE	0.4444	0.4687	0.3392	0.3402	0.3834	0.4620
Wildfly	WFLY	0.3196	0.3623	0.2972	0.2982	0.2994	0.3500
Wildfly	WFMP	0.5833	0.2398	0.8333	0.8333	0.6667	0.7778
Spring	AMQP	0.6205	0.6754	0.5691	0.5694	0.6661	0.6229
Spring	ANDROID	0.5121	0.5904	0.4747	0.4747	0.5076	0.0698
Spring	BATCH	0.4848	0.5023	0.3941	0.4124	0.4736	0.5449
Spring	BATCHADM	0.4325	0.5011	0.4806	0.4806	0.5724	0.6252
Spring	DATACMNS	0.5916	0.6429	0.5632	0.5632	0.6670	0.6482
Spring	DATAGRAPH	0.2384	0.2497	0.2788	0.2788	0.2577	0.2578
Spring	DATAJPA	0.6649	0.6854	0.6170	0.6170	0.7098	0.6329
Spring	DATAMONGO	0.6344	0.6965	0.5769	0.5769	0.6807	0.6322
Spring	DATAREDIS	0.7627	0.8081	0.7626	0.7637	0.8082	0.7259
Spring	DATAREST	0.5458	0.6372	0.5125	0.5162	0.5730	0.5974
Spring	LDAP	0.6344	0.7197	0.6251	0.6251	0.6665	0.5058
Spring	MOBILE	0.8864	0.9545	1.0000	1.0000	0.8939	0.5862
Spring	ROO	0.1628	0.1821	0.1283	0.1297	0.1422	0.1811
Spring	SEC	0.4237	0.4438	0.3736	0.3788	0.4496	0.3857
Spring	SECOAUTH	0.3659	0.3965	0.2620	0.2714	0.3522	0.3683
Spring	SGF	0.6546	0.6850	0.5973	0.5970	0.6174	0.7245
Spring	SHDP	0.6279	0.6734	0.5184	0.5184	0.6222	0.5826
Spring	SHL	0.4037	0.4166	0.4220	0.4221	0.4015	0.4579
Spring	SOCIAL	0.6937	0.6726	0.2245	0.3000	0.5689	0.7029
Spring	SOCIALFB	0.6416	0.7401	0.6167	0.6167	0.5301	0.6929
Spring	SOCIALLI	0.6250	0.7083	0.3958	0.4167	0.3208	0.6875
Spring	SOCIALTW	0.7938	0.7292	0.4271	0.5833	0.6188	0.6250
Spring	SPR	0.4684	0.5165	0.3284	0.3386	0.4319	0.0241
Spring	SWF	0.4758	0.5060	0.4579	0.4548	0.5015	0.5502
Spring	SWS	0.5400	0.5872	0.4886	0.4886	0.5456	0.5680
