Group	Project	NSrc	SrcNDistTk	SrcAvgNTk	SrcAvgDistTk	SrcLocalDistTk	InvNSrc	AvgLOC	AvgCC	SrcNumMhd	SrcNumCmt	SrcRatioCmt	SrcRatioDict
Apache	CAMEL	8908.3	84915	246.161841	101.118202	2.778275	0.000144	94.870333	1.147667	6.431486	0.687113	0.064398	0.749058
Apache	HBASE	1835.1	67960	924.740278	181.396514	11.793226	0.000692	369.536571	1.562571	24.475382	6.830632	0.273977	0.643936
Apache	HIVE	2776.7	86029	620.314617	143.927422	9.105242	0.000474	264.84381	1.759048	16.66533	2.848914	0.178959	0.582755
Commons	CODEC	71.2	9344	650.007399	202.739786	61.470776	0.019154	257.892222	1.474444	10.316737	5.15598	0.563349	0.713968
Commons	COLLECTIONS	415.5	6969	507.929536	139.16415	6.452539	0.004536	236.1625	1.14125	13.804337	6.111599	0.475207	0.72484
Commons	COMPRESS	187.1	8976	473.254875	149.682671	22.395411	0.005931	224.807333	1.57	9.817576	5.006689	0.39898	0.60112
Commons	CONFIGURATION	222.6	10208	670.784723	166.346323	13.831768	0.005791	313.6375	1.293333	15.726909	10.685959	0.624214	0.71668
Commons	CRYPTO	82.0	1515	326.536585	114.878049	8.52439	0.012195	124.26	1.09	5.963415	3.926829	0.419345	0.549737
Commons	CSV	25.7	1459	672.78963	161.822222	34.40642	0.039012	279.946667	1.456667	15.362469	4.077037	0.212561	0.66316
Commons	IO	141.2	5136	546.679205	127.929912	12.336027	0.00856	227.580769	1.293846	11.334673	5.9188	0.585115	0.688744
Commons	LANG	235.1	12433	1047.090142	169.106464	20.795868	0.00438	434.875	1.36625	20.532999	10.886296	0.467047	0.608798
Commons	MATH	1010.1	32940	506.210448	141.372667	11.912846	0.001517	222.56	1.394	10.382733	6.245723	0.605612	0.631174
Commons	WEAVER	112.0	1502	232.517857	92.169643	6.258929	0.008929	93.51	1.18	4.633929	1.6875	0.372193	0.513876
JBoss	ENTESB	99.3	4917	380.069013	108.693007	11.345928	0.030308	130.31	1.413333	6.173913	3.191224	0.193784	0.527175
JBoss	JBMETA	818.0	6904	270.638983	111.038122	3.097979	0.001224	113.052	3.026	5.711733	1.889019	0.259522	0.630586
Wildfly	ELY	58.0	1496	354.7758	109.258256	10.331527	0.018576	141.586667	1.243333	11.070691	3.233488	0.359289	0.645128
Wildfly	SWARM	605.5	7118	195.420566	84.998469	4.823948	0.001723	73.321667	1.245	4.356244	0.362995	0.042298	0.684879
Wildfly	WFARQ	126.0	1840	216.674603	95.031746	6.333333	0.007937	81.62	1.37	5.063492	0.436508	0.09702	0.615146
Wildfly	WFCORE	3356.3	39449	480.679001	146.608559	5.120371	0.000298	167.429375	1.4675	10.090197	1.679774	0.152403	0.634005
Wildfly	WFLY	7233.3	88458	324.074529	123.480679	3.284371	0.000151	115.0375	1.404167	6.092964	1.03648	0.137241	0.645572
Wildfly	WFMP	80.0	1620	420.4125	142.7875	8.6375	0.0125	138.5	1.85	7.625	2.3125	0.257259	0.623167
Spring	AMQP	316.8	7155	355.266463	112.159091	7.704218	0.003297	149.579412	1.244706	9.362976	1.596779	0.173502	0.574151
Spring	ANDROID	180.5	4020	471.802351	123.29965	12.075972	0.005541	186.07	1.285	10.903202	4.928157	0.44356	0.579331
Spring	BATCH	1255.7	14419	235.099925	87.375461	3.896759	0.00085	103.462121	1.152424	6.340603	1.523459	0.248823	0.709563
Spring	BATCHADM	227.3	3057	238.03419	89.317236	6.030167	0.004429	95.02	1.2075	5.539805	0.734176	0.10481	0.776722
Spring	DATACMNS	420.8	6829	230.966641	88.960754	6.120105	0.00269	107.56	0.962424	6.320907	2.066519	0.313984	0.35275
Spring	DATAGRAPH	312.0	8787	203.661242	79.030366	6.133333	0.004906	75.574	0.996	6.064449	0.35718	0.04353	0.487175
Spring	DATAJPA	234.8	4410	231.047656	90.745166	6.818955	0.004759	101.606316	0.954737	5.511514	1.337216	0.207277	0.393507
Spring	DATAMONGO	454.9	9011	295.064355	93.537999	8.418804	0.002294	130.67225	1.023	8.179704	1.634241	0.175415	0.444808
Spring	DATAREDIS	339.5	7700	401.094386	109.562234	6.206243	0.003097	189.631176	1.188235	17.3487	1.88777	0.182855	0.624316
Spring	DATAREST	298.1	5789	224.124336	83.979651	5.625808	0.003596	95.306071	1.046429	5.31442	1.323508	0.193807	0.397875
Spring	LDAP	510.4	6102	295.269902	95.36479	5.849199	0.001972	123.06	1.162	7.120414	1.687849	0.223965	0.670461
Spring	MOBILE	49.3	1490	258.392223	78.522506	12.313828	0.02088	92.116667	1.01	7.270693	1.223931	0.306869	0.594528
Spring	ROO	788.1	19024	312.4059	85.718241	6.105117	0.001521	118.137333	1.516	6.340816	1.515449	0.208931	0.496829
Spring	SEC	1074.7	19144	242.490029	91.71895	5.610327	0.000993	100.637674	1.248372	5.857461	1.045173	0.222938	0.601552
Spring	SECOAUTH	431.3	5737	233.965973	87.589946	5.394329	0.002329	95.035714	1.494286	5.877042	1.403117	0.249171	0.622967
Spring	SGF	344.9	8828	273.154112	100.85155	7.706187	0.004117	112.725263	1.201579	6.820449	0.832775	0.106151	0.611941
Spring	SHDP	700.5	9288	256.129318	95.868656	5.54853	0.00303	106.122	1.203	6.14447	1.800969	0.256953	0.624188
Spring	SHL	118.3	2582	233.995786	94.373605	9.712037	0.008851	98.746667	1.586667	4.989113	1.21114	0.260262	0.612308
Spring	SOCIAL	153.0	2870	242.414042	91.736945	6.340651	0.006778	86.94	0.98	6.364375	1.718586	0.307695	0.530767
Spring	SOCIALFB	188.0	4181	290.923109	92.504769	7.762881	0.005937	100.898	1.012	7.75642	1.706101	0.129968	0.498243
Spring	SOCIALLI	180.0	2007	181.238889	83.411111	5.261111	0.005556	70.55	1.22	4.616667	0.483333	0.05679	0.492707
Spring	SOCIALTW	106.6	2752	341.643485	93.749735	9.890859	0.00981	112.86	1.062	9.523974	2.445675	0.146247	0.423781
Spring	SPR	4570.3	61826	367.714019	114.086479	4.99239	0.000223	149.831667	1.16	9.025285	2.942502	0.368743	0.541505
Spring	SWF	683.8	10527	268.049036	95.827403	4.650874	0.001492	108.3405	1.1205	8.293735	2.422916	0.344586	0.674048
Spring	SWS	802.7	9328	257.705329	95.350437	3.777314	0.001375	98.6396	1.1572	6.107492	1.734999	0.264123	0.645829
