Group	Project	NReport	RatioEnum	RatioSTrace	RatioCode	RepNDistTk	RepAvgTk	RepAvgLocalTk	RepAvgCE	RepAvgDistTk
Apache	CAMEL	1468	0.020436	0.120572	0.288828	9512	100.464578	10.767711	4	40.224796
Apache	HBASE	840	0.041667	0.158333	0.205952	7376	124.436905	10.019048	5	42.520238
Apache	HIVE	1247	0.044106	0.146752	0.271852	8946	136.651965	9.914194	4	41.127506
Commons	CODEC	42	0.02381	0.047619	0.309524	845	69.071429	5.952381	14	36.571429
Commons	COLLECTIONS	94	0.085106	0.021277	0.531915	964	67.638298	6.712766	5	31.925532
Commons	COMPRESS	113	0.026549	0.132743	0.327434	1780	100.699115	10.336283	9	47.725664
Commons	CONFIGURATION	133	0.06015	0.090226	0.511278	1552	84.112782	10.105263	6	39.526316
Commons	CRYPTO	8	0	0	0.125	110	22.5	2.875	12	15.375
Commons	CSV	14	0.071429	0.071429	0.142857	225	33.285714	4.5	11	23.214286
Commons	IO	91	0.032967	0.043956	0.384615	1343	70.527473	7.692308	9	36.230769
Commons	LANG	217	0.023041	0.069124	0.37788	2630	68.824885	7.654378	8	34.714286
Commons	MATH	245	0.036735	0.028571	0.404082	2559	63.342857	6.244898	6	34.657143
Commons	WEAVER	2	0	0	0	39	27	1	17	21.5
JBoss	ENTESB	47	0.085106	0.106383	0.06383	793	95.191489	5.893617	10	35.297872
JBoss	JBMETA	26	0	0.115385	0.115385	512	122	9.384615	14	31.884615
Wildfly	ELY	25	0	0	0.04	362	41.8	4.28	10	24.76
Wildfly	SWARM	58	0.017241	0.12069	0.172414	1108	120.706897	11.224138	11	45.396552
Wildfly	WFARQ	1	0	0	1	48	132	5	48	48
Wildfly	WFCORE	361	0.038781	0.083102	0.149584	3574	141.628809	10.911357	5	47.728532
Wildfly	WFLY	984	0.037602	0.15752	0.188008	9015	222.170732	16.740854	5	54.489837
Wildfly	WFMP	3	0	0	0.333333	203	243.333333	12.333333	58	79.666667
Spring	AMQP	108	0.027778	0.166667	0.222222	1508	116.203704	13.564815	7	40.518519
Spring	ANDROID	11	0	0.181818	0.181818	235	45.727273	4.909091	17	27.272727
Spring	BATCH	432	0.016204	0.053241	0.261574	3152	67.847222	7.710648	3	33.30787
Spring	BATCHADM	20	0	0.1	0.1	446	67.3	8.25	17	32.9
Spring	DATACMNS	158	0.018987	0.177215	0.322785	2234	105.626582	13.278481	8	45.164557
Spring	DATAGRAPH	60	0	0.033333	0.266667	658	44.65	4.266667	6	26.366667
Spring	DATAJPA	147	0.006803	0.163265	0.517007	2249	127.482993	14.863946	9	51.578231
Spring	DATAMONGO	271	0.02214	0.180812	0.487085	2919	147.269373	13.472325	6	44.863469
Spring	DATAREDIS	49	0.081633	0.163265	0.428571	904	79.102041	10.877551	12	37.877551
Spring	DATAREST	132	0.015152	0.106061	0.340909	1838	119.462121	12.856061	7	48.659091
Spring	LDAP	53	0.056604	0.113208	0.433962	1171	92.188679	12.018868	14	49.339623
Spring	MOBILE	11	0	0	0.090909	173	32.818182	3.636364	11	22
Spring	ROO	720	0.034722	0.088889	0.234722	5728	127.684722	10.786111	4	44.411111
Spring	SEC	542	0.02583	0.090406	0.396679	4838	95.876384	11.684502	5	44.837638
Spring	SECOAUTH	101	0.049505	0.029703	0.217822	1343	73.108911	5.643564	7	37.445545
Spring	SGF	107	0.018692	0.17757	0.336449	1468	128.401869	13.018692	7	46.766355
Spring	SHDP	45	0	0.111111	0.133333	672	45.311111	4.311111	10	27.466667
Spring	SHL	11	0	0	0.090909	205	39.272727	1.181818	14	25.272727
Spring	SOCIAL	15	0	0.066667	0.466667	314	47.133333	7.933333	16	27.8
Spring	SOCIALFB	15	0.066667	0.2	0.466667	388	81.2	9.666667	18	39.266667
Spring	SOCIALLI	4	0	0	0	51	22.75	2	10	16
Spring	SOCIALTW	8	0	0	0.125	222	85.125	6.625	21	37.125
Spring	SPR	132	0.015152	0.143939	0.44697	2226	132.340909	13.136364	9	51.825758
Spring	SWF	134	0.014925	0.089552	0.291045	1805	87.597015	10.291045	7	41.141791
Spring	SWS	174	0.051724	0.155172	0.442529	2745	135.83908	15.563218	9	52.545977
