Group	Project	|STinterRT|	KSDist	AvgProdIRf	AvgMinIRf	AvgMaxIRf	AvgMeanIRf	AvgUIRf
Apache	CAMEL	6582	0.404399	0	0.000091	0.560862	0.047446	0.000079
Apache	HBASE	4939	0.373804	0.000001	0.000503	0.66557	0.065251	0.000424
Apache	HIVE	5537	0.333457	0.000033	0.000381	0.600069	0.061718	0.000313
Commons	CODEC	623	0.409318	0.002976	0.014923	0.888889	0.231466	0.012685
Commons	COLLECTIONS	801	0.418936	0	0.002368	0.755319	0.118659	0.002063
Commons	COMPRESS	1189	0.306712	0	0.004336	0.885128	0.152878	0.004074
Commons	CONFIGURATION	1187	0.380483	0	0.002494	0.786339	0.104301	0.002327
Commons	CRYPTO	71	0.478873	0.000363	0.017456	0.666667	0.20829	0.016412
Commons	CSV	179	0.428571	0.00035	0.041706	0.916667	0.295423	0.04012
Commons	IO	1021	0.425723	0	0.005775	0.914835	0.198728	0.004968
Commons	LANG	1821	0.387175	0	0.004312	0.819993	0.148501	0.003705
Commons	MATH	2095	0.392196	0	0.000943	0.664602	0.082425	0.000726
Commons	WEAVER	26	0.615385	0	0.032242	1	0.345372	0.015828
JBoss	ENTESB	374	0.111702	0.002619	0.061346	0.932118	0.391217	0.050587
JBoss	JBMETA	315	0.463023	0	0.00217	0.73216	0.157077	0.001579
Spring	AMQP	1011	0.309845	0.000186	0.004658	0.815403	0.156525	0.003721
Spring	ANDROID	211	0.57619	0.000002	0.009406	0.787879	0.235458	0.007486
Spring	BATCH	2227	0.366412	0.000038	0.001374	0.755323	0.104886	0.00096
Spring	BATCHADM	294	0.501706	0	0.005394	0.96	0.230244	0.004493
Spring	DATACMNS	1240	0.346956	0.001114	0.003861	0.878665	0.190848	0.003407
Spring	DATAGRAPH	477	0.391549	0.000842	0.01393	0.847917	0.250851	0.010412
Spring	DATAJPA	1048	0.253177	0.000003	0.003794	0.933466	0.206215	0.003377
Spring	DATAMONGO	1581	0.204308	0.000308	0.002744	0.885859	0.154849	0.002381
Spring	DATAREDIS	705	0.472701	0	0.002637	0.902891	0.158977	0.002223
Spring	DATAREST	1057	0.303514	0.000083	0.003935	0.868923	0.171073	0.003338
Spring	LDAP	852	0.433806	0.000007	0.002469	0.908805	0.153071	0.002179
Spring	MOBILE	111	0.504505	0.000023	0.017664	0.829545	0.27958	0.017289
Spring	ROO	2893	0.195851	0.000001	0.00158	0.767642	0.101861	0.001161
Spring	SEC	3205	0.252228	0.000045	0.001275	0.805824	0.10989	0.00101
Spring	SECOAUTH	916	0.388767	0.000015	0.003125	0.832613	0.14475	0.00246
Spring	SGF	956	0.340085	0	0.002095	0.844505	0.12943	0.001792
Spring	SHDP	546	0.516729	0	0.001709	0.688418	0.111411	0.001221
Spring	SHL	163	0.552795	0.000015	0.008916	0.893939	0.258352	0.008263
Spring	SOCIAL	229	0.497778	0	0.005543	0.838889	0.204143	0.005208
Spring	SOCIALFB	274	0.482213	0.000001	0.005065	0.922222	0.21388	0.004852
Spring	SOCIALLI	43	0.534884	0.000005	0.007001	0.875	0.321529	0.006207
Spring	SOCIALTW	157	0.458333	0	0.011018	0.9375	0.301344	0.008706
Spring	SPR	1782	0.43718	0	0.000195	0.852174	0.071791	0.000172
Spring	SWF	1324	0.391089	0	0.001832	0.87286	0.144068	0.00143
Spring	SWS	1682	0.312085	0	0.001503	0.898969	0.152995	0.001309
Wildfly	ELY	153	0.320261	0.003765	0.03253	0.941739	0.303933	0.025143
Wildfly	SWARM	701	0.36865	0.000007	0.003704	0.864583	0.158502	0.002413
Wildfly	WFARQ	32	0.4375	0	0.007937	1	0.286975	0.007937
Wildfly	WFCORE	2589	0.379712	0	0.000399	0.74079	0.074269	0.000328
Wildfly	WFLY	5321	0.282085	0.000019	0.000301	0.763556	0.074285	0.000223
Wildfly	WFMP	119	0.277311	0	0.0125	1	0.195267	0.0125
