Group	Project	BugID	hasEnum	hasSTrace	hasCR	hasCE	NTk	NLocalTk	NDiskTk	NDistCE	RatioDistTk	RatioDistCE
Apache	CAMEL	8193	0	1	0	1	478	11	108	61	0.011354	0.006413
Apache	CAMEL	8194	0	1	1	1	228	9	68	19	0.007149	0.001997
Apache	CAMEL	1366	0	0	1	1	137	6	73	13	0.007675	0.001367
Apache	CAMEL	8200	1	0	1	1	207	9	99	26	0.010408	0.002733
Apache	CAMEL	8201	0	0	0	1	51	7	41	5	0.00431	0.000526
Apache	CAMEL	8213	0	0	1	1	42	5	28	7	0.002944	0.000736
Apache	CAMEL	8214	0	0	0	1	22	1	14	1	0.001472	0.000105
Apache	CAMEL	8217	0	0	0	1	25	3	18	1	0.001892	0.000105
Apache	CAMEL	8218	0	0	0	1	23	1	17	1	0.001787	0.000105
Apache	CAMEL	8222	0	0	1	1	42	0	27	5	0.002839	0.000526
Apache	CAMEL	8226	0	0	0	1	21	0	19	2	0.001997	0.00021
Apache	CAMEL	8231	0	0	0	1	40	2	25	3	0.002628	0.000315
Apache	CAMEL	8233	0	0	0	1	24	0	19	1	0.001997	0.000105
Apache	CAMEL	8236	0	0	0	1	47	1	36	7	0.003785	0.000736
Apache	CAMEL	8241	0	0	0	1	71	2	48	2	0.005046	0.00021
Apache	CAMEL	8253	0	1	0	1	931	23	143	98	0.015034	0.010303
Apache	CAMEL	72	0	0	0	1	24	1	16	2	0.001682	0.00021
Apache	CAMEL	8268	0	0	0	1	31	1	20	1	0.002103	0.000105
Apache	CAMEL	8270	0	1	0	1	594	13	145	80	0.015244	0.00841
Apache	CAMEL	8272	0	0	0	1	52	5	35	7	0.00368	0.000736
Apache	CAMEL	81	0	0	0	1	11	0	8	1	0.000841	0.000105
Apache	CAMEL	85	0	0	0	0	15	0	10	0	0.001051	0
Apache	CAMEL	8289	0	0	0	0	24	0	14	0	0.001472	0
Apache	CAMEL	103	0	1	0	1	73	6	32	19	0.003364	0.001997
Apache	CAMEL	105	0	0	0	1	25	2	22	3	0.002313	0.000315
Apache	CAMEL	8302	0	0	0	1	35	1	28	1	0.002944	0.000105
Apache	CAMEL	112	0	0	0	1	18	3	18	6	0.001892	0.000631
Apache	CAMEL	1384	0	0	1	1	63	1	37	9	0.00389	0.000946
Apache	CAMEL	8313	0	0	1	1	203	7	63	8	0.006623	0.000841
Apache	CAMEL	122	0	0	0	0	13	1	13	0	0.001367	0
Apache	CAMEL	123	0	0	0	0	23	0	18	0	0.001892	0
Apache	CAMEL	8327	0	0	1	1	78	6	54	16	0.005677	0.001682
Apache	CAMEL	8329	0	0	0	1	22	2	17	3	0.001787	0.000315
Apache	CAMEL	140	0	0	0	1	25	1	18	2	0.001892	0.00021
Apache	CAMEL	8336	0	0	0	1	25	4	15	3	0.001577	0.000315
Apache	CAMEL	8338	0	0	1	1	25	2	18	7	0.001892	0.000736
Apache	CAMEL	8339	0	0	0	1	63	6	40	13	0.004205	0.001367
