Group	Project	BugID	NTk	NLocalTk	NDistTk	NDistCE
Apache	CAMEL	8193	478	11	108	61
Apache	CAMEL	8194	228	9	68	19
Apache	CAMEL	1366	137	6	73	13
Apache	CAMEL	8200	207	9	99	26
Apache	CAMEL	8201	51	7	41	5
Apache	CAMEL	8213	42	5	28	7
Apache	CAMEL	8214	22	1	14	1
Apache	CAMEL	8217	25	3	18	1
Apache	CAMEL	8218	23	1	17	1
Apache	CAMEL	8222	42	0	27	5
Apache	CAMEL	8226	21	0	19	2
Apache	CAMEL	8231	40	2	25	3
Apache	CAMEL	8233	24	0	19	1
Apache	CAMEL	8236	47	1	36	7
Apache	CAMEL	8241	71	2	48	2
Apache	CAMEL	8253	931	23	143	98
Apache	CAMEL	72	24	1	16	2
Apache	CAMEL	8268	31	1	20	1
Apache	CAMEL	8270	594	13	145	80
Apache	CAMEL	8272	52	5	35	7
Apache	CAMEL	81	11	0	8	1
Apache	CAMEL	85	15	0	10	0
Apache	CAMEL	8289	24	0	14	0
Apache	CAMEL	103	73	6	32	19
Apache	CAMEL	105	25	2	22	3
Apache	CAMEL	8302	35	1	28	1
Apache	CAMEL	112	18	3	18	6
Apache	CAMEL	1384	63	1	37	9
Apache	CAMEL	8313	203	7	63	8
Apache	CAMEL	122	13	1	13	0
Apache	CAMEL	123	23	0	18	0
Apache	CAMEL	8327	78	6	54	16
Apache	CAMEL	8329	22	2	17	3
Apache	CAMEL	140	25	1	18	2
Apache	CAMEL	8336	25	4	15	3
Apache	CAMEL	8338	25	2	18	7
Apache	CAMEL	8339	63	6	40	13
Apache	CAMEL	8341	323	16	87	54
Apache	CAMEL	154	167	9	96	15
Apache	CAMEL	158	8	0	8	0
Apache	CAMEL	8352	40	1	28	2
Apache	CAMEL	8353	39	1	26	3
Apache	CAMEL	8355	23	2	15	3
Apache	CAMEL	8356	38	0	25	4
Apache	CAMEL	166	31	1	20	1
Apache	CAMEL	8359	40	4	23	3
Apache	CAMEL	171	157	3	51	20
Apache	CAMEL	173	459	33	146	75
Apache	CAMEL	8369	35	0	26	2
Apache	CAMEL	189	20	0	16	4
Apache	CAMEL	8382	75	1	38	8
Apache	CAMEL	191	26	2	21	3
Apache	CAMEL	194	25	0	17	2
Apache	CAMEL	197	54	2	33	1
Apache	CAMEL	8393	200	6	88	37
Apache	CAMEL	203	52	1	38	4
Apache	CAMEL	8401	31	2	22	2
Apache	CAMEL	210	17	0	11	0
