Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk		NDistTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	6912	0	0	1	1	216	34	91	34	0.009567	0.003574	
Apache	CAMEL	5025	0	0	1	1	45	5	29	5	0.003049	0.000526	
Apache	CAMEL	4483	0	0	0	1	93	3	59	3	0.006203	0.000315	
Apache	CAMEL	6660	0	0	0	1	46	3	31	2	0.003259	0.000210	
Apache	CAMEL	8587	0	0	0	0	23	0	13	0	0.001367	0.000000	
Apache	CAMEL	7564	0	0	0	1	32	2	22	1	0.002313	0.000105	
Apache	CAMEL	6798	0	0	1	1	81	7	55	6	0.005782	0.000631	
Apache	CAMEL	10129	0	0	0	1	33	2	26	2	0.002733	0.000210	
Apache	CAMEL	5251	0	0	1	1	362	21	135	21	0.014193	0.002208	
Apache	CAMEL	9108	0	0	0	1	57	5	36	5	0.003785	0.000526	
Apache	CAMEL	1814	0	1	0	1	399	34	86	33	0.009041	0.003469	
Apache	CAMEL	3801	0	0	1	1	133	4	68	4	0.007149	0.000421	
Apache	CAMEL	537	0	0	0	1	552	3	60	3	0.006308	0.000315	
Apache	CAMEL	1054	0	0	0	0	15	0	15	0	0.001577	0.000000	
Apache	CAMEL	9377	0	0	0	0	10	0	10	0	0.001051	0.000000	
Apache	CAMEL	4901	0	0	0	1	19	1	19	1	0.001997	0.000105	
Apache	CAMEL	3752	0	0	1	1	34	4	29	3	0.003049	0.000315	
Apache	CAMEL	6565	0	0	0	1	32	1	23	1	0.002418	0.000105	
Apache	CAMEL	3245	0	0	0	0	5	0	5	0	0.000526	0.000000	
Apache	CAMEL	558	0	0	0	1	43	3	28	3	0.002944	0.000315	
Apache	CAMEL	6703	0	0	0	1	65	6	46	6	0.004836	0.000631	
Apache	CAMEL	7179	0	0	0	1	3	1	3	1	0.000315	0.000105	
Apache	CAMEL	6558	0	0	1	1	44	7	33	7	0.003469	0.000736	
Apache	CAMEL	7350	0	0	0	1	49	9	38	8	0.003995	0.000841	
Apache	CAMEL	4284	0	0	0	1	47	3	28	3	0.002944	0.000315	
Apache	CAMEL	3901	0	0	0	0	114	0	68	0	0.007149	0.000000	
Apache	CAMEL	1216	0	0	0	1	20	3	19	3	0.001997	0.000315	
Apache	CAMEL	4456	0	0	0	0	41	0	26	0	0.002733	0.000000	
Apache	CAMEL	3907	0	0	0	0	22	0	15	0	0.001577	0.000000	
Apache	CAMEL	1604	0	0	0	1	26	4	22	4	0.002313	0.000421	
Apache	CAMEL	3361	0	0	0	1	20	1	13	1	0.001367	0.000105	
Apache	CAMEL	9294	0	0	1	1	76	10	50	10	0.005257	0.001051	
Apache	CAMEL	849	0	0	0	0	37	0	22	0	0.002313	0.000000	
Apache	CAMEL	462	0	1	1	1	68	3	39	3	0.004100	0.000315	
Apache	CAMEL	1111	0	0	0	1	128	7	86	7	0.009041	0.000736	
Apache	CAMEL	3673	0	0	1	1	123	10	43	10	0.004521	0.001051	
Apache	CAMEL	8539	0	0	1	1	67	7	48	7	0.005046	0.000736	
Apache	CAMEL	476	0	0	0	1	6	1	6	1	0.000631	0.000105	
Apache	CAMEL	5669	0	0	0	1	31	2	18	2	0.001892	0.000210	
Apache	CAMEL	7869	0	0	0	1	16	6	13	4	0.001367	0.000421	
Apache	CAMEL	3299	0	0	1	1	70	10	36	7	0.003785	0.000736	
Apache	CAMEL	7428	0	0	1	1	54	6	28	6	0.002944	0.000631	
Apache	CAMEL	3304	0	0	0	0	26	0	17	0	0.001787	0.000000	
Apache	CAMEL	4847	0	0	1	1	32	2	21	2	0.002208	0.000210	
Apache	CAMEL	1265	0	0	0	0	3	0	3	0	0.000315	0.000000	
Apache	CAMEL	6387	0	0	0	1	18	6	9	3	0.000946	0.000315	
Apache	CAMEL	1780	0	0	0	1	48	3	36	3	0.003785	0.000315	
Apache	CAMEL	8315	0	0	1	1	32	10	21	9	0.002208	0.000946	
Apache	CAMEL	7678	0	0	0	0	25	0	19	0	0.001997	0.000000	
Apache	HBASE	9472	0	0	1	1	102	8	56	8	0.007592	0.001085	
Apache	HBASE	11542	0	0	1	1	55	6	29	5	0.003932	0.000678	
Apache	HBASE	4099	0	0	0	1	101	3	65	2	0.008812	0.000271	
Apache	HBASE	4100	0	0	0	1	119	2	64	2	0.008677	0.000271	
Apache	HBASE	6422	0	0	0	1	121	4	72	3	0.009761	0.000407	
Apache	HBASE	13574	0	1	0	1	179	22	48	22	0.006508	0.002983	
Apache	HBASE	6151	1	1	1	1	162	31	63	31	0.008541	0.004203	
Apache	HBASE	5640	0	0	0	0	23	0	21	0	0.002847	0.000000	
Apache	HBASE	13707	0	0	0	1	22	2	17	2	0.002305	0.000271	
Apache	HBASE	12813	0	0	0	0	31	0	21	0	0.002847	0.000000	
Apache	HBASE	12942	0	1	0	1	313	59	67	58	0.009084	0.007863	
Apache	HBASE	3885	0	0	0	1	5	1	5	1	0.000678	0.000136	
Apache	HBASE	7825	0	0	0	0	21	0	13	0	0.001762	0.000000	
Apache	HBASE	12178	0	0	0	0	21	0	17	0	0.002305	0.000000	
Apache	HBASE	16403	0	0	0	1	29	1	22	1	0.002983	0.000136	
Apache	HBASE	8212	0	0	0	1	33	1	29	1	0.003932	0.000136	
Apache	HBASE	12821	1	0	1	0	176	0	46	0	0.006236	0.000000	
Apache	HBASE	6166	0	0	0	0	23	0	16	0	0.002169	0.000000	
Apache	HBASE	5337	0	0	0	1	38	3	26	2	0.003525	0.000271	
Apache	HBASE	12828	0	0	0	1	19	2	14	2	0.001898	0.000271	
Apache	HBASE	3726	0	0	0	1	60	3	37	3	0.005016	0.000407	
Apache	HBASE	7557	0	0	0	0	13	0	10	0	0.001356	0.000000	
Apache	HBASE	8992	0	1	0	1	658	32	102	32	0.013829	0.004338	
Apache	HBASE	10913	0	0	0	1	17	1	14	1	0.001898	0.000136	
Apache	HBASE	14811	0	0	1	1	48	5	37	4	0.005016	0.000542	
Apache	HBASE	16676	0	0	0	1	100	4	76	4	0.010304	0.000542	
Apache	HBASE	7591	0	0	0	1	17	3	15	3	0.002034	0.000407	
Apache	HBASE	11420	0	0	0	1	58	2	44	1	0.005965	0.000136	
Apache	HBASE	7580	0	1	0	1	250	12	37	12	0.005016	0.001627	
Apache	HBASE	14763	0	0	0	1	22	2	20	2	0.002711	0.000271	
Apache	HBASE	12717	0	0	1	1	91	13	56	13	0.007592	0.001762	
Apache	HBASE	6446	0	0	0	0	29	0	19	0	0.002576	0.000000	
Apache	HBASE	11714	0	0	0	1	145	13	96	11	0.013015	0.001491	
