Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk		NDistTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	6912	0	0	1	1	242	34	85	34	0.012064	0.004825	
Apache	CAMEL	5025	0	0	1	1	48	5	30	5	0.004258	0.000710	
Apache	CAMEL	4483	0	0	0	1	96	3	59	3	0.008374	0.000426	
Apache	CAMEL	6660	0	0	0	1	49	3	32	2	0.004542	0.000284	
Apache	CAMEL	8587	0	0	0	0	23	0	13	0	0.001845	0.000000	
Apache	CAMEL	7564	0	0	0	1	34	2	23	1	0.003264	0.000142	
Apache	CAMEL	6798	0	0	1	1	97	7	55	6	0.007806	0.000852	
Apache	CAMEL	10129	0	0	0	1	38	2	28	2	0.003974	0.000284	
Apache	CAMEL	5251	0	0	1	1	397	21	140	21	0.019869	0.002980	
Apache	CAMEL	9108	0	0	0	1	60	5	36	5	0.005109	0.000710	
Apache	CAMEL	1814	0	1	0	1	436	34	84	33	0.011922	0.004684	
Apache	CAMEL	3801	0	0	1	1	142	4	72	4	0.010219	0.000568	
Apache	CAMEL	537	0	0	0	1	566	3	62	3	0.008799	0.000426	
Apache	CAMEL	1054	0	0	0	0	15	0	15	0	0.002129	0.000000	
Apache	CAMEL	9377	0	0	0	0	10	0	10	0	0.001419	0.000000	
Apache	CAMEL	4901	0	0	0	1	20	1	20	1	0.002838	0.000142	
Apache	CAMEL	3752	0	0	1	1	37	4	26	3	0.003690	0.000426	
Apache	CAMEL	6565	0	0	0	1	32	1	23	1	0.003264	0.000142	
Apache	CAMEL	3245	0	0	0	0	5	0	5	0	0.000710	0.000000	
Apache	CAMEL	558	0	0	0	1	48	3	31	3	0.004400	0.000426	
Apache	CAMEL	6703	0	0	0	1	70	6	46	6	0.006529	0.000852	
Apache	CAMEL	7179	0	0	0	1	4	1	4	1	0.000568	0.000142	
Apache	CAMEL	6558	0	0	1	1	52	7	33	7	0.004684	0.000993	
Apache	CAMEL	7350	0	0	0	1	55	9	42	8	0.005961	0.001135	
Apache	CAMEL	4284	0	0	0	1	47	3	28	3	0.003974	0.000426	
Apache	CAMEL	3901	0	0	0	0	114	0	68	0	0.009651	0.000000	
Apache	CAMEL	1216	0	0	0	1	21	3	20	3	0.002838	0.000426	
Apache	CAMEL	4456	0	0	0	0	41	0	26	0	0.003690	0.000000	
Apache	CAMEL	3907	0	0	0	0	22	0	15	0	0.002129	0.000000	
Apache	CAMEL	1604	0	0	0	1	28	4	24	4	0.003406	0.000568	
Apache	CAMEL	3361	0	0	0	1	21	1	12	1	0.001703	0.000142	
Apache	CAMEL	9294	0	0	1	1	86	10	49	10	0.006954	0.001419	
Apache	CAMEL	849	0	0	0	0	37	0	22	0	0.003122	0.000000	
Apache	CAMEL	462	0	1	1	1	71	3	40	3	0.005677	0.000426	
Apache	CAMEL	1111	0	0	0	1	134	7	85	7	0.012064	0.000993	
Apache	CAMEL	3673	0	0	1	1	127	10	42	10	0.005961	0.001419	
Apache	CAMEL	8539	0	0	1	1	78	7	49	7	0.006954	0.000993	
Apache	CAMEL	476	0	0	0	1	7	1	7	1	0.000993	0.000142	
Apache	CAMEL	5669	0	0	0	1	31	2	18	2	0.002555	0.000284	
Apache	CAMEL	7869	0	0	0	1	20	6	15	4	0.002129	0.000568	
Apache	CAMEL	3299	0	0	1	1	79	10	36	7	0.005109	0.000993	
Apache	CAMEL	7428	0	0	1	1	56	6	25	6	0.003548	0.000852	
Apache	CAMEL	3304	0	0	0	0	26	0	17	0	0.002413	0.000000	
Apache	CAMEL	4847	0	0	1	1	34	2	20	2	0.002838	0.000284	
Apache	CAMEL	1265	0	0	0	0	3	0	3	0	0.000426	0.000000	
Apache	CAMEL	6387	0	0	0	1	24	6	11	3	0.001561	0.000426	
Apache	CAMEL	1780	0	0	0	1	49	3	36	3	0.005109	0.000426	
Apache	CAMEL	8315	0	0	1	1	46	10	23	9	0.003264	0.001277	
Apache	CAMEL	7678	0	0	0	0	25	0	19	0	0.002697	0.000000	
Apache	HBASE	9472	0	0	1	1	112	8	56	8	0.008949	0.001278	
Apache	HBASE	11542	0	0	1	1	61	6	33	5	0.005273	0.000799	
Apache	HBASE	4099	0	0	0	1	108	3	65	2	0.010387	0.000320	
Apache	HBASE	4100	0	0	0	1	119	2	64	2	0.010227	0.000320	
Apache	HBASE	6422	0	0	0	1	129	4	74	3	0.011825	0.000479	
Apache	HBASE	13574	0	1	0	1	213	22	47	22	0.007510	0.003516	
Apache	HBASE	6151	1	1	1	1	198	31	67	31	0.010706	0.004954	
Apache	HBASE	5640	0	0	0	0	23	0	21	0	0.003356	0.000000	
Apache	HBASE	13707	0	0	0	1	24	2	16	2	0.002557	0.000320	
Apache	HBASE	12813	0	0	0	0	31	0	21	0	0.003356	0.000000	
Apache	HBASE	12942	0	1	0	1	398	59	69	58	0.011026	0.009268	
Apache	HBASE	3885	0	0	0	1	5	1	5	1	0.000799	0.000160	
Apache	HBASE	7825	0	0	0	0	21	0	13	0	0.002077	0.000000	
Apache	HBASE	12178	0	0	0	0	22	0	18	0	0.002876	0.000000	
Apache	HBASE	16403	0	0	0	1	30	1	23	1	0.003675	0.000160	
Apache	HBASE	8212	0	0	0	1	34	1	29	1	0.004634	0.000160	
Apache	HBASE	12821	1	0	1	0	185	0	51	0	0.008150	0.000000	
Apache	HBASE	6166	0	0	0	0	23	0	16	0	0.002557	0.000000	
Apache	HBASE	5337	0	0	0	1	42	3	25	2	0.003995	0.000320	
Apache	HBASE	12828	0	0	0	1	21	2	15	2	0.002397	0.000320	
Apache	HBASE	3726	0	0	0	1	63	3	38	3	0.006072	0.000479	
Apache	HBASE	7557	0	0	0	0	13	0	10	0	0.001598	0.000000	
Apache	HBASE	8992	0	1	0	1	705	32	104	32	0.016619	0.005113	
Apache	HBASE	10913	0	0	0	1	18	1	14	1	0.002237	0.000160	
