Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk		NDistTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	5376	0	0	0	1	89	3	55	3	0.005782	0.000315	
Apache	CAMEL	4225	0	0	0	0	31	0	25	0	0.002628	0.000000	
Apache	CAMEL	4482	0	0	0	1	35	3	27	3	0.002839	0.000315	
Apache	CAMEL	7556	0	0	0	0	16	0	13	0	0.001367	0.000000	
Apache	CAMEL	6918	0	0	0	0	16	0	13	0	0.001367	0.000000	
Apache	CAMEL	5255	0	0	0	0	36	0	23	0	0.002418	0.000000	
Apache	CAMEL	522	0	0	0	1	116	4	58	4	0.006098	0.000421	
Apache	CAMEL	6541	0	0	1	1	50	7	28	6	0.002944	0.000631	
Apache	CAMEL	4882	0	0	0	1	17	1	13	1	0.001367	0.000105	
Apache	CAMEL	1815	0	0	0	1	17	3	15	3	0.001577	0.000315	
Apache	CAMEL	7194	0	0	0	1	54	6	31	6	0.003259	0.000631	
Apache	CAMEL	1053	0	0	0	1	18	2	16	2	0.001682	0.000210	
Apache	CAMEL	8222	0	0	1	1	42	6	27	5	0.002839	0.000526	
Apache	CAMEL	9631	0	0	0	1	28	4	19	3	0.001997	0.000315	
Apache	CAMEL	3104	0	0	1	1	53	7	36	6	0.003785	0.000631	
Apache	CAMEL	4515	0	0	0	1	46	1	24	1	0.002523	0.000105	
Apache	CAMEL	7298	0	0	1	1	109	9	57	9	0.005992	0.000946	
Apache	CAMEL	3630	0	0	0	0	11	0	7	0	0.000736	0.000000	
Apache	CAMEL	7092	0	0	0	1	24	2	18	2	0.001892	0.000210	
Apache	CAMEL	7349	0	0	0	1	45	9	35	8	0.003680	0.000841	
Apache	CAMEL	9161	0	0	0	0	42	0	29	0	0.003049	0.000000	
Apache	CAMEL	7868	0	0	0	1	17	5	17	5	0.001787	0.000526	
Apache	CAMEL	3082	0	0	0	1	19	4	19	4	0.001997	0.000421	
Apache	CAMEL	3774	0	0	0	1	139	3	75	3	0.007885	0.000315	
Apache	CAMEL	577	0	0	0	1	47	6	34	6	0.003574	0.000631	
Apache	CAMEL	3524	0	0	0	0	26	0	22	0	0.002313	0.000000	
Apache	CAMEL	8393	0	0	1	1	200	37	88	37	0.009251	0.003890	
Apache	CAMEL	8270	0	1	0	1	594	81	145	80	0.015244	0.008410	
Apache	CAMEL	1107	0	0	0	1	29	4	15	3	0.001577	0.000315	
Apache	CAMEL	2389	0	0	0	0	23	0	15	0	0.001577	0.000000	
Apache	CAMEL	3800	0	0	0	1	27	2	23	2	0.002418	0.000210	
Apache	CAMEL	3674	0	0	0	0	42	0	30	0	0.003154	0.000000	
Apache	CAMEL	8923	0	0	0	1	70	4	43	4	0.004521	0.000421	
Apache	CAMEL	9313	0	0	0	1	128	13	81	12	0.008516	0.001262	
Apache	CAMEL	482	0	0	1	1	55	2	29	2	0.003049	0.000210	
Apache	CAMEL	5024	0	0	0	0	31	0	26	0	0.002733	0.000000	
Apache	CAMEL	1511	0	0	0	1	13	6	9	3	0.000946	0.000315	
Apache	CAMEL	1261	0	1	1	1	131	14	56	14	0.005887	0.001472	
Apache	CAMEL	8431	0	0	1	1	69	17	46	16	0.004836	0.001682	
Apache	CAMEL	6769	0	0	0	1	30	3	24	3	0.002523	0.000315	
Apache	CAMEL	8147	0	0	0	1	39	3	25	2	0.002628	0.000210	
Apache	CAMEL	5239	0	0	0	0	15	0	12	0	0.001262	0.000000	
Apache	CAMEL	505	0	0	1	1	60	1	41	1	0.004310	0.000105	
Apache	CAMEL	122	0	0	0	0	13	0	13	0	0.001367	0.000000	
Apache	CAMEL	123	0	0	0	0	23	0	18	0	0.001892	0.000000	
Apache	CAMEL	1919	0	0	0	1	39	1	27	1	0.002839	0.000105	
Apache	HBASE	11039	1	0	0	1	105	2	50	1	0.006779	0.000136	
Apache	HBASE	6529	0	0	0	1	37	4	25	4	0.003389	0.000542	
Apache	HBASE	8962	0	0	0	0	23	0	16	0	0.002169	0.000000	
Apache	HBASE	10371	1	0	0	1	206	11	53	11	0.007185	0.001491	
Apache	HBASE	7770	0	0	0	1	19	2	18	2	0.002440	0.000271	
Apache	HBASE	13317	0	1	0	1	288	18	65	17	0.008812	0.002305	
Apache	HBASE	14983	0	0	0	0	18	0	14	0	0.001898	0.000000	
Apache	HBASE	5128	0	0	1	1	225	2	109	2	0.014778	0.000271	
Apache	HBASE	11052	0	0	0	1	65	4	49	4	0.006643	0.000542	
Apache	HBASE	7122	0	1	0	1	187	19	62	19	0.008406	0.002576	
Apache	HBASE	15746	0	0	0	1	133	12	69	11	0.009355	0.001491	
Apache	HBASE	8207	0	0	0	1	339	12	86	12	0.011659	0.001627	
Apache	HBASE	16017	0	0	0	1	26	3	23	2	0.003118	0.000271	
Apache	HBASE	7693	0	0	0	1	41	4	30	3	0.004067	0.000407	
Apache	HBASE	4931	0	0	0	1	71	12	45	12	0.006101	0.001627	
Apache	HBASE	589	0	0	0	0	16	0	10	0	0.001356	0.000000	
Apache	HBASE	921	0	0	0	0	169	0	99	0	0.013422	0.000000	
Apache	HBASE	15773	0	0	0	1	56	3	44	2	0.005965	0.000271	
Apache	HBASE	15315	0	0	0	0	42	0	30	0	0.004067	0.000000	
Apache	HBASE	8991	0	1	0	1	645	32	90	32	0.012202	0.004338	
Apache	HBASE	12832	0	0	1	1	198	1	53	1	0.007185	0.000136	
Apache	HBASE	13732	0	1	0	1	226	28	87	26	0.011795	0.003525	
Apache	HBASE	6565	0	0	0	1	36	4	31	4	0.004203	0.000542	
Apache	HBASE	12198	0	0	0	0	12	0	7	0	0.000949	0.000000	
Apache	HBASE	13607	0	1	0	1	52	12	31	12	0.004203	0.001627	
Apache	HBASE	3497	0	0	0	1	55	9	40	7	0.005423	0.000949	
Apache	HBASE	5162	0	0	0	1	136	1	94	1	0.012744	0.000136	
Apache	HBASE	12716	0	0	1	1	130	10	63	10	0.008541	0.001356	
Apache	HBASE	15610	0	0	0	0	10	0	9	0	0.001220	0.000000	
Apache	HBASE	7581	0	0	0	1	4	1	4	1	0.000542	0.000136	
Apache	HBASE	14963	0	0	0	1	40	1	31	1	0.004203	0.000136	
Apache	HBASE	3636	0	0	0	1	88	2	55	2	0.007457	0.000271	
Apache	HBASE	5372	0	0	0	0	39	0	21	0	0.002847	0.000000	
Apache	HBASE	2231	0	0	0	0	26	0	19	0	0.002576	0.000000	
Apache	HBASE	4536	1	0	0	1	71	1	50	1	0.006779	0.000136	
Apache	HBASE	10169	0	0	0	0	51	0	23	0	0.003118	0.000000	
Apache	HBASE	6330	0	0	0	1	35	1	29	1	0.003932	0.000136	
Apache	HBASE	6263	0	0	0	1	69	8	35	8	0.004745	0.001085	
Apache	HBASE	10960	0	0	0	1	17	2	12	1	0.001627	0.000136	
Apache	HBASE	11625	0	0	0	1	38	4	27	4	0.003661	0.000542	
Apache	HBASE	451	0	0	0	1	46	4	28	2	0.003796	0.000271	
Apache	HBASE	11333	0	0	0	1	11	2	9	1	0.001220	0.000136	
Apache	HBASE	5062	0	0	0	0	10	0	8	0	0.001085	0.000000	
Apache	HBASE	9033	0	0	0	1	27	2	20	1	0.002711	0.000136	
Apache	HBASE	12491	0	0	0	1	25	3	17	2	0.002305	0.000271	
Apache	HBASE	8781	0	0	1	1	39	5	18	4	0.002440	0.000542	
Apache	HBASE	15811	0	0	0	0	70	0	36	0	0.004881	0.000000	
Apache	HBASE	10831	0	1	0	1	95	18	35	16	0.004745	0.002169	
Apache	HBASE	10448	0	0	1	1	104	14	43	14	0.005830	0.001898	
Apache	HBASE	5714	0	0	0	0	58	0	40	0	0.005423	0.000000	
Apache	HBASE	14291	0	1	0	1	193	30	65	29	0.008812	0.003932	
Apache	HBASE	12373	0	0	0	0	18	0	12	0	0.001627	0.000000	
Apache	HBASE	6870	0	0	0	1	49	2	34	1	0.004610	0.000136	
Apache	HBASE	14777	0	0	0	1	58	9	34	9	0.004610	0.001220	
Apache	HBASE	6617	0	0	0	1	28	4	21	3	0.002847	0.000407	
Apache	HBASE	7507	0	0	1	1	54	10	40	10	0.005423	0.001356	
Apache	HBASE	2063	0	0	0	1	871	58	196	58	0.026573	0.007863	
Apache	HBASE	10020	0	0	0	0	22	0	16	0	0.002169	0.000000	
Apache	HBASE	3920	0	0	0	1	24	3	19	2	0.002576	0.000271	
Apache	HBASE	12897	0	0	0	0	38	0	29	0	0.003932	0.000000	
Apache	HBASE	12770	0	0	0	0	143	0	60	0	0.008134	0.000000	
Apache	HBASE	3939	0	0	0	0	40	0	28	0	0.003796	0.000000	
Apache	HBASE	12006	0	1	0	1	140	18	47	18	0.006372	0.002440	
Apache	HBASE	12393	0	0	1	1	451	17	59	17	0.007999	0.002305	
Apache	HBASE	6260	0	0	0	1	53	3	28	3	0.003796	0.000407	
Apache	HBASE	5970	0	0	0	1	90	6	42	4	0.005694	0.000542	
Apache	HBASE	11374	0	0	0	1	80	7	56	7	0.007592	0.000949	
Apache	HBASE	15856	0	0	0	1	85	6	55	6	0.007457	0.000813	
Apache	HBASE	4627	0	0	0	1	52	4	38	3	0.005152	0.000407	
Apache	HBASE	5876	0	0	0	1	8	2	4	1	0.000542	0.000136	
Apache	HBASE	10622	0	0	0	0	22	0	18	0	0.002440	0.000000	
Apache	HBASE	4470	0	1	0	1	211	28	74	28	0.010033	0.003796	
Apache	HBASE	12791	0	1	0	1	227	16	92	16	0.012473	0.002169	
Apache	HBASE	6265	0	0	0	1	52	7	37	6	0.005016	0.000813	
Apache	HBASE	5498	0	0	0	1	105	5	72	5	0.009761	0.000678	
Apache	HBASE	17020	0	1	1	1	209	46	80	46	0.010846	0.006236	
Apache	HBASE	14078	0	1	0	1	307	43	95	43	0.012880	0.005830	
Apache	HIVE	7681	0	0	0	1	44	2	29	2	0.003242	0.000224	
Apache	HIVE	10755	0	0	0	0	37	0	27	0	0.003018	0.000000	
Apache	HIVE	10244	0	1	1	1	9418	64	279	62	0.031187	0.006930	
Apache	HIVE	11	0	0	0	1	30	1	23	1	0.002571	0.000112	
Apache	HIVE	13838	0	0	0	0	6	0	6	0	0.000671	0.000000	
Apache	HIVE	6159	0	0	0	1	132	14	42	14	0.004695	0.001565	
Apache	HIVE	1112	0	0	0	1	15	6	9	3	0.001006	0.000335	
Apache	HIVE	2069	0	0	0	1	6	3	4	2	0.000447	0.000224	
Apache	HIVE	6575	0	0	0	1	52	4	35	4	0.003912	0.000447	
Apache	HIVE	5149	0	0	0	1	21	5	20	5	0.002236	0.000559	
Apache	HIVE	6687	0	0	1	1	60	4	38	3	0.004248	0.000335	
Apache	HIVE	7200	1	0	0	1	114	3	49	2	0.005477	0.000224	
Apache	HIVE	9249	0	1	0	1	109	21	37	18	0.004136	0.002012	
Apache	HIVE	5672	0	0	0	1	99	2	42	2	0.004695	0.000224	
Apache	HIVE	3420	0	0	1	1	139	17	60	17	0.006707	0.001900	
Apache	HIVE	12039	0	0	0	1	12	2	12	2	0.001341	0.000224	
Apache	HIVE	7212	0	0	0	0	34	0	23	0	0.002571	0.000000	
Apache	HIVE	8246	0	0	0	1	22	1	16	1	0.001789	0.000112	
Apache	HIVE	9481	0	0	1	1	230	1	68	1	0.007601	0.000112	
Apache	HIVE	6716	0	0	1	1	41	5	19	5	0.002124	0.000559	
Apache	HIVE	9278	0	0	1	1	73	2	37	2	0.004136	0.000224	
Apache	HIVE	13493	0	0	0	1	42	6	32	5	0.003577	0.000559	
Apache	HIVE	8768	0	0	0	0	5	0	5	0	0.000559	0.000000	
Apache	HIVE	6209	0	0	0	1	114	1	52	1	0.005813	0.000112	
Apache	HIVE	578	0	0	0	0	44	0	29	0	0.003242	0.000000	
Apache	HIVE	4619	0	1	0	1	357	36	83	36	0.009278	0.004024	
Apache	HIVE	5901	0	0	0	0	14	0	9	0	0.001006	0.000000	
Apache	HIVE	10309	0	0	0	1	34	5	21	4	0.002347	0.000447	
Apache	HIVE	1097	0	0	0	1	386	65	105	65	0.011737	0.007266	
Apache	HIVE	6218	0	0	0	0	31	0	21	0	0.002347	0.000000	
Apache	HIVE	4172	0	1	0	1	138	28	46	28	0.005142	0.003130	
Apache	HIVE	13410	0	0	0	1	34	3	23	2	0.002571	0.000224	
Apache	HIVE	3853	0	0	0	0	23	0	16	0	0.001789	0.000000	
Apache	HIVE	592	0	0	0	0	28	0	16	0	0.001789	0.000000	
Apache	HIVE	10965	0	0	0	0	5	0	5	0	0.000559	0.000000	
Apache	HIVE	5204	0	0	0	1	48	7	30	5	0.003353	0.000559	
Apache	HIVE	6741	0	0	1	1	89	18	58	18	0.006483	0.002012	
Apache	HIVE	13400	0	0	0	0	7	0	7	0	0.000782	0.000000	
Apache	HIVE	10841	1	0	1	1	1228	16	121	16	0.013526	0.001789	
Apache	HIVE	14943	0	0	0	0	13	0	12	0	0.001341	0.000000	
Apache	HIVE	8290	0	0	0	1	34	2	24	1	0.002683	0.000112	
Apache	HIVE	1126	0	0	0	1	65	7	41	7	0.004583	0.000782	
Apache	HIVE	9832	0	1	1	1	350	37	77	37	0.008607	0.004136	
Apache	HIVE	5225	0	0	0	1	421	64	105	64	0.011737	0.007154	
Apache	HIVE	8298	0	0	1	0	26	0	14	0	0.001565	0.000000	
Apache	HIVE	12399	0	0	0	1	19	2	15	1	0.001677	0.000112	
Apache	HIVE	3699	0	0	1	0	186	0	62	0	0.006930	0.000000	
Apache	HIVE	14964	0	0	0	1	30	3	15	3	0.001677	0.000335	
