Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk		NDistTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	5376	0	0	0	1	91	3	55	3	0.007806	0.000426	
Apache	CAMEL	4225	0	0	0	0	31	0	25	0	0.003548	0.000000	
Apache	CAMEL	4482	0	0	0	1	35	3	26	3	0.003690	0.000426	
Apache	CAMEL	7556	0	0	0	0	16	0	13	0	0.001845	0.000000	
Apache	CAMEL	6918	0	0	0	0	16	0	13	0	0.001845	0.000000	
Apache	CAMEL	5255	0	0	0	0	38	0	24	0	0.003406	0.000000	
Apache	CAMEL	522	0	0	0	1	118	4	58	4	0.008232	0.000568	
Apache	CAMEL	6541	0	0	1	1	57	7	28	6	0.003974	0.000852	
Apache	CAMEL	4882	0	0	0	1	18	1	13	1	0.001845	0.000142	
Apache	CAMEL	1815	0	0	0	1	17	3	15	3	0.002129	0.000426	
Apache	CAMEL	7194	0	0	0	1	63	6	32	6	0.004542	0.000852	
Apache	CAMEL	1053	0	0	0	1	18	2	16	2	0.002271	0.000284	
Apache	CAMEL	8222	0	0	1	1	56	6	28	5	0.003974	0.000710	
Apache	CAMEL	9631	0	0	0	1	31	4	20	3	0.002838	0.000426	
Apache	CAMEL	3104	0	0	1	1	57	7	35	6	0.004967	0.000852	
Apache	CAMEL	4515	0	0	0	1	47	1	24	1	0.003406	0.000142	
Apache	CAMEL	7298	0	0	1	1	119	9	57	9	0.008090	0.001277	
Apache	CAMEL	3630	0	0	0	0	11	0	7	0	0.000993	0.000000	
Apache	CAMEL	7092	0	0	0	1	24	2	18	2	0.002555	0.000284	
Apache	CAMEL	7349	0	0	0	1	51	9	39	8	0.005535	0.001135	
Apache	CAMEL	9161	0	0	0	0	42	0	29	0	0.004116	0.000000	
Apache	CAMEL	7868	0	0	0	1	20	5	19	5	0.002697	0.000710	
Apache	CAMEL	3082	0	0	0	1	21	4	19	4	0.002697	0.000568	
Apache	CAMEL	3774	0	0	0	1	140	3	75	3	0.010644	0.000426	
