Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	6912	0.0002	0.0003	0.0005	0.0005	0.0040	0.0040
Apache	CAMEL	4483	0.5045	0.5057	0.2813	0.2813	0.5039	1.0000
Apache	CAMEL	7428	0.1096	0.1098	0.3826	0.3826	0.1681	0.4425
Apache	CAMEL	7179	0.3339	0.3339	0.1198	0.1198	0.3996	0.4167
Apache	CAMEL	7564	0.0501	0.0859	0.5000	0.5000	0.2778	0.6667
Apache	CAMEL	5669	1.0000	1.0000	0.0616	0.0616	0.6984	0.2409
Apache	CAMEL	6798	1.0000	1.0000	0.0678	0.0678	0.3929	0.3667
Apache	CAMEL	10129	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	5251	1.0000	1.0000	0.2500	0.2500	0.5000	1.0000
Apache	CAMEL	9108	0.4290	0.4370	0.4833	0.4833	0.4438	0.6250
Apache	CAMEL	1814	0.1089	0.1121	0.1325	0.1325	0.0978	0.1203
Apache	CAMEL	537	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	6660	0.0572	0.0590	0.0516	0.0516	0.0796	0.0948
Apache	CAMEL	3304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	1054	0.3924	0.3480	0.4827	0.4826	0.2172	0.4237
Apache	CAMEL	5025	0.0145	0.0294	0.0400	0.0400	0.0182	0.5000
Apache	CAMEL	6565	0.7416	0.8486	0.9936	0.9936	0.8938	0.0000
Apache	CAMEL	3752	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	476	0.0357	0.0147	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3245	0.1544	0.3987	0.5222	0.5222	0.1431	0.6667
Apache	CAMEL	558	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	6703	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	3901	0.3033	0.3011	0.5565	0.5552	0.3073	0.1854
Apache	CAMEL	6558	0.5000	1.0000	0.0769	0.0769	0.5000	1.0000
Apache	CAMEL	7350	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4284	0.5000	0.5000	1.0000	1.0000	0.0303	0.1667
Apache	CAMEL	7869	0.0303	0.3333	1.0000	1.0000	0.2500	0.1250
Apache	CAMEL	1216	0.0605	0.0634	0.1144	0.1144	0.1595	0.0508
Apache	CAMEL	3907	0.3922	0.5083	0.5317	0.5317	0.4000	0.7222
Apache	CAMEL	1604	0.0110	0.0109	0.0340	0.0340	0.0000	0.0702
Apache	CAMEL	9377	0.2840	0.5868	0.2449	0.2612	0.1201	0.0000
Apache	CAMEL	3361	0.3413	0.2947	0.6194	0.6194	0.3500	0.5714
Apache	CAMEL	462	0.3072	0.2450	0.0972	0.0972	0.2699	0.2917
Apache	CAMEL	849	0.0851	0.1252	0.1203	0.1204	0.0767	0.2603
Apache	CAMEL	9294	0.6000	0.5286	0.2167	0.5500	0.0842	0.5000
Apache	CAMEL	1111	0.2696	0.3479	0.2339	0.2339	0.5112	0.4986
Apache	CAMEL	3801	0.4385	0.6111	0.0633	0.0633	0.2869	0.0587
Apache	CAMEL	8539	1.0000	1.0000	0.1667	0.1667	0.2500	1.0000
Apache	CAMEL	8587	0.5250	0.8333	0.7500	0.7500	1.0000	0.6250
Apache	CAMEL	4901	0.0267	0.0188	0.1106	0.1106	0.0864	0.0667
Apache	CAMEL	3299	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3673	0.0337	0.0605	0.0584	0.0584	0.3532	0.1898
Apache	CAMEL	4456	0.5556	0.8333	1.0000	1.0000	1.0000	0.8333
Apache	CAMEL	4847	0.0225	0.0226	0.4141	0.4141	0.0181	0.0000
Apache	CAMEL	1265	0.2000	0.2000	0.0213	0.0213	0.3333	0.1667
Apache	CAMEL	6387	0.6429	0.8333	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	1780	0.0043	0.0047	0.0029	0.0029	0.0015	0.0147
Apache	CAMEL	8315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	7678	0.1115	0.1116	0.0538	0.0538	0.0000	0.0563
Apache	CAMEL	6015	0.5222	0.5833	0.5476	0.5476	0.3929	0.8333
Apache	HBASE	9472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HBASE	11542	0.1250	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	HBASE	4099	0.4561	0.5385	0.1853	0.1853	0.6389	0.3464
Apache	HBASE	4100	0.5088	0.5940	0.0708	0.0708	0.5333	0.0639
Apache	HBASE	6422	0.3631	0.3753	0.5079	0.5079	0.3677	0.2875
