Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	6912	0.0005	0.0006	0.0011	0.0011	0.0081	0.0079
Apache	CAMEL	4483	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	7428	0.3333	0.1429	1.0000	1.0000	0.1000	1.0000
Apache	CAMEL	7179	1.0000	1.0000	0.3333	0.3333	1.0000	1.0000
Apache	CAMEL	7564	0.1429	0.2500	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	5669	1.0000	1.0000	0.0909	0.0909	1.0000	0.2500
Apache	CAMEL	6798	1.0000	1.0000	0.0667	0.0667	0.5000	0.3333
Apache	CAMEL	10129	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	5251	1.0000	1.0000	0.2500	0.2500	0.5000	1.0000
Apache	CAMEL	9108	1.0000	0.5000	0.3333	0.3333	0.5000	1.0000
Apache	CAMEL	1814	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000
Apache	CAMEL	537	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	6660	0.3333	0.1429	0.2500	0.2500	0.5000	0.5000
Apache	CAMEL	3304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	1054	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	5025	0.0145	0.0294	0.0400	0.0400	0.0182	0.5000
Apache	CAMEL	6565	0.5000	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	CAMEL	3752	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	476	0.0357	0.0147	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3245	0.3333	1.0000	1.0000	1.0000	0.1667	1.0000
Apache	CAMEL	558	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	6703	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	3901	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	6558	0.5000	1.0000	0.0769	0.0769	0.5000	1.0000
Apache	CAMEL	7350	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4284	0.5000	0.5000	1.0000	1.0000	0.0303	0.1667
Apache	CAMEL	7869	0.0303	0.3333	1.0000	1.0000	0.2500	0.1250
Apache	CAMEL	1216	0.1429	0.2000	0.3333	0.3333	1.0000	0.5000
Apache	CAMEL	3907	0.5000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	CAMEL	1604	0.0333	0.0357	0.3333	0.3333	0.0000	0.2500
Apache	CAMEL	9377	0.3333	1.0000	1.0000	1.0000	0.3333	0.0000
Apache	CAMEL	3361	0.2000	0.3333	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	462	1.0000	0.5000	0.0714	0.0714	0.3333	0.5000
Apache	CAMEL	849	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	9294	1.0000	1.0000	0.3333	1.0000	0.1429	1.0000
Apache	CAMEL	1111	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	3801	1.0000	1.0000	0.0500	0.0500	0.2000	0.1667
Apache	CAMEL	8539	1.0000	1.0000	0.1667	0.1667	0.2500	1.0000
Apache	CAMEL	8587	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4901	0.0182	0.0263	0.1667	0.1667	0.2000	0.2000
Apache	CAMEL	3299	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3673	0.1111	0.2500	0.1250	0.1250	1.0000	1.0000
Apache	CAMEL	4456	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4847	0.1250	0.1667	0.0769	0.0769	0.2500	0.0000
Apache	CAMEL	1265	0.2000	0.2000	0.0213	0.0213	0.3333	0.1667
Apache	CAMEL	6387	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	1780	0.0135	0.0161	0.0072	0.0072	0.0059	0.0588
Apache	CAMEL	8315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	7678	0.3333	0.3333	0.1000	0.1000	0.0000	0.1667
Apache	CAMEL	6015	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	HBASE	9472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HBASE	11542	0.1250	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	HBASE	4099	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	HBASE	4100	1.0000	1.0000	0.0833	0.0833	0.5000	0.1111
Apache	HBASE	6422	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	13574	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	6151	0.0058	0.0046	0.0909	0.0909	0.0233	0.0000
Apache	HBASE	6280	0.0769	0.1250	0.5000	0.5000	0.1429	0.3333
Apache	HBASE	13707	1.0000	1.0000	0.1429	0.1429	1.0000	1.0000
Apache	HBASE	3778	0.0196	0.0435	0.1667	0.1667	0.1429	1.0000
Apache	HBASE	12942	0.1111	0.0588	0.1000	0.1000	0.0068	0.0000
Apache	HBASE	3885	1.0000	1.0000	0.0323	0.0323	0.1250	1.0000
Apache	HBASE	7825	0.2500	1.0000	0.2000	0.2000	0.5000	0.3333
Apache	HBASE	12178	0.2500	0.1667	0.3333	0.3333	0.1667	0.2000
Apache	HBASE	16403	0.2000	0.5000	0.0526	0.0526	0.1250	0.3333
Apache	HBASE	3604	0.5000	1.0000	0.2000	0.2000	0.1667	0.0000
Apache	HBASE	12821	0.0455	0.0238	0.0769	0.0769	0.0345	0.0357
Apache	HBASE	6166	0.0667	0.0526	0.3333	0.3333	0.1111	0.0096
Apache	HBASE	7385	0.0769	0.0714	0.0455	0.0455	0.0435	0.0370
Apache	HBASE	5337	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	7580	0.0156	0.5000	0.0909	0.0909	1.0000	0.2000
Apache	HBASE	7557	1.0000	1.0000	0.0192	0.0192	0.5000	0.0196
Apache	HBASE	8992	0.0500	1.0000	0.1429	0.1429	1.0000	0.1111
Apache	HBASE	10913	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	5333	0.1250	0.0833	0.3333	0.3333	0.5000	0.5000
Apache	HBASE	8923	0.1250	0.2000	0.1429	0.1429	0.2500	0.0000
Apache	HBASE	16676	0.0400	0.0714	0.0323	0.0323	0.3333	0.0556
Apache	HBASE	5640	1.0000	1.0000	0.3333	0.3333	0.5000	0.5000
Apache	HBASE	11420	0.2500	1.0000	0.3333	0.3333	0.2500	0.2500
Apache	HBASE	14763	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	12717	0.1667	0.5000	0.2500	0.5000	0.1667	0.0385
Apache	HBASE	6446	0.2500	1.0000	0.5000	0.5000	0.2500	1.0000
Apache	HBASE	14699	0.2000	0.3333	1.0000	1.0000	0.5000	0.2500
Apache	HBASE	13960	0.1111	0.3333	0.0667	0.0667	0.0833	0.0000
Apache	HBASE	15922	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	6196	0.3333	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	HBASE	12469	0.1000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	HBASE	13623	1.0000	1.0000	0.2000	0.2000	1.0000	0.0000
Apache	HBASE	9076	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	HBASE	15162	1.0000	0.5000	1.0000	1.0000	1.0000	0.5000
Apache	HBASE	5820	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	HBASE	14653	0.1000	0.5000	0.3333	0.3333	0.5000	0.2000
Apache	HBASE	15221	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	11714	0.1250	0.0714	0.1250	0.1250	0.2000	1.0000
Apache	HBASE	8258	1.0000	1.0000	0.3333	0.3333	0.3333	0.1111
Apache	HBASE	16581	0.5000	0.3333	0.0357	0.0357	1.0000	0.1111
Apache	HBASE	6086	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	HBASE	8136	1.0000	1.0000	0.5000	0.5000	0.1667	1.0000
Apache	HBASE	5834	1.0000	1.0000	0.0714	0.0714	1.0000	1.0000
Apache	HBASE	565	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	HBASE	12813	1.0000	1.0000	0.5000	0.5000	0.3333	1.0000
Apache	HBASE	848	0.0370	0.0556	0.0526	0.0526	0.0270	0.0208
Apache	HBASE	11089	0.0200	0.0164	0.0278	0.0278	0.0400	0.0000
Apache	HBASE	851	1.0000	1.0000	0.2500	0.2500	0.5000	0.2500
Apache	HBASE	3726	0.5000	0.5000	1.0000	1.0000	1.0000	0.3333
Apache	HBASE	11222	0.0370	0.0769	0.1429	0.1429	0.1111	0.0141
Apache	HBASE	4055	0.1111	0.1429	1.0000	1.0000	0.2000	1.0000
Apache	HBASE	17113	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	9913	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	14811	0.2500	0.3333	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	11612	0.0091	0.0088	0.0833	0.0833	0.0417	1.0000
Apache	HBASE	6749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HBASE	7774	0.2500	0.3333	0.1429	0.1429	0.0625	0.5000
Apache	HBASE	8212	1.0000	1.0000	1.0000	1.0000	1.0000	0.1250
Apache	HBASE	4834	0.2500	0.1667	0.0455	0.0455	0.0370	0.5000
Apache	HBASE	12828	0.0556	0.1000	0.0385	0.0385	0.5000	0.0063
Apache	HBASE	13783	0.2500	0.2500	0.3333	0.3333	0.5000	0.0250
Apache	HBASE	2535	1.0000	1.0000	0.2500	0.2500	0.5000	0.2000
Apache	HBASE	2280	0.5000	0.3333	1.0000	1.0000	1.0000	0.0833
Apache	HBASE	8937	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	3307	0.5000	0.1429	1.0000	1.0000	1.0000	0.2000
Apache	HBASE	3816	0.2000	0.2500	1.0000	1.0000	0.3333	0.3333
Apache	HBASE	9427	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	5492	1.0000	1.0000	0.5000	0.5000	1.0000	0.5000
Apache	HBASE	16117	0.5000	1.0000	0.0769	0.0769	1.0000	1.0000
Apache	HBASE	502	1.0000	0.3333	1.0000	1.0000	0.2000	1.0000
Apache	HBASE	1913	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	3007	0.0250	0.0238	0.0556	0.0556	0.0455	0.0333
Apache	HBASE	4094	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	14079	0.2500	0.5000	0.2000	0.2000	1.0000	1.0000
Apache	HIVE	8192	1.0000	0.5000	0.3333	0.3333	0.3333	1.0000
Apache	HIVE	10240	0.1667	0.2000	0.3333	0.3333	0.2500	1.0000
Apache	HIVE	13314	1.0000	1.0000	0.1000	0.1000	0.5000	0.0833
Apache	HIVE	2564	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HIVE	3589	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
Apache	HIVE	12807	0.0073	0.0058	0.0169	0.0172	0.0137	0.0122
Apache	HIVE	8712	0.2000	0.2500	1.0000	1.0000	0.1111	1.0000
Apache	HIVE	9739	0.0556	0.3333	0.0061	0.0061	0.2500	0.0769
Apache	HIVE	3596	0.3333	0.5000	0.1250	0.1250	1.0000	1.0000
Apache	HIVE	1550	0.1250	1.0000	0.0769	0.0769	0.1667	0.2500
Apache	HIVE	2963	0.0141	0.0222	0.0182	0.0182	0.0385	0.0357
Apache	HIVE	12816	0.0054	0.0073	0.0204	0.0204	0.0204	0.0095
Apache	HIVE	856	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	HIVE	12818	0.1111	0.2500	0.0400	0.0400	0.1667	0.0145
Apache	HIVE	12819	0.0769	0.5000	0.0286	0.0286	0.2000	0.0110
Apache	HIVE	9748	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HIVE	12821	0.0081	0.0119	0.0278	0.0278	0.0175	0.0111
