Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	5376	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	4225	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	7298	0.2510	0.2322	0.3038	0.3038	0.1007	0.3827
Apache	CAMEL	7556	0.0130	0.0541	0.0580	0.0580	0.0132	0.5556
Apache	CAMEL	6918	0.0020	0.0238	0.0007	0.0007	0.0417	0.0021
Apache	CAMEL	5255	0.5000	0.5000	0.5000	0.5000	0.2500	0.1667
Apache	CAMEL	522	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4482	0.5119	0.6667	0.5031	0.5031	0.5417	1.0000
Apache	CAMEL	4882	0.3383	0.3365	0.2102	0.2102	0.3658	0.3333
Apache	CAMEL	1815	0.0395	0.0343	0.2663	0.2663	0.1157	0.0243
Apache	CAMEL	7194	0.9167	0.9167	0.4282	0.4282	0.5694	0.2407
Apache	CAMEL	1053	0.4721	0.5276	0.6447	0.6447	0.4343	0.2637
Apache	CAMEL	8222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	9631	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	5024	0.0062	0.0086	0.0455	0.0455	0.0067	0.5000
Apache	CAMEL	4515	0.5913	0.5167	0.3905	0.3905	0.2621	0.0649
Apache	CAMEL	3630	0.6272	0.6987	0.2107	0.2107	0.6070	0.5714
Apache	CAMEL	7092	0.9005	0.9667	0.9792	0.9792	0.9936	0.0000
Apache	CAMEL	7349	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	577	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	8393	0.0020	0.0039	0.0037	0.0037	0.0021	0.0435
Apache	CAMEL	7868	0.1429	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	3082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3774	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	3104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3524	0.0300	0.0329	0.2971	0.2971	0.1083	0.7000
Apache	CAMEL	9161	0.5435	0.0970	0.1620	0.3250	0.0417	0.1667
Apache	CAMEL	8270	0.0510	0.0544	0.1785	0.1785	0.0000	0.3343
Apache	CAMEL	6541	1.0000	0.5000	0.2000	0.2000	1.0000	1.0000
Apache	CAMEL	8147	0.0202	0.0193	0.0903	0.0903	0.0223	0.0757
Apache	CAMEL	2389	0.3930	0.4132	0.5399	0.5399	0.3612	0.1717
Apache	CAMEL	3800	0.3611	0.4722	0.2214	0.2214	0.2074	0.2179
Apache	CAMEL	3674	0.0857	0.3382	0.0490	0.0490	0.1399	0.0964
Apache	CAMEL	8923	0.4200	0.3305	0.5250	0.5250	0.3596	0.3750
Apache	CAMEL	9313	0.8299	0.8151	0.8243	0.8243	0.8333	0.0000
