Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	5376	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	4225	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	7298	0.5000	0.5000	1.0000	1.0000	0.1667	1.0000
Apache	CAMEL	7556	0.0196	0.0909	0.1000	0.1000	0.0213	1.0000
Apache	CAMEL	6918	0.0040	0.0476	0.0013	0.0013	0.0833	0.0041
Apache	CAMEL	5255	0.5000	0.5000	0.5000	0.5000	0.2500	0.1667
Apache	CAMEL	522	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4482	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	4882	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	1815	0.0909	0.0714	1.0000	1.0000	0.3333	0.0714
Apache	CAMEL	7194	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	1053	0.3333	1.0000	1.0000	1.0000	1.0000	0.3333
Apache	CAMEL	8222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	9631	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	5024	0.0062	0.0086	0.0455	0.0455	0.0067	0.5000
Apache	CAMEL	4515	1.0000	1.0000	1.0000	1.0000	0.3333	0.0588
Apache	CAMEL	3630	1.0000	1.0000	0.0909	0.0909	0.5000	1.0000
Apache	CAMEL	7092	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	CAMEL	7349	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	577	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	8393	0.0020	0.0039	0.0037	0.0037	0.0021	0.0435
Apache	CAMEL	7868	0.1429	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	CAMEL	3082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3774	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	3104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	3524	0.0313	0.0385	0.3333	0.3333	0.1250	1.0000
Apache	CAMEL	9161	1.0000	0.1250	0.2500	0.2500	0.0833	0.3333
Apache	CAMEL	8270	0.0833	0.1429	0.2000	0.2000	0.0000	1.0000
Apache	CAMEL	6541	1.0000	0.5000	0.2000	0.2000	1.0000	1.0000
Apache	CAMEL	8147	0.0172	0.0161	0.0769	0.0769	0.0769	0.0769
Apache	CAMEL	2389	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	3800	0.5000	1.0000	0.2000	0.2000	0.2000	0.5000
Apache	CAMEL	3674	0.1111	1.0000	0.1111	0.1111	0.1429	0.5000
Apache	CAMEL	8923	1.0000	0.3333	0.3333	0.3333	0.3333	0.5000
Apache	CAMEL	9313	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
