Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	1	0.4254	0.4360	0.4355	0.4355	0.4184	0.4074
Apache	CAMEL	2	0.0733	0.0211	0.0929	0.0926	0.0756	0.0309
Apache	CAMEL	3	0.3341	0.1728	0.1353	0.1353	0.2985	0.2083
Apache	CAMEL	4	0.1923	0.1861	0.6202	0.6202	0.0287	0.0000
Apache	CAMEL	5	0.0996	0.1051	0.1847	0.1846	0.2342	0.0993
Apache	CAMEL	6	0.2462	0.2808	0.3395	0.3395	0.1164	0.5179
Apache	CAMEL	7	0.7415	0.8485	0.9936	0.9936	0.8741	0.0000
Apache	CAMEL	8	0.6667	0.5625	0.6250	0.3750	0.0819	0.5000
Apache	CAMEL	9	0.5714	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	10	0.0340	0.0426	0.2749	0.2749	0.1037	0.7000
Apache	CAMEL	11	0.0182	0.0526	0.0400	0.0400	0.0278	0.5000
Apache	CAMEL	12	0.0296	0.0323	0.5556	0.5556	0.2778	0.6667
Apache	CAMEL	13	0.0604	0.0730	0.0858	0.0856	0.0634	0.1391
Apache	CAMEL	14	0.5039	0.5046	0.5179	0.5179	0.5026	1.0000
Apache	CAMEL	15	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	16	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	CAMEL	17	0.0497	0.0405	0.0876	0.0876	0.0451	0.0618
Apache	CAMEL	18	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	19	0.0003	0.0004	0.0006	0.0006	0.0020	0.0037
Apache	CAMEL	20	0.4941	0.4183	0.3158	0.3158	0.3196	0.5714
Apache	CAMEL	21	0.8242	0.8080	0.8020	0.8020	0.9325	0.0000
Apache	CAMEL	22	0.8333	0.8333	0.0769	0.0769	0.2436	0.4167
Apache	CAMEL	23	0.1696	0.5102	0.0851	0.0843	0.1689	0.1724
Apache	CAMEL	24	0.2039	0.2015	0.3142	0.3099	0.4116	0.5381
Apache	CAMEL	25	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000
Apache	CAMEL	26	0.5453	0.5609	0.7031	0.7021	0.4870	0.5829
Apache	CAMEL	27	1.0000	1.0000	0.6667	0.6667	1.0000	1.0000
Apache	CAMEL	28	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	29	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	30	0.5000	1.0000	0.3333	0.3333	1.0000	1.0000
Apache	CAMEL	31	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	32	0.0110	0.0176	0.0080	0.0079	0.0080	0.0500
Apache	CAMEL	33	0.0514	0.0425	0.0090	0.0093	0.0061	0.0500
Apache	CAMEL	34	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	35	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	36	0.0345	0.2500	1.0000	1.0000	0.2500	0.1667
Apache	CAMEL	37	0.3175	0.3207	0.3131	0.3131	0.2103	0.2273
Apache	CAMEL	38	0.4591	0.5205	0.5250	0.5250	0.4405	0.6250
Apache	CAMEL	39	0.3465	0.3396	0.2201	0.2201	0.3589	0.3333
Apache	CAMEL	40	1.0000	1.0000	0.1429	0.1429	0.2000	0.5000
Apache	CAMEL	41	0.0583	0.0668	0.1626	0.1626	0.0627	0.1673
Apache	CAMEL	42	0.0016	0.0029	0.0029	0.0029	0.0012	0.0400
Apache	CAMEL	43	1.0000	1.0000	0.3333	0.3333	0.2500	1.0000
Apache	CAMEL	44	0.1078	0.1094	0.1360	0.1360	0.0887	0.1208
Apache	CAMEL	45	0.0031	0.0035	0.0032	0.0032	0.0137	0.0226
Apache	CAMEL	46	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	47	0.3211	0.3173	0.5652	0.5652	0.2714	0.1704
Apache	CAMEL	48	0.0054	0.0032	0.0015	0.0015	0.0000	0.0000
Apache	CAMEL	49	0.7333	0.6889	0.2191	0.2190	0.2852	0.0697
Apache	CAMEL	50	0.0318	0.0727	0.0636	0.0633	0.0750	0.1912
Apache	HBASE	1	0.1667	0.2000	0.0455	0.0435	0.5000	0.0500
Apache	HBASE	2	0.1740	0.1075	0.0950	0.0950	0.1787	0.1777
Apache	HBASE	3	0.3333	0.5000	0.0909	0.0909	0.1667	1.0000
Apache	HBASE	4	0.5208	0.4637	0.5056	0.5056	0.4018	0.2092
Apache	HBASE	5	0.1936	0.1931	0.3589	0.3589	0.0965	0.0000
Apache	HBASE	6	0.0935	0.0793	0.3375	0.3375	0.2682	0.0680
Apache	HBASE	7	0.5625	0.6429	0.5090	0.5090	0.2708	0.6429
Apache	HBASE	8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	9	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000
Apache	HBASE	10	0.0116	0.0069	0.0909	0.0909	0.0400	0.0000
Apache	HBASE	11	0.5182	0.2633	0.1146	0.1146	0.0722	0.0357
Apache	HBASE	12	0.5400	0.5263	0.1776	0.1776	0.2794	0.2381
Apache	HBASE	13	0.1667	0.2000	0.1111	0.1111	0.2500	0.5000
Apache	HBASE	14	0.0233	0.1250	0.5000	0.5000	0.2000	0.1667
Apache	HBASE	15	0.0434	0.1102	0.1883	0.1883	0.1401	0.0667
Apache	HBASE	16	0.0220	0.2885	0.0509	0.0509	0.5588	0.0833
Apache	HBASE	17	0.1140	0.2885	0.3125	0.3125	0.3106	0.2500
Apache	HBASE	18	0.2064	0.4283	0.7012	0.7012	0.7668	0.2223
Apache	HBASE	19	0.6389	0.4182	0.5706	0.5506	0.2122	0.0402
Apache	HBASE	20	0.5000	0.5000	1.0000	1.0000	1.0000	0.5000
Apache	HBASE	21	0.0883	0.1425	0.4201	0.4201	0.4917	0.4167
Apache	HBASE	22	0.2589	0.0799	0.6042	0.6042	0.5625	0.1056
Apache	HBASE	23	0.3907	0.3815	0.3763	0.3763	0.1410	0.0000
Apache	HBASE	24	1.0000	1.0000	0.3333	0.3333	1.0000	0.5000
Apache	HBASE	25	0.5192	0.5123	0.6429	0.6429	0.5125	0.5000
Apache	HBASE	26	0.5354	0.5195	0.8333	0.8333	0.9167	0.3590
Apache	HBASE	27	0.2637	0.5083	0.2976	0.2976	0.2870	0.5278
Apache	HBASE	28	0.1065	0.1046	0.1785	0.1784	0.1659	0.1885
Apache	HBASE	29	1.0000	1.0000	0.8333	0.8333	0.5000	0.5000
Apache	HBASE	30	0.1292	0.1082	0.3667	0.3667	0.1060	0.1000
Apache	HBASE	31	0.2275	0.4374	0.3400	0.3400	0.3846	0.0000
Apache	HBASE	32	0.0956	0.1884	1.0000	1.0000	0.2250	0.2917
Apache	HBASE	33	0.2051	0.5333	0.5667	0.5667	0.5233	0.5833
Apache	HBASE	34	0.3752	0.3801	0.3450	0.3450	0.4614	0.1438
Apache	HBASE	35	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HBASE	36	0.1667	1.0000	0.5000	0.5000	0.1250	0.2500
Apache	HBASE	37	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	38	0.2056	0.0959	0.1218	0.1218	0.2287	0.0285
Apache	HBASE	39	0.0370	0.0200	0.0667	0.0667	0.0132	0.0000
Apache	HBASE	40	0.6667	0.3611	0.6667	0.6667	0.1933	0.3333
Apache	HBASE	41	0.2799	0.2810	0.1112	0.1112	0.3132	0.1250
Apache	HBASE	42	0.1341	0.1917	0.2196	0.2184	0.1382	0.1047
Apache	HBASE	43	0.2904	0.1799	0.2990	0.2990	0.1840	0.0000
Apache	HBASE	44	0.1227	0.0914	0.1812	0.1812	0.1870	0.0000
Apache	HBASE	45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	HBASE	46	1.0000	1.0000	0.0556	0.0556	1.0000	1.0000
Apache	HBASE	47	0.2500	0.2500	0.5000	0.5000	1.0000	1.0000
Apache	HBASE	48	0.2813	0.2675	0.1190	0.1190	0.2722	0.0000
Apache	HBASE	49	0.0193	0.1090	0.0858	0.0858	0.3264	0.0000
Apache	HBASE	50	0.0313	0.0357	0.0227	0.0227	0.0227	0.0185
Apache	HBASE	51	1.0000	1.0000	0.5000	0.5000	0.1111	1.0000
Apache	HBASE	52	1.0000	1.0000	0.3333	0.3333	1.0000	1.0000
Apache	HBASE	53	0.1039	0.0739	0.2118	0.2118	0.1685	0.2057
Apache	HBASE	54	0.5943	0.4872	0.6047	0.6047	0.4165	0.4072
Apache	HBASE	55	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	HBASE	56	0.0135	0.0100	0.0470	0.0470	0.0084	0.0000
Apache	HBASE	57	0.1081	0.0738	0.0708	0.0708	0.0132	0.0585
Apache	HBASE	58	0.3488	0.3447	0.6082	0.6082	0.5826	0.3333
Apache	HBASE	59	0.0404	0.0349	0.0249	0.0249	0.0188	0.0107
Apache	HBASE	60	0.0953	0.0848	0.1038	0.1038	0.0579	0.0241
Apache	HBASE	61	0.1250	0.5000	0.2500	0.2500	0.2500	0.5000
Apache	HBASE	62	0.4566	0.5400	0.1853	0.1853	0.6389	0.3452
Apache	HBASE	63	0.0526	1.0000	0.2500	0.2500	1.0000	0.0000
Apache	HBASE	64	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	HBASE	65	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	HBASE	66	1.0000	1.0000	0.2000	0.2000	0.3333	0.5000
Apache	HBASE	67	0.0355	0.5286	0.1241	0.1241	0.5286	0.0625
Apache	HBASE	68	0.5575	0.5575	0.6689	0.6689	0.6747	0.3485
Apache	HBASE	69	0.1617	0.1662	0.1872	0.1872	0.0449	0.1547
Apache	HBASE	70	0.3750	0.5833	0.1345	0.1345	0.6250	0.6429
Apache	HBASE	71	0.1326	0.1834	0.3433	0.3433	0.2531	0.1105
Apache	HBASE	72	1.0000	0.5000	1.0000	1.0000	1.0000	0.0000
Apache	HBASE	73	0.0588	0.0294	0.1000	0.1000	0.5000	0.0455
Apache	HBASE	74	0.3333	0.3333	0.0909	0.0909	0.5000	0.0233
Apache	HBASE	75	0.0411	0.0488	0.0350	0.0348	0.0274	0.0289
Apache	HBASE	76	0.5909	0.6429	0.5526	0.5526	0.4500	0.7500
Apache	HBASE	77	0.0972	0.1806	0.1339	0.1339	0.1181	0.0455
Apache	HBASE	78	0.2526	0.1609	0.3479	0.3479	0.2252	0.1667
Apache	HBASE	79	0.2000	1.0000	0.2000	0.2000	0.1667	0.5000
Apache	HBASE	80	0.3218	0.3019	0.2138	0.2138	0.4342	0.3408
Apache	HIVE	1	0.5000	0.5000	0.5000	0.5000	0.3333	1.0000
Apache	HIVE	2	0.8100	0.7576	0.9429	0.9429	0.9000	0.5167
Apache	HIVE	3	0.1640	0.0893	0.1638	0.1638	0.1635	0.0207
Apache	HIVE	4	0.0065	0.0088	0.0084	0.0084	0.0000	0.0085
Apache	HIVE	5	0.3333	0.5000	1.0000	1.0000	0.3333	1.0000
Apache	HIVE	6	0.4049	0.3689	0.5208	0.5208	0.3475	0.5417
Apache	HIVE	7	0.0004	0.0004	0.0004	0.0004	0.0000	0.0006
Apache	HIVE	8	0.0769	0.0833	0.0833	0.0833	0.2500	0.0000
Apache	HIVE	9	0.0740	0.0901	0.0940	0.0940	0.0255	0.0413
Apache	HIVE	10	0.2500	0.2000	0.0029	0.0029	0.2000	0.1667
Apache	HIVE	11	0.0357	0.0385	0.0104	0.0104	0.1667	0.0556
Apache	HIVE	12	0.2500	0.0714	0.0556	0.0556	0.0029	0.1000
Apache	HIVE	13	0.0435	0.0296	0.0340	0.0340	0.0143	0.0294
Apache	HIVE	14	0.1218	0.1517	0.4725	0.4725	0.2444	0.1233
Apache	HIVE	15	0.1667	0.3333	0.0769	0.0769	1.0000	1.0000
Apache	HIVE	16	0.2143	0.3750	0.2416	0.2414	0.1689	0.0989
Apache	HIVE	17	0.2751	0.2478	0.0398	0.0398	0.1022	0.2770
Apache	HIVE	18	0.0556	0.0625	0.0556	0.0556	0.0455	0.0500
