Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	1	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	2	0.1000	0.0303	0.1667	0.1667	0.1000	0.0370
Apache	CAMEL	3	1.0000	0.2500	0.1250	0.1250	0.3333	0.3333
Apache	CAMEL	4	1.0000	0.5000	0.1429	0.1429	0.2500	0.0000
Apache	CAMEL	5	1.0000	1.0000	0.3333	0.3333	0.3333	0.3333
Apache	CAMEL	6	0.5000	0.5000	1.0000	1.0000	0.1000	1.0000
Apache	CAMEL	7	0.5000	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	CAMEL	8	1.0000	1.0000	1.0000	0.5000	0.1111	1.0000
Apache	CAMEL	9	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	10	0.0435	0.0667	0.3333	0.3333	0.1111	1.0000
Apache	CAMEL	11	0.0182	0.0526	0.0400	0.0400	0.0278	0.5000
Apache	CAMEL	12	0.0833	0.0909	1.0000	1.0000	0.3333	1.0000
Apache	CAMEL	13	1.0000	1.0000	0.3333	0.3333	1.0000	0.3333
Apache	CAMEL	14	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	15	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	16	1.0000	1.0000	0.5000	0.5000	0.5000	1.0000
Apache	CAMEL	17	0.2000	0.1250	0.2500	0.2500	0.3333	0.2000
Apache	CAMEL	18	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	19	0.0006	0.0007	0.0012	0.0012	0.0041	0.0075
Apache	CAMEL	20	1.0000	1.0000	0.1429	0.1429	0.5000	1.0000
Apache	CAMEL	21	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
Apache	CAMEL	22	1.0000	1.0000	0.0769	0.0769	0.3333	0.3333
Apache	CAMEL	23	0.2000	1.0000	0.0667	0.0667	0.1250	0.5000
Apache	CAMEL	24	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	25	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000
Apache	CAMEL	26	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	27	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	28	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	29	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Apache	CAMEL	30	0.5000	1.0000	0.3333	0.3333	1.0000	1.0000
Apache	CAMEL	31	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	32	0.0256	0.0588	0.0123	0.0120	0.0204	0.2000
Apache	CAMEL	33	0.2000	0.1667	0.0323	0.0333	0.0244	0.2000
Apache	CAMEL	34	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	35	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	36	0.0345	0.2500	1.0000	1.0000	0.2500	0.1667
Apache	CAMEL	37	0.3333	0.5000	0.3333	0.3333	0.1667	0.5000
Apache	CAMEL	38	1.0000	1.0000	0.3333	0.3333	0.3333	1.0000
Apache	CAMEL	39	1.0000	1.0000	0.5000	0.5000	1.0000	1.0000
Apache	CAMEL	40	1.0000	1.0000	0.1429	0.1429	0.2000	0.5000
Apache	CAMEL	41	0.0833	0.1667	0.2000	0.2000	0.1111	0.5000
Apache	CAMEL	42	0.0016	0.0029	0.0029	0.0029	0.0012	0.0400
Apache	CAMEL	43	1.0000	1.0000	0.3333	0.3333	0.2500	1.0000
Apache	CAMEL	44	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000
Apache	CAMEL	45	0.0023	0.0028	0.0025	0.0025	0.0102	0.0217
Apache	CAMEL	46	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Apache	CAMEL	47	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	CAMEL	48	0.0054	0.0032	0.0015	0.0015	0.0000	0.0000
Apache	CAMEL	49	1.0000	1.0000	0.5000	0.5000	0.3333	0.0588
Apache	CAMEL	50	0.1000	0.3333	0.1250	0.1250	0.1429	1.0000
Apache	HBASE	1	0.1667	0.2000	0.0455	0.0435	0.5000	0.0500
Apache	HBASE	2	0.5000	0.3333	0.1000	0.1000	0.5000	1.0000
Apache	HBASE	3	0.3333	0.5000	0.0909	0.0909	0.1667	1.0000
Apache	HBASE	4	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
Apache	HBASE	5	0.5000	0.5000	1.0000	1.0000	1.0000	0.0000
Apache	HBASE	6	0.1111	0.0833	1.0000	1.0000	0.5000	0.1667
Apache	HBASE	7	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
