Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	0.3585	0.3960	0.3487	0.3525	0.3479	0.4032
Apache	HBASE	0.3626	0.4004	0.3533	0.3531	0.3823	0.3540
Apache	HIVE	0.3048	0.3517	0.3177	0.3181	0.2888	0.3263
Commons	CODEC	0.6390	0.6237	0.7488	0.7488	0.6734	0.5708
Commons	COLLECTIONS	0.4443	0.5236	0.4057	0.4057	0.5692	0.4849
Commons	COMPRESS	0.5414	0.5484	0.4839	0.4794	0.5791	0.5539
Commons	CONFIGURATION	0.5174	0.5103	0.5063	0.5143	0.5750	0.3610
Commons	CRYPTO	0.1628	0.1708	0.1982	0.1982	0.1588	0.1662
Commons	CSV	0.6017	0.5813	0.6052	0.6290	0.3750	0.5143
Commons	IO	0.7110	0.7152	0.6694	0.6693	0.7629	0.5602
Commons	LANG	0.5576	0.5648	0.5674	0.5714	0.5988	0.4669
Commons	MATH	0.4227	0.4459	0.4834	0.4965	0.4696	0.2997
Commons	WEAVER	0.6212	0.6331	0.6637	0.6637	0.5694	0.3142
JBoss	ENTESB	0.0999	0.0875	0.0949	0.1546	0.0539	0.0821
JBoss	JBMETA	0.2272	0.2332	0.1685	0.1706	0.2078	0.2304
Wildfly	ELY	0.0625	0.0672	0.1098	0.1098	0.0939	0.1337
Wildfly	SWARM	0.2857	0.2967	0.2778	0.2778	0.2522	0.2863
Wildfly	WFARQ	0.5000	0.3333	1.0000	1.0000	0.1111	0.5000
Wildfly	WFCORE	0.3225	0.3353	0.2693	0.2706	0.2826	0.3316
Wildfly	WFLY	0.3036	0.3337	0.2698	0.2706	0.2624	0.3083
Wildfly	WFMP	0.4535	0.2675	0.8485	0.8485	0.5000	0.6659
Spring	AMQP	0.4136	0.4369	0.4275	0.4306	0.4532	0.3351
Spring	ANDROID	0.4016	0.3238	0.3421	0.3421	0.3195	0.3735
Spring	BATCH	0.3535	0.3685	0.3738	0.3808	0.3845	0.3067
Spring	BATCHADM	0.3825	0.4095	0.3898	0.3898	0.4602	0.3994
Spring	DATACMNS	0.3649	0.3766	0.3631	0.3630	0.4319	0.3407
Spring	DATAGRAPH	0.0396	0.0494	0.0352	0.0352	0.0465	0.0250
Spring	DATAJPA	0.4022	0.4150	0.4221	0.4236	0.4816	0.3587
Spring	DATAMONGO	0.4106	0.4412	0.4111	0.4111	0.4724	0.3212
Spring	DATAREDIS	0.5255	0.5478	0.5523	0.5559	0.5571	0.4126
Spring	DATAREST	0.3377	0.3600	0.3297	0.3335	0.3511	0.3074
Spring	LDAP	0.4697	0.5393	0.5017	0.5017	0.4948	0.3110
Spring	MOBILE	0.6697	0.7057	0.9264	0.9264	0.7316	0.2186
Spring	ROO	0.4111	0.4436	0.3874	0.3970	0.4168	0.3278
Spring	SEC	0.4606	0.4822	0.4421	0.4480	0.5188	0.4455
Spring	SECOAUTH	0.3300	0.3233	0.2975	0.3100	0.3153	0.2493
Spring	SGF	0.3876	0.3717	0.3899	0.3898	0.3808	0.2337
Spring	SHDP	0.4127	0.4433	0.3500	0.3500	0.4341	0.3794
Spring	SHL	0.2802	0.2363	0.3238	0.3239	0.3160	0.3644
Spring	SOCIAL	0.6108	0.6237	0.4423	0.4342	0.5916	0.6302
Spring	SOCIALFB	0.6040	0.6194	0.5003	0.4804	0.4610	0.4793
Spring	SOCIALLI	0.4711	0.6384	0.3929	0.4504	0.2990	0.2705
Spring	SOCIALTW	0.4917	0.4941	0.5789	0.6622	0.3115	0.3837
Spring	SPR	0.3372	0.3708	0.2380	0.2483	0.2985	0.3146
Spring	SWF	0.3708	0.3912	0.3706	0.3739	0.3916	0.3541
Spring	SWS	0.3515	0.3504	0.3391	0.3391	0.3579	0.3283
