Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	0.5058	0.5641	0.4775	0.4824	0.4857	0.5906
Apache	HBASE	0.4999	0.5548	0.4891	0.4890	0.5219	0.5296
Apache	HIVE	0.4140	0.4870	0.4402	0.4403	0.3884	0.4618
Commons	CODEC	0.8483	0.7942	0.9028	0.9028	0.8710	0.9127
Commons	COLLECTIONS	0.6312	0.6998	0.4713	0.4713	0.7288	0.7838
Commons	COMPRESS	0.7377	0.7692	0.6249	0.6207	0.7961	0.8039
Commons	CONFIGURATION	0.7164	0.7376	0.6234	0.6289	0.7776	0.6940
Commons	CRYPTO	0.2665	0.3044	0.3974	0.3974	0.3616	0.3110
Commons	CSV	0.6672	0.6448	0.6369	0.6845	0.5357	0.6929
Commons	IO	0.8214	0.8570	0.7103	0.7101	0.8548	0.8022
Commons	LANG	0.6749	0.6771	0.6197	0.6221	0.7193	0.7063
Commons	MATH	0.5704	0.6304	0.6058	0.6209	0.6351	0.5084
Commons	WEAVER	0.6667	0.7500	0.6667	0.6667	0.6667	0.5455
JBoss	ENTESB	0.1131	0.1189	0.1212	0.1919	0.0944	0.1140
JBoss	JBMETA	0.4005	0.4057	0.2940	0.2960	0.3673	0.3547
Wildfly	ELY	0.1540	0.1587	0.1962	0.1962	0.1667	0.1800
Wildfly	SWARM	0.3510	0.3949	0.3392	0.3392	0.3426	0.3855
Wildfly	WFARQ	0.5000	0.3333	1.0000	1.0000	0.1111	0.5000
Wildfly	WFCORE	0.4407	0.4658	0.3566	0.3578	0.3943	0.4449
Wildfly	WFLY	0.4174	0.4614	0.3751	0.3762	0.3694	0.4301
Wildfly	WFMP	0.5833	0.2398	1.0000	1.0000	0.6667	0.8333
Spring	AMQP	0.6288	0.6608	0.6049	0.6064	0.6806	0.6109
Spring	ANDROID	0.6582	0.5907	0.4444	0.4444	0.5091	0.4811
Spring	BATCH	0.5379	0.5643	0.5251	0.5311	0.5674	0.5829
Spring	BATCHADM	0.4831	0.5678	0.5017	0.5017	0.5990	0.6264
Spring	DATACMNS	0.5258	0.5634	0.4880	0.4880	0.6064	0.5981
Spring	DATAGRAPH	0.0676	0.0999	0.0618	0.0618	0.0877	0.0521
Spring	DATAJPA	0.5631	0.6125	0.5795	0.5800	0.6824	0.6630
Spring	DATAMONGO	0.5815	0.6218	0.5456	0.5456	0.6487	0.6098
Spring	DATAREDIS	0.7505	0.8000	0.7557	0.7593	0.7689	0.7509
Spring	DATAREST	0.5431	0.5781	0.5005	0.5043	0.5657	0.5523
Spring	LDAP	0.6441	0.7521	0.6390	0.6390	0.6490	0.4687
Spring	MOBILE	0.8864	0.9545	1.0000	1.0000	0.8939	0.4760
Spring	ROO	0.5179	0.5646	0.4906	0.5001	0.5230	0.4185
Spring	SEC	0.5855	0.6185	0.5249	0.5332	0.6514	0.6135
Spring	SECOAUTH	0.4525	0.4410	0.3825	0.4011	0.4480	0.4467
Spring	SGF	0.6179	0.6112	0.5986	0.5985	0.6000	0.4918
Spring	SHDP	0.5859	0.6302	0.4682	0.4682	0.5799	0.5567
Spring	SHL	0.4554	0.4226	0.4791	0.4792	0.5152	0.4667
Spring	SOCIAL	0.6608	0.6733	0.5092	0.4764	0.6667	0.7035
Spring	SOCIALFB	0.6744	0.7400	0.5874	0.5930	0.5103	0.6424
Spring	SOCIALLI	0.6250	0.7083	0.3958	0.4167	0.3208	0.6250
Spring	SOCIALTW	0.6198	0.6875	0.6667	0.7917	0.4479	0.6563
Spring	SPR	0.5056	0.5441	0.3930	0.4009	0.4347	0.4702
Spring	SWF	0.4828	0.5208	0.4808	0.4830	0.5027	0.5061
Spring	SWS	0.4761	0.4904	0.4558	0.4558	0.5017	0.4816
