Group	Project	BugID	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	72	0.3333 	1.0000 	0.0769 	0.0769 	0.1429 	0.0000 
Apache	CAMEL	81	0.2500 	0.3333 	0.1667 	0.1667 	0.3333 	0.5000 
Apache	CAMEL	85	0.5000 	1.0000 	0.1667 	0.1667 	1.0000 	1.0000 
Apache	CAMEL	103	1.0000 	0.5000 	1.0000 	1.0000 	0.5000 	1.0000 
Apache	CAMEL	105	1.0000 	1.0000 	0.5000 	0.5000 	1.0000 	1.0000 
Apache	CAMEL	112	0.0116 	0.0125 	0.1250 	0.1250 	0.0213 	0.1429 
Apache	CAMEL	122	0.0016 	0.0014 	0.0000 	0.0000 	0.0141 	0.0000 
Apache	CAMEL	123	0.0035 	0.0034 	0.0023 	0.0023 	0.0000 	0.0167 
Apache	CAMEL	140	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	154	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	158	0.1429 	0.1429 	0.2500 	0.2500 	0.3333 	0.5000 
Apache	CAMEL	161	0.0045 	0.0044 	0.0020 	0.0132 	0.0062 	0.0122 
Apache	CAMEL	166	0.0227 	0.0208 	0.0833 	0.0833 	0.0115 	0.0000 
Apache	CAMEL	171	1.0000 	1.0000 	0.2500 	0.2500 	1.0000 	1.0000 
Apache	CAMEL	173	1.0000 	1.0000 	0.5000 	0.5000 	1.0000 	1.0000 
Apache	CAMEL	189	1.0000 	1.0000 	0.2500 	0.5000 	0.5000 	1.0000 
Apache	CAMEL	191	0.3333 	0.2500 	0.2000 	0.2000 	0.1429 	1.0000 
Apache	CAMEL	194	0.0417 	0.0588 	0.0588 	0.0588 	0.5000 	0.0667 
Apache	CAMEL	197	1.0000 	1.0000 	1.0000 	1.0000 	0.2500 	1.0000 
Apache	CAMEL	203	0.2000 	0.2000 	0.0588 	0.0588 	0.5000 	0.5000 
Apache	CAMEL	210	0.0052 	0.0053 	0.0097 	0.0093 	0.0101 	0.0556 
Apache	CAMEL	211	0.0075 	0.0089 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	224	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.1250 
Apache	CAMEL	232	0.0909 	0.3333 	0.5000 	0.5000 	0.0625 	0.2000 
Apache	CAMEL	247	0.5000 	1.0000 	1.0000 	1.0000 	0.2000 	1.0000 
Apache	CAMEL	257	0.5000 	0.5000 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	261	0.5000 	1.0000 	0.5000 	0.5000 	1.0000 	0.5000 
Apache	CAMEL	271	0.3333 	1.0000 	0.5000 	0.5000 	0.5000 	0.5000 
Apache	CAMEL	297	0.0714 	0.0556 	1.0000 	1.0000 	0.0588 	0.0667 
Apache	CAMEL	304	0.0833 	0.5000 	0.0057 	0.0057 	1.0000 	0.0256 
Apache	CAMEL	307	0.3333 	0.2500 	1.0000 	1.0000 	1.0000 	0.1111 
Apache	CAMEL	320	0.5000 	0.5000 	1.0000 	1.0000 	1.0000 	0.5000 
Apache	CAMEL	324	1.0000 	1.0000 	0.1667 	0.1667 	1.0000 	1.0000 
Apache	CAMEL	329	0.0083 	0.0085 	0.0196 	0.0196 	0.0110 	0.0625 
Apache	CAMEL	340	0.1111 	0.2500 	1.0000 	1.0000 	0.5000 	0.1250 
Apache	CAMEL	352	0.3333 	0.2500 	0.3333 	0.3333 	1.0000 	1.0000 
Apache	CAMEL	363	0.5000 	1.0000 	0.1429 	0.1429 	1.0000 	1.0000 
Apache	CAMEL	370	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	373	0.0270 	0.0123 	0.0185 	0.0185 	0.0333 	0.0455 
Apache	CAMEL	374	1.0000 	1.0000 	0.1667 	0.1667 	1.0000 	1.0000 
Apache	CAMEL	380	1.0000 	1.0000 	0.5000 	0.5000 	1.0000 	0.1667 
Apache	CAMEL	383	1.0000 	1.0000 	1.0000 	1.0000 	0.5000 	1.0000 
Apache	CAMEL	384	0.0769 	0.2500 	0.0200 	0.0200 	0.0909 	0.0909 
Apache	CAMEL	388	0.5000 	1.0000 	0.3333 	0.3333 	0.5000 	0.2500 
Apache	CAMEL	404	1.0000 	1.0000 	0.2500 	0.2500 	0.0167 	1.0000 
Apache	CAMEL	410	1.0000 	1.0000 	0.0714 	0.0769 	1.0000 	0.5000 
Apache	CAMEL	412	0.5000 	0.5000 	1.0000 	1.0000 	0.5000 	1.0000 
Apache	CAMEL	415	0.0500 	0.2000 	0.3333 	0.3333 	0.3333 	0.5000 
Apache	CAMEL	420	1.0000 	0.5000 	0.3333 	0.3333 	1.0000 	0.5000 
Apache	CAMEL	430	1.0000 	1.0000 	0.5000 	0.5000 	1.0000 	1.0000 
Apache	CAMEL	457	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Apache	CAMEL	461	0.2500 	0.5000 	0.2500 	1.0000 	0.3333 	1.0000 
Apache	CAMEL	462	1.0000 	0.5000 	0.0714 	0.0714 	0.3333 	0.5000 
Apache	CAMEL	476	0.0357 	0.0147 	0.0039 	0.0038 	0.0000 	0.0000 
