Group	Project	BugLocator	BRTracer	BLUiR	AmaLgam	BLIA	Locus
Apache	CAMEL	 0.3235 	 0.3646 	 0.3005 	 0.3032 	 0.3097 	 0.3165 
Apache	HBASE	 0.2993 	 0.3463 	 0.2818 	 0.2820 	 0.3094 	 0.0567 
Apache	HIVE	 0.2695 	 0.3180 	 0.2770 	 0.2773 	 0.2413 	 0.2530 
Commons	CODEC	 0.6227 	 0.6333 	 0.7011 	 0.7011 	 0.6914 	 0.3029 
Commons	COLLECTIONS	 0.2318 	 0.2319 	 0.2174 	 0.2191 	 0.2493 	 0.2124 
Commons	COMPRESS	 0.5637 	 0.5747 	 0.4874 	 0.4816 	 0.5797 	 0.5286 
Commons	CONFIGURATION	 0.0378 	 0.0385 	 0.0413 	 0.0413 	 0.0345 	 0.0158 
Commons	CRYPTO	 0.1622 	 0.1711 	 0.1982 	 0.1982 	 0.1588 	 0.1748 
Commons	CSV	 0.6104 	 0.6108 	 0.6075 	 0.6313 	 0.4048 	 0.5202 
Commons	IO	 0.7640 	 0.7508 	 0.6797 	 0.6784 	 0.7744 	 0.2933 
Commons	LANG	 0.5371 	 0.5426 	 0.5327 	 0.5367 	 0.5349 	 0.4017 
Commons	MATH	 0.1563 	 0.1586 	 0.1952 	 0.2122 	 0.1765 	 0.1133 
Commons	WEAVER	 0.6212 	 0.6331 	 0.6637 	 0.6637 	 0.5694 	 0.3142 
JBoss	ENTESB	 0.0559 	 0.0542 	 0.0652 	 0.0652 	 0.0314 	 0.0182 
JBoss	JBMETA	 0.2442 	 0.2351 	 0.1805 	 0.1832 	 0.2078 	 0.2116 
Spring	AMQP	 0.4426 	 0.4775 	 0.4196 	 0.4210 	 0.4626 	 0.3188 
Spring	ANDROID	 0.3626 	 0.3536 	 0.3761 	 0.3761 	 0.3138 	 0.3735 
Spring	BATCH	 0.3186 	 0.3284 	 0.2805 	 0.2933 	 0.3158 	 0.2718 
Spring	BATCHADM	 0.3218 	 0.3479 	 0.3657 	 0.3657 	 0.4313 	 0.3948 
Spring	DATACMNS	 0.4565 	 0.4683 	 0.4581 	 0.4581 	 0.5133 	 0.3842 
Spring	DATAGRAPH	 0.1519 	 0.1592 	 0.1714 	 0.1718 	 0.1426 	 0.0882 
Spring	DATAJPA	 0.4822 	 0.4892 	 0.4769 	 0.4768 	 0.5311 	 0.3513 
Spring	DATAMONGO	 0.4582 	 0.5096 	 0.4519 	 0.4519 	 0.5212 	 0.3330 
Spring	DATAREDIS	 0.5353 	 0.5561 	 0.5801 	 0.5813 	 0.5717 	 0.4221 
Spring	DATAREST	 0.3492 	 0.3939 	 0.3550 	 0.3584 	 0.3651 	 0.3287 
Spring	LDAP	 0.4401 	 0.4875 	 0.4681 	 0.4681 	 0.4824 	 0.3149 
Spring	MOBILE	 0.6909 	 0.7116 	 0.9224 	 0.9224 	 0.7285 	 0.2421 
Spring	ROO	 0.1164 	 0.1293 	 0.0910 	 0.0928 	 0.1001 	 0.1215 
Spring	SEC	 0.3209 	 0.3368 	 0.3087 	 0.3133 	 0.3502 	 0.2668 
Spring	SECOAUTH	 0.1983 	 0.2128 	 0.1381 	 0.1430 	 0.1891 	 0.2007 
Spring	SGF	 0.4173 	 0.4223 	 0.3591 	 0.3589 	 0.3682 	 0.3382 
Spring	SHDP	 0.4433 	 0.4652 	 0.3899 	 0.3897 	 0.4654 	 0.3796 
Spring	SHL	 0.2533 	 0.2621 	 0.2827 	 0.2828 	 0.2836 	 0.2766 
Spring	SOCIAL	 0.6110 	 0.5900 	 0.1979 	 0.2496 	 0.5285 	 0.6303 
Spring	SOCIALFB	 0.5541 	 0.6156 	 0.4818 	 0.4818 	 0.4064 	 0.4972 
Spring	SOCIALLI	 0.4711 	 0.6384 	 0.3929 	 0.4504 	 0.2990 	 0.2705 
Spring	SOCIALTW	 0.7382 	 0.6750 	 0.3814 	 0.5014 	 0.5594 	 0.3806 
Spring	SPR	 0.3074 	 0.3377 	 0.2061 	 0.2182 	 0.2878 	 0.0092 
Spring	SWF	 0.3812 	 0.3974 	 0.3647 	 0.3613 	 0.4038 	 0.3810 
Spring	SWS	 0.4002 	 0.4211 	 0.3811 	 0.3811 	 0.3969 	 0.3971 
Wildfly	ELY	 0.0587 	 0.0668 	 0.1098 	 0.1098 	 0.0939 	 0.1327 
Wildfly	SWARM	 0.2936 	 0.3326 	 0.3412 	 0.3412 	 0.2708 	 0.2624 
Wildfly	WFARQ	 0.5000 	 0.3333 	 1.0000 	 1.0000 	 0.1111 	 0.5000 
Wildfly	WFCORE	 0.3202 	 0.3326 	 0.2552 	 0.2565 	 0.2830 	 0.3239 
Wildfly	WFLY	 0.2283 	 0.2572 	 0.2099 	 0.2104 	 0.2118 	 0.2129 
Wildfly	WFMP	 0.4535 	 0.2675 	 0.6818 	 0.6818 	 0.5000 	 0.6875 
