Group	Project	BugID	BugLocator	BLUiR	BRTracer	AmaLgam	BLIA	Locus
Previous	AspectJ	28919	0.1250 	0.0833 	0.1667 	0.1250 	1.0000 	0.2000 
Previous	AspectJ	28974	0.0114 	0.1111 	0.0093 	0.1111 	0.3333 	0.0000 
Previous	AspectJ	29186	0.0189 	0.0094 	0.0207 	0.0160 	0.1786 	0.0791 
Previous	AspectJ	29769	0.0205 	0.0274 	0.0200 	0.0517 	0.0402 	0.0221 
Previous	AspectJ	29934	0.0093 	0.3333 	0.0085 	0.3333 	0.1429 	0.0000 
Previous	AspectJ	29959	0.0035 	0.0122 	0.0027 	0.0162 	0.0026 	0.0133 
Previous	AspectJ	30168	0.5015 	0.0122 	0.5013 	0.0162 	0.5056 	0.0222 
Previous	AspectJ	30439	0.0638 	0.0478 	0.0677 	0.0662 	0.0359 	0.0427 
Previous	AspectJ	31423	0.0033 	0.0130 	0.0031 	0.0169 	0.0126 	0.0135 
Previous	AspectJ	31460	0.0869 	0.0686 	0.0857 	0.1022 	0.0578 	0.0000 
Previous	AspectJ	32463	0.2526 	0.0050 	0.2524 	0.0068 	0.0409 	0.0025 
Previous	AspectJ	33635	0.0132 	0.0349 	0.0120 	0.0476 	0.0101 	0.0000 
Previous	AspectJ	34858	0.3575 	0.0299 	0.0223 	0.0536 	0.0505 	0.0000 
Previous	AspectJ	34925	0.1558 	0.0399 	0.1832 	0.0769 	0.0644 	0.2500 
Previous	AspectJ	34951	0.0332 	0.0342 	0.0537 	0.0504 	0.0492 	0.0000 
Previous	AspectJ	36234	0.5000 	0.2000 	1.0000 	0.2500 	0.5000 	0.2000 
Previous	AspectJ	36430	0.2346 	0.1122 	0.2371 	0.1519 	0.1404 	0.2711 
Previous	AspectJ	36803	0.0420 	0.0327 	0.0197 	0.0504 	0.0238 	0.0201 
Previous	AspectJ	37576	0.1625 	0.3750 	0.6667 	0.7000 	0.7500 	1.0000 
Previous	AspectJ	37739	0.0511 	0.0911 	0.0437 	0.1389 	0.1080 	0.0000 
Previous	AspectJ	38131	0.0263 	0.0295 	0.0141 	0.0403 	0.0152 	0.0000 
Previous	AspectJ	39436	0.0120 	0.0400 	0.0714 	0.0500 	0.0145 	0.1250 
Previous	AspectJ	39626	0.0339 	0.0478 	0.0292 	0.0857 	0.0122 	0.0000 
Previous	AspectJ	39993	0.0392 	0.1828 	0.0398 	0.1902 	0.1723 	0.0141 
Previous	AspectJ	40192	0.0727 	0.0687 	0.0860 	0.1224 	0.0753 	0.0000 
Previous	AspectJ	40257	0.0158 	0.0226 	0.0118 	0.0359 	0.0294 	0.0000 
Previous	AspectJ	40380	0.0102 	0.0186 	0.0203 	0.0254 	0.0106 	0.0256 
Previous	AspectJ	41123	0.2257 	0.1127 	0.4761 	0.1170 	0.0751 	0.0384 
Previous	AspectJ	41952	0.0426 	0.0272 	0.0652 	0.0423 	0.1010 	0.1652 
Previous	AspectJ	42539	0.3352 	0.0021 	0.3365 	0.0030 	0.0744 	0.0000 
Previous	AspectJ	42573	0.5687 	0.4192 	0.4536 	0.7143 	0.6944 	0.5000 
Previous	AspectJ	42993	0.3369 	0.3393 	0.3387 	0.3416 	0.3516 	0.0078 
Previous	AspectJ	43033	0.0178 	0.0021 	0.0105 	0.0033 	0.0115 	0.0588 
Previous	AspectJ	43194	0.0009 	0.0008 	0.0009 	0.0012 	0.0000 	0.1111 
Previous	AspectJ	43709	0.0080 	0.0047 	0.1429 	0.0078 	0.0256 	0.0714 
Previous	AspectJ	44117	0.0143 	0.0244 	0.1250 	0.0435 	0.0500 	0.0000 
Previous	AspectJ	44191	0.0127 	0.0174 	0.0150 	0.0272 	0.0253 	0.0013 
Previous	AspectJ	44272	0.0558 	0.1346 	0.0640 	0.1434 	0.0287 	0.2500 
Previous	AspectJ	45489	0.0263 	0.0082 	0.0231 	0.0128 	0.0313 	0.2500 
Previous	AspectJ	46280	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	46298	0.1429 	1.0000 	0.0833 	1.0000 	0.1667 	0.0000 
Previous	AspectJ	47318	1.0000 	0.0169 	1.0000 	0.0714 	1.0000 	1.0000 
Previous	AspectJ	47754	0.0054 	0.0030 	0.0075 	0.0044 	0.0096 	0.0000 
Previous	AspectJ	47910	0.0790 	0.0598 	0.1321 	0.0766 	0.0615 	0.5000 
Previous	AspectJ	47952	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	48080	0.0357 	0.0122 	0.0526 	0.0233 	0.0625 	0.1721 
Previous	AspectJ	48091	0.1432 	0.1739 	0.1686 	0.2165 	0.1624 	0.0540 
Previous	AspectJ	48990	0.0692 	0.0884 	0.1323 	0.1328 	0.0640 	0.0040 
Previous	AspectJ	49250	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	49457	0.3022 	0.1301 	0.2846 	0.1310 	0.1073 	0.0000 
Previous	AspectJ	49638	0.0769 	0.0222 	0.0051 	0.0357 	0.0323 	0.0000 
Previous	AspectJ	49657	0.0662 	0.0139 	0.1959 	0.0189 	0.0336 	0.0159 
Previous	AspectJ	49743	0.0766 	0.1923 	0.0623 	0.2783 	0.1461 	0.1764 
Previous	AspectJ	50200	0.5000 	0.2000 	0.5000 	0.2500 	0.3333 	0.5000 
Previous	AspectJ	50570	0.3243 	0.1709 	0.3252 	0.2566 	0.2101 	0.0665 
Previous	AspectJ	50776	0.0015 	0.0048 	0.0013 	0.0070 	0.0021 	0.0000 
Previous	AspectJ	51320	0.0540 	0.0140 	0.0467 	0.0238 	0.2433 	0.0066 
Previous	AspectJ	51322	0.0176 	0.0134 	0.0042 	0.0253 	0.0152 	0.0000 
Previous	AspectJ	51929	0.0043 	0.0074 	0.0036 	0.0107 	0.0145 	0.0754 
Previous	AspectJ	52394	0.0107 	0.0137 	0.0121 	0.0204 	0.0084 	0.0000 
Previous	AspectJ	53012	0.7000 	0.1667 	0.5909 	0.2500 	0.3409 	0.0000 
Previous	AspectJ	53981	0.1099 	0.1048 	0.0711 	0.2083 	0.1146 	0.0000 
Previous	AspectJ	53999	0.0873 	0.0082 	0.0813 	0.0124 	0.0319 	0.0000 
Previous	AspectJ	54421	0.7618 	0.0603 	0.7763 	0.0997 	0.5246 	0.0000 
Previous	AspectJ	54625	1.0000 	0.1000 	1.0000 	0.1429 	0.1667 	0.0625 
Previous	AspectJ	54965	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.5000 
Previous	AspectJ	55341	0.1259 	0.0032 	0.0843 	0.0050 	0.0046 	0.0000 
Previous	AspectJ	57430	0.0017 	0.0053 	0.0018 	0.0072 	0.0067 	0.0061 
Previous	AspectJ	57436	0.0043 	0.0036 	0.0046 	0.0043 	0.0070 	0.0000 
Previous	AspectJ	57666	0.2646 	0.2384 	0.2590 	0.4200 	0.4060 	0.1667 
Previous	AspectJ	58520	0.0307 	0.0176 	0.0296 	0.0407 	0.0158 	0.0079 
Previous	AspectJ	58681	0.1725 	0.0354 	0.1377 	0.0535 	0.0355 	0.1778 
Previous	AspectJ	59208	0.0477 	0.0068 	0.0610 	0.0208 	0.0386 	0.0000 
Previous	AspectJ	59596	0.0256 	0.0250 	0.1667 	0.0400 	1.0000 	0.3333 
Previous	AspectJ	59895	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	59909	0.3564 	0.3873 	0.3303 	0.7746 	0.3980 	0.1667 
Previous	AspectJ	60015	0.0090 	0.0291 	0.0088 	0.0427 	0.0505 	0.2000 
