Group	Project	BugID	BugLocator	BLUiR	BRTracer	AmaLgam	BLIA	Locus
Previous	AspectJ	28919	0.1250 	0.0833 	0.1667 	0.1250 	1.0000 	0.2000 
Previous	AspectJ	28974	0.0114 	0.1111 	0.0093 	0.1111 	0.3333 	0.0000 
Previous	AspectJ	29186	0.0169 	0.0091 	0.0286 	0.0222 	0.2500 	0.1667 
Previous	AspectJ	29769	0.0213 	0.0278 	0.0172 	0.0455 	0.0286 	0.0769 
Previous	AspectJ	29934	0.0093 	0.3333 	0.0085 	0.3333 	0.1429 	0.0000 
Previous	AspectJ	29959	0.0067 	0.0200 	0.0039 	0.0286 	0.0063 	0.0400 
Previous	AspectJ	30168	1.0000 	0.0204 	1.0000 	0.0270 	1.0000 	0.0222 
Previous	AspectJ	30439	0.2500 	0.2500 	0.2000 	0.3333 	0.0556 	0.5000 
Previous	AspectJ	31423	0.0048 	0.0196 	0.0050 	0.0256 	0.0159 	0.0270 
Previous	AspectJ	31460	0.1667 	0.2500 	0.2500 	0.3333 	0.1429 	0.0000 
Previous	AspectJ	32463	1.0000 	0.0085 	1.0000 	0.0116 	0.1429 	0.0099 
Previous	AspectJ	33635	0.0250 	0.0667 	0.0227 	0.0909 	0.0137 	0.0000 
Previous	AspectJ	34858	1.0000 	0.0435 	0.0556 	0.0769 	0.0714 	0.0000 
Previous	AspectJ	34925	0.1429 	0.0833 	0.2000 	0.1667 	0.0357 	0.5000 
Previous	AspectJ	34951	0.0294 	0.0455 	0.0833 	0.0714 	0.0909 	0.0000 
Previous	AspectJ	36234	0.5000 	0.2000 	1.0000 	0.2500 	0.5000 	0.2000 
Previous	AspectJ	36430	1.0000 	0.1667 	1.0000 	0.2000 	0.3333 	1.0000 
Previous	AspectJ	36803	0.0625 	0.1000 	0.0588 	0.1429 	0.0476 	0.0182 
Previous	AspectJ	37576	0.2000 	0.5000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	37739	0.0909 	0.0769 	0.0769 	0.1111 	0.1250 	0.0000 
Previous	AspectJ	38131	0.0345 	0.0385 	0.0139 	0.0526 	0.0208 	0.0000 
Previous	AspectJ	39436	0.0120 	0.0400 	0.0714 	0.0500 	0.0145 	0.1250 
Previous	AspectJ	39626	0.0345 	0.0556 	0.0286 	0.1000 	0.0102 	0.0000 
Previous	AspectJ	39993	0.2000 	1.0000 	0.2000 	1.0000 	1.0000 	0.0256 
Previous	AspectJ	40192	0.0769 	0.0588 	0.2000 	0.1000 	0.1250 	0.0000 
Previous	AspectJ	40257	0.0667 	0.1250 	0.0455 	0.2000 	0.1667 	0.0000 
Previous	AspectJ	40380	0.0099 	0.0233 	0.0303 	0.0313 	0.0098 	0.0769 
Previous	AspectJ	41123	1.0000 	0.5000 	1.0000 	0.5000 	0.2000 	0.0625 
Previous	AspectJ	41952	0.1250 	0.0357 	0.3333 	0.0526 	1.0000 	1.0000 
Previous	AspectJ	42539	1.0000 	0.0029 	1.0000 	0.0041 	0.2000 	0.0000 
Previous	AspectJ	42573	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	42993	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0233 
Previous	AspectJ	43033	0.0526 	0.0051 	0.0053 	0.0085 	0.0345 	0.0588 
Previous	AspectJ	43194	0.0014 	0.0013 	0.0014 	0.0019 	0.0000 	0.1111 
Previous	AspectJ	43709	0.0080 	0.0047 	0.1429 	0.0078 	0.0256 	0.0714 
Previous	AspectJ	44117	0.0143 	0.0244 	0.1250 	0.0435 	0.0500 	0.0000 
Previous	AspectJ	44191	0.0116 	0.0114 	0.0083 	0.0179 	0.0588 	0.0092 
Previous	AspectJ	44272	0.1429 	0.3333 	0.1667 	0.3333 	0.0667 	0.5000 
Previous	AspectJ	45489	0.0476 	0.0141 	0.0400 	0.0222 	0.0556 	0.2500 
Previous	AspectJ	46280	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	46298	0.1429 	1.0000 	0.0833 	1.0000 	0.1667 	0.0000 
Previous	AspectJ	47318	1.0000 	0.0169 	1.0000 	0.0714 	1.0000 	1.0000 
Previous	AspectJ	47754	0.0100 	0.0056 	0.0143 	0.0083 	0.0192 	0.0000 
Previous	AspectJ	47910	0.0909 	0.0714 	0.1429 	0.0833 	0.0667 	1.0000 
Previous	AspectJ	47952	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	48080	0.0357 	0.0122 	0.0526 	0.0233 	0.0625 	0.5000 
Previous	AspectJ	48091	0.5000 	1.0000 	1.0000 	1.0000 	1.0000 	0.1429 
Previous	AspectJ	48990	0.0714 	0.1250 	0.2000 	0.1667 	0.1000 	0.0120 
Previous	AspectJ	49250	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	49457	1.0000 	0.5000 	1.0000 	0.5000 	0.2500 	0.0000 
Previous	AspectJ	49638	0.0769 	0.0222 	0.0051 	0.0357 	0.0323 	0.0000 
Previous	AspectJ	49657	0.3333 	0.0200 	1.0000 	0.0278 	0.0625 	0.0476 
Previous	AspectJ	49743	0.5000 	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	50200	0.5000 	0.2000 	0.5000 	0.2500 	0.3333 	0.5000 
Previous	AspectJ	50570	1.0000 	0.3333 	1.0000 	0.5000 	0.5000 	0.1667 
Previous	AspectJ	50776	0.0016 	0.0085 	0.0015 	0.0123 	0.0042 	0.0000 
Previous	AspectJ	51320	0.1667 	0.0098 	0.2000 	0.0169 	1.0000 	0.0263 
Previous	AspectJ	51322	0.0323 	0.0263 	0.0052 	0.0500 	0.0303 	0.0000 
Previous	AspectJ	51929	0.0041 	0.0172 	0.0034 	0.0256 	0.0238 	0.2000 
Previous	AspectJ	52394	0.0196 	0.0222 	0.0227 	0.0333 	0.0119 	0.0000 
Previous	AspectJ	53012	1.0000 	0.1667 	1.0000 	0.2500 	0.5000 	0.0000 
Previous	AspectJ	53981	0.1429 	0.1429 	0.0833 	0.2500 	0.1667 	0.0000 
Previous	AspectJ	53999	0.1667 	0.0062 	0.1429 	0.0093 	0.0526 	0.0000 
Previous	AspectJ	54421	1.0000 	0.0769 	1.0000 	0.1250 	1.0000 	0.0000 
Previous	AspectJ	54625	1.0000 	0.1000 	1.0000 	0.1429 	0.1667 	0.0625 
Previous	AspectJ	54965	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.5000 
Previous	AspectJ	55341	0.5000 	0.0063 	0.3333 	0.0102 	0.0082 	0.0000 
Previous	AspectJ	57430	0.0017 	0.0053 	0.0018 	0.0072 	0.0067 	0.0061 
Previous	AspectJ	57436	0.0043 	0.0036 	0.0046 	0.0043 	0.0070 	0.0000 
Previous	AspectJ	57666	0.5000 	0.5000 	1.0000 	1.0000 	1.0000 	0.3333 
Previous	AspectJ	58520	0.0667 	0.0303 	0.0476 	0.0833 	0.0357 	0.0066 
Previous	AspectJ	58681	0.2500 	0.0909 	0.3333 	0.1429 	0.0769 	0.2000 
Previous	AspectJ	59208	0.0667 	0.0227 	0.1667 	0.0357 	0.1111 	0.0000 
Previous	AspectJ	59596	0.0256 	0.0250 	0.1667 	0.0400 	1.0000 	0.3333 
Previous	AspectJ	59895	1.0000 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 
Previous	AspectJ	59909	0.5000 	0.5000 	0.5000 	1.0000 	1.0000 	1.0000 
Previous	AspectJ	60015	0.0147 	0.0526 	0.0147 	0.0769 	0.0625 	0.2000 
