Group	Project	Code Relevancy (mul)	Code Relevancy (min)	Code Relevancy (max)	Code Relevancy (mean)	Code Relevancy (files)	Code Relevancy (files_invers)
Apache	HBASE	0.000001	0.000503	0.665570	0.065251	2573.000000	0.000424
Apache	HIVE	0.000033	0.000381	0.600069	0.061718	4268.000000	0.000313
Apache	CAMEL	0.000000	0.000091	0.560862	0.047446	14011.000000	0.000079
JBoss	ENTESB	0.002619	0.061346	0.932118	0.391217	20.000000	0.050587
JBoss	JBMETA	0.000000	0.002170	0.732160	0.157077	740.000000	0.001579
Commons	LANG	0.000000	0.004312	0.819993	0.148501	286.000000	0.003705
Commons	CSV	0.000350	0.041706	0.916667	0.295423	25.000000	0.040120
Commons	COMPRESS	0.000000	0.004336	0.885128	0.152878	248.000000	0.004074
Commons	CRYPTO	0.000363	0.017456	0.666667	0.208290	67.000000	0.016412
Commons	CODEC	0.002976	0.014923	0.888889	0.231466	110.000000	0.012685
Commons	COLLECTIONS	0.000000	0.002368	0.755319	0.118659	494.000000	0.002063
Commons	IO	0.000000	0.005775	0.914835	0.198728	216.000000	0.004968
Commons	WEAVER	0.000000	0.032242	1.000000	0.345372	78.000000	0.015828
Commons	CONFIGURATION	0.000000	0.002494	0.786339	0.104301	436.000000	0.002327
Commons	MATH	0.000000	0.000943	0.664602	0.082425	1469.000000	0.000726
Wildfly	WFCORE	0.000000	0.000399	0.740790	0.074269	3371.000000	0.000328
Wildfly	WFARQ	0.000000	0.007937	1.000000	0.286975	126.000000	0.007937
Wildfly	SWARM	0.000007	0.003704	0.864583	0.158502	631.000000	0.002413
Wildfly	WFLY	0.000019	0.000301	0.763556	0.074285	6602.000000	0.000223
Wildfly	ELY	0.003765	0.032530	0.941739	0.303933	59.000000	0.025143
Wildfly	WFMP	0.000000	0.012500	1.000000	0.195267	80.000000	0.012500
Spring	DATAMONGO	0.000308	0.002744	0.885859	0.154849	524.000000	0.002381
Spring	DATACMNS	0.001114	0.003861	0.878665	0.190848	497.000000	0.003407
Spring	SWF	0.000000	0.001832	0.872860	0.144068	741.000000	0.001430
Spring	SHDP	0.000000	0.001709	0.688418	0.111411	898.000000	0.001221
Spring	MOBILE	0.000023	0.017664	0.829545	0.279580	58.000000	0.017289
Spring	SECOAUTH	0.000015	0.003125	0.832613	0.144750	458.000000	0.002460
Spring	SWS	0.000000	0.001503	0.898969	0.152995	821.000000	0.001309
Spring	SOCIALLI	0.000005	0.007001	0.875000	0.321529	164.000000	0.006207
Spring	AMQP	0.000186	0.004658	0.815403	0.156525	337.000000	0.003721
Spring	ROO	0.000001	0.001580	0.767642	0.101861	953.000000	0.001161
Spring	SPR	0.000000	0.000195	0.852174	0.071791	5946.000000	0.000172
Spring	SEC	0.000045	0.001275	0.805824	0.109890	1340.000000	0.001010
Spring	SOCIALTW	0.000000	0.011018	0.937500	0.301344	137.000000	0.008706
Spring	SGF	0.000000	0.002095	0.844505	0.129430	580.000000	0.001792
Spring	DATAJPA	0.000003	0.003794	0.933466	0.206215	313.000000	0.003377
Spring	DATAREST	0.000083	0.003935	0.868923	0.171073	365.000000	0.003338
Spring	LDAP	0.000007	0.002469	0.908805	0.153071	502.000000	0.002179
Spring	BATCH	0.000038	0.001374	0.755323	0.104886	1457.000000	0.000960
Spring	ANDROID	0.000002	0.009406	0.787879	0.235458	167.000000	0.007486
Spring	SHL	0.000015	0.008916	0.893939	0.258352	135.000000	0.008263
Spring	BATCHADM	0.000000	0.005394	0.960000	0.230244	226.000000	0.004493
Spring	DATAGRAPH	0.000842	0.013930	0.847917	0.250851	133.000000	0.010412
Spring	DATAREDIS	0.000000	0.002637	0.902891	0.158977	473.000000	0.002223
Spring	SOCIALFB	0.000001	0.005065	0.922222	0.213880	234.000000	0.004852
Spring	SOCIAL	0.000000	0.005543	0.838889	0.204143	194.000000	0.005208
