Group	Project	Code Relevancy (mul)	Code Relevancy (min)	Code Relevancy (max)	Code Relevancy (mean)	Code Relevancy (files)	Code Relevancy (files_invers)
Apache	HBASE	0.000000	0.000441	0.603760	0.048309	2619.000000	0.000396
Apache	HIVE	0.000001	0.000307	0.549159	0.047333	4391.000000	0.000257
Apache	CAMEL	0.000000	0.000079	0.476495	0.033828	14213.000000	0.000073
JBoss	ENTESB	0.002490	0.058390	0.911348	0.365544	20.000000	0.048941
JBoss	JBMETA	0.000000	0.001994	0.677722	0.125847	757.000000	0.001483
Commons	LANG	0.000000	0.003926	0.795841	0.123295	294.000000	0.003492
Commons	CSV	0.000002	0.037037	0.916667	0.255661	27.000000	0.037037
Commons	COMPRESS	0.000000	0.004150	0.859685	0.129490	251.000000	0.003977
Commons	CRYPTO	0.000337	0.017140	0.651190	0.179740	68.000000	0.015916
Commons	CODEC	0.000131	0.010617	0.884524	0.203386	112.000000	0.010031
Commons	COLLECTIONS	0.000000	0.002124	0.728299	0.103278	512.000000	0.001964
Commons	IO	0.000000	0.004895	0.902015	0.168133	223.000000	0.004549
Commons	WEAVER	0.000000	0.025298	1.000000	0.266466	82.000000	0.013898
Commons	CONFIGURATION	0.000000	0.002285	0.734893	0.084160	445.000000	0.002247
Commons	MATH	0.000000	0.000820	0.618885	0.065584	1514.000000	0.000683
Wildfly	WFCORE	0.000000	0.000350	0.720348	0.060886	3447.000000	0.000304
Wildfly	WFARQ	0.000000	0.007937	1.000000	0.250278	126.000000	0.007937
Wildfly	SWARM	0.000000	0.002428	0.836823	0.141105	648.000000	0.001926
Wildfly	WFLY	0.000003	0.000280	0.729425	0.058290	6759.000000	0.000222
Wildfly	ELY	0.002950	0.027651	0.965714	0.278576	61.000000	0.022412
Wildfly	WFMP	0.000000	0.012500	1.000000	0.198917	80.000000	0.012500
Spring	DATAMONGO	0.000284	0.002363	0.850548	0.123254	540.000000	0.002164
Spring	DATACMNS	0.000186	0.002768	0.859634	0.162303	513.000000	0.002345
Spring	SWF	0.000000	0.001559	0.829126	0.112689	772.000000	0.001309
Spring	SHDP	0.000000	0.001491	0.655320	0.094851	957.000000	0.001115
Spring	MOBILE	0.000000	0.017441	0.803030	0.259245	59.000000	0.016917
Spring	SECOAUTH	0.000000	0.002629	0.811154	0.124349	476.000000	0.002154
Spring	SWS	0.000000	0.001323	0.881614	0.120143	840.000000	0.001219
Spring	SOCIALLI	0.000000	0.005974	0.875000	0.256605	174.000000	0.005733
Spring	AMQP	0.000000	0.003339	0.797009	0.128573	358.000000	0.002916
Spring	ROO	0.000000	0.001386	0.741041	0.086379	981.000000	0.001096
Spring	SPR	0.000000	0.000188	0.805834	0.057176	6018.000000	0.000168
Spring	SEC	0.000000	0.000864	0.756821	0.087808	1415.000000	0.000735
Spring	SOCIALTW	0.000000	0.006593	0.937500	0.273025	151.000000	0.006593
Spring	SGF	0.000000	0.001963	0.757865	0.102936	585.000000	0.001745
Spring	DATAJPA	0.000000	0.003408	0.923539	0.182463	321.000000	0.003162
Spring	DATAREST	0.000000	0.003079	0.844213	0.142010	378.000000	0.002776
Spring	LDAP	0.000007	0.002189	0.849057	0.120147	515.000000	0.002070
Spring	BATCH	0.000000	0.000894	0.723857	0.084454	1551.000000	0.000715
Spring	ANDROID	0.000000	0.005588	0.780303	0.196879	181.000000	0.005522
Spring	SHL	0.000011	0.008631	0.893939	0.237084	136.000000	0.008095
Spring	BATCHADM	0.000000	0.004727	0.933333	0.192663	235.000000	0.004264
Spring	DATAGRAPH	0.000015	0.010107	0.852083	0.221675	142.000000	0.008174
Spring	DATAREDIS	0.000000	0.002026	0.900194	0.133162	499.000000	0.002005
Spring	SOCIALFB	0.000000	0.004418	0.883333	0.171190	244.000000	0.004120
Spring	SOCIAL	0.000000	0.005338	0.800000	0.165198	200.000000	0.005012
