Group	Project	Code Relevancy (mul)	Code Relevancy (min)	Code Relevancy (max)	Code Relevancy (mean)	Code Relevancy (files)	Code Relevancy (files_invers)
Apache	HBASE	0.000001	0.000508	0.655381	0.064493	2569.000000	0.000427
Apache	HIVE	0.000033	0.000382	0.588254	0.059940	4263.000000	0.000313
Apache	CAMEL	0.000000	0.000091	0.555067	0.046568	14004.000000	0.000079
JBoss	ENTESB	0.002619	0.061346	0.932118	0.391034	20.000000	0.050587
JBoss	JBMETA	0.000000	0.002170	0.732160	0.156882	740.000000	0.001579
Commons	LANG	0.000000	0.004332	0.814233	0.148023	285.000000	0.003713
Commons	CSV	0.000350	0.041706	0.863095	0.284682	25.000000	0.040120
Commons	COMPRESS	0.000000	0.004336	0.885128	0.151180	248.000000	0.004074
Commons	CRYPTO	0.000363	0.017456	0.666667	0.208290	67.000000	0.016412
Commons	CODEC	0.002976	0.014923	0.888889	0.229033	110.000000	0.012685
Commons	COLLECTIONS	0.000000	0.002370	0.754787	0.118643	493.000000	0.002067
Commons	IO	0.000000	0.005812	0.909341	0.198066	215.000000	0.004982
Commons	WEAVER	0.000000	0.032242	1.000000	0.345372	78.000000	0.015828
Commons	CONFIGURATION	0.000000	0.002501	0.786339	0.103421	436.000000	0.002331
Commons	MATH	0.000000	0.000961	0.662561	0.082607	1466.000000	0.000738
Wildfly	WFCORE	0.000000	0.000400	0.740790	0.073569	3369.000000	0.000328
Wildfly	WFARQ	0.000000	0.007937	1.000000	0.286975	126.000000	0.007937
Wildfly	SWARM	0.000007	0.003704	0.864583	0.156510	631.000000	0.002413
Wildfly	WFLY	0.000019	0.000303	0.758813	0.073389	6587.000000	0.000223
Wildfly	ELY	0.003765	0.032530	0.941739	0.303933	59.000000	0.025143
Wildfly	WFMP	0.000000	0.012500	1.000000	0.195267	80.000000	0.012500
Spring	DATAMONGO	0.000308	0.002750	0.885552	0.153157	524.000000	0.002383
Spring	DATACMNS	0.001114	0.003877	0.878665	0.190504	496.000000	0.003411
Spring	SWF	0.000000	0.001834	0.872860	0.143392	741.000000	0.001431
Spring	SHDP	0.000000	0.001709	0.688418	0.110264	898.000000	0.001221
Spring	MOBILE	0.000023	0.017664	0.829545	0.279580	58.000000	0.017289
Spring	SECOAUTH	0.000015	0.003144	0.832613	0.145244	457.000000	0.002465
Spring	SWS	0.000000	0.001503	0.898969	0.150946	821.000000	0.001309
Spring	SOCIALLI	0.000005	0.007001	0.875000	0.321529	164.000000	0.006207
Spring	AMQP	0.000186	0.004658	0.815403	0.153964	337.000000	0.003721
Spring	ROO	0.000001	0.001589	0.763985	0.101063	952.000000	0.001164
Spring	SPR	0.000000	0.000195	0.851164	0.070823	5946.000000	0.000172
Spring	SEC	0.000045	0.001276	0.799475	0.108448	1338.000000	0.001011
Spring	SOCIALTW	0.000000	0.011018	0.937500	0.301344	137.000000	0.008706
Spring	SGF	0.000000	0.002120	0.844505	0.128574	577.000000	0.001802
Spring	DATAJPA	0.000003	0.003794	0.933466	0.205748	313.000000	0.003377
Spring	DATAREST	0.000083	0.004023	0.863872	0.169620	363.000000	0.003354
Spring	LDAP	0.000007	0.002472	0.908805	0.153598	501.000000	0.002180
Spring	BATCH	0.000038	0.001374	0.754165	0.104450	1457.000000	0.000960
Spring	ANDROID	0.000002	0.009406	0.787879	0.236148	167.000000	0.007486
Spring	SHL	0.000015	0.008916	0.893939	0.258352	135.000000	0.008263
Spring	BATCHADM	0.000000	0.005394	0.960000	0.229594	226.000000	0.004493
Spring	DATAGRAPH	0.000842	0.013930	0.847917	0.250596	133.000000	0.010412
Spring	DATAREDIS	0.000000	0.002637	0.902891	0.157902	473.000000	0.002223
Spring	SOCIALFB	0.000001	0.005065	0.922222	0.201604	234.000000	0.004852
Spring	SOCIAL	0.000000	0.005543	0.838889	0.204456	194.000000	0.005208
