Group	Project	Code Relevancy (mul)	Code Relevancy (min)	Code Relevancy (max)	Code Relevancy (mean)	Code Relevancy (files)	Code Relevancy (files_invers)
Apache	HBASE	0.000000	0.000443	0.590952	0.048186	2615.000000	0.000397
Apache	HIVE	0.000001	0.000308	0.538854	0.046696	4387.000000	0.000258
Apache	CAMEL	0.000000	0.000079	0.471937	0.033453	14209.000000	0.000073
JBoss	ENTESB	0.002490	0.058529	0.911348	0.364279	20.000000	0.048941
JBoss	JBMETA	0.000000	0.001994	0.677722	0.125545	757.000000	0.001483
Commons	LANG	0.000000	0.003943	0.787776	0.123180	294.000000	0.003498
Commons	CSV	0.000002	0.037037	0.863095	0.246279	27.000000	0.037037
Commons	COMPRESS	0.000000	0.004150	0.859685	0.129163	251.000000	0.003977
Commons	CRYPTO	0.000337	0.017140	0.651190	0.179740	68.000000	0.015916
Commons	CODEC	0.000131	0.010617	0.884524	0.201484	112.000000	0.010031
Commons	COLLECTIONS	0.000000	0.002124	0.728299	0.103350	511.000000	0.001967
Commons	IO	0.000000	0.004895	0.902015	0.167621	223.000000	0.004549
Commons	WEAVER	0.000000	0.025298	1.000000	0.266466	82.000000	0.013898
Commons	CONFIGURATION	0.000000	0.002289	0.734893	0.083504	445.000000	0.002248
Commons	MATH	0.000000	0.000827	0.615484	0.065442	1513.000000	0.000685
Wildfly	WFCORE	0.000000	0.000351	0.720348	0.060727	3445.000000	0.000304
Wildfly	WFARQ	0.000000	0.007937	1.000000	0.250278	126.000000	0.007937
Wildfly	SWARM	0.000000	0.002428	0.836823	0.140787	648.000000	0.001926
Wildfly	WFLY	0.000003	0.000282	0.724376	0.058044	6747.000000	0.000222
Wildfly	ELY	0.002950	0.027651	0.965714	0.278576	61.000000	0.022412
Wildfly	WFMP	0.000000	0.012500	1.000000	0.198917	80.000000	0.012500
Spring	DATAMONGO	0.000284	0.002366	0.850548	0.122261	540.000000	0.002165
Spring	DATACMNS	0.000186	0.002772	0.859634	0.161981	513.000000	0.002346
Spring	SWF	0.000000	0.001561	0.825395	0.111961	772.000000	0.001309
Spring	SHDP	0.000000	0.001491	0.655320	0.094488	957.000000	0.001115
Spring	MOBILE	0.000000	0.017441	0.803030	0.259245	59.000000	0.016917
Spring	SECOAUTH	0.000000	0.002633	0.811154	0.124851	476.000000	0.002156
Spring	SWS	0.000000	0.001323	0.881614	0.119414	840.000000	0.001219
Spring	SOCIALLI	0.000000	0.005974	0.875000	0.256605	174.000000	0.005733
Spring	AMQP	0.000000	0.003339	0.797009	0.127136	358.000000	0.002916
Spring	ROO	0.000000	0.001393	0.737064	0.085888	979.000000	0.001097
Spring	SPR	0.000000	0.000188	0.805834	0.056993	6018.000000	0.000168
Spring	SEC	0.000000	0.000865	0.752305	0.087010	1414.000000	0.000736
Spring	SOCIALTW	0.000000	0.006593	0.937500	0.273025	151.000000	0.006593
Spring	SGF	0.000000	0.001963	0.757865	0.101398	585.000000	0.001745
Spring	DATAJPA	0.000000	0.003408	0.923539	0.181754	321.000000	0.003162
Spring	DATAREST	0.000000	0.003102	0.844213	0.140754	378.000000	0.002783
Spring	LDAP	0.000007	0.002192	0.839623	0.120535	515.000000	0.002071
Spring	BATCH	0.000000	0.000894	0.722700	0.084150	1551.000000	0.000715
Spring	ANDROID	0.000000	0.005588	0.780303	0.198009	181.000000	0.005522
Spring	SHL	0.000011	0.008631	0.893939	0.237084	136.000000	0.008095
Spring	BATCHADM	0.000000	0.004727	0.933333	0.192883	235.000000	0.004264
Spring	DATAGRAPH	0.000015	0.010107	0.852083	0.221773	142.000000	0.008174
Spring	DATAREDIS	0.000000	0.002026	0.900194	0.132909	499.000000	0.002005
Spring	SOCIALFB	0.000000	0.004418	0.883333	0.167998	244.000000	0.004120
Spring	SOCIAL	0.000000	0.005338	0.800000	0.164456	200.000000	0.005012
