Group	Project	Number of Bugs	Number of source files	Number of distinct tokens in bug reports	Number of distinct tokens in source code	Size of intersection between source and bug	Avg. of number of distinct tokens	Inverse of number of source files	Sum of distinct tokens in bug reports	Avg. of distinct tokens in bug reports
Apache	HBASE	840	1835	7376	67960	4939	37.03542234332424953891	0.00054495912806539512	35717	42.52023809523809205757
Apache	HIVE	1247	2776	8946	86029	5537	30.99027377521613857425	0.00036023054755043225	51286	41.12750601443464404383
Apache	CAMEL	1468	8908	9512	84915	6582	9.53244274809160252460	0.00011225864391558149	59050	40.22479564032697396669
JBoss	ENTESB	47	99	793	4917	374	49.66666666666666429819	0.01010101010101010187	1659	35.29787234042553478730
JBoss	JBMETA	26	818	512	6904	315	8.44009779951100291839	0.00122249388753056234	829	31.88461538461538324896
Commons	LANG	217	235	2630	12433	1821	52.90638297872340700678	0.00425531914893617028	7533	34.71428571428571530078
Commons	CSV	14	25	225	1459	179	58.35999999999999943157	0.04000000000000000083	325	23.21428571428571530078
Commons	COMPRESS	113	187	1780	8976	1189	48.00000000000000000000	0.00534759358288770022	5393	47.72566371681416086403
Commons	CRYPTO	8	82	110	1515	71	18.47560975609756184213	0.01219512195121951262	123	15.37500000000000000000
Commons	CODEC	42	71	845	9344	623	131.60563380281689660478	0.01408450704225352144	1536	36.57142857142856939845
Commons	COLLECTIONS	94	415	964	6969	801	16.79277108433734966297	0.00240963855421686768	3001	31.92553191489361807953
Commons	IO	91	141	1343	5136	1021	36.42553191489361807953	0.00709219858156028352	3297	36.23076923076923350209
Commons	WEAVER	2	112	39	1502	26	13.41071428571428647558	0.00892857142857142808	43	21.50000000000000000000
Commons	CONFIGURATION	133	222	1552	10208	1187	45.98198198198198127784	0.00450450450450450447	5257	39.52631578947368495847
Commons	MATH	245	1010	2559	32940	2095	32.61386138613861618296	0.00099009900990099011	8491	34.65714285714285836093
Wildfly	WFCORE	361	3356	3574	39449	2589	11.75476758045292058341	0.00029797377830750892	17230	47.72853185595567993005
Wildfly	WFARQ	1	126	48	1840	32	14.60317460317460280805	0.00793650793650793607	48	48.00000000000000000000
Wildfly	SWARM	58	605	1108	7118	701	11.76528925619834708982	0.00165289256198347103	2633	45.39655172413792882935
Wildfly	WFLY	984	7233	9015	88458	5321	12.22978017420157570427	0.00013825521913452232	53618	54.48983739837398587724
Wildfly	ELY	25	58	362	1496	153	25.79310344827586121141	0.01724137931034482735	619	24.76000000000000156319
Wildfly	WFMP	3	80	203	1620	119	20.25000000000000000000	0.01250000000000000069	239	79.66666666666667140362
Spring	DATAMONGO	271	454	2919	9011	1581	19.84801762114537382331	0.00220264317180616761	12158	44.86346863468634893479
Spring	DATACMNS	158	420	2234	6829	1240	16.25952380952380948997	0.00238095238095238117	7136	45.16455696202531555628
Spring	SWF	134	683	1805	10527	1324	15.41288433382137590399	0.00146412884333821380	5513	41.14179104477612014534
Spring	SHDP	45	700	672	9288	546	13.26857142857142868309	0.00142857142857142857	1236	27.46666666666666500873
Spring	MOBILE	11	49	173	1490	111	30.40816326530612201395	0.02040816326530612082	242	22.00000000000000000000
Spring	SECOAUTH	101	431	1343	5737	916	13.31090487238979136464	0.00232018561484918784	3782	37.44554455445544505210
Spring	SWS	174	802	2745	9328	1682	11.63092269326683236841	0.00124688279301745633	9143	52.54597701149425148515
Spring	SOCIALLI	4	180	51	2007	43	11.15000000000000035527	0.00555555555555555577	64	16.00000000000000000000
Spring	AMQP	108	316	1508	7155	1011	22.64240506329113955530	0.00316455696202531641	4376	40.51851851851851904485
Spring	ROO	720	788	5728	19024	2893	24.14213197969543145405	0.00126903553299492376	31976	44.41111111111111142691
Spring	SPR	132	4570	2226	61826	1782	13.52866520787746118515	0.00021881838074398250	6841	51.82575757575757791074
Spring	SEC	542	1074	4838	19144	3205	17.82495344506517653826	0.00093109869646182495	24302	44.83763837638376514860
Spring	SOCIALTW	8	106	222	2752	157	25.96226415094339756706	0.00943396226415094304	297	37.12500000000000000000
Spring	SGF	107	344	1468	8828	956	25.66279069767441711747	0.00290697674418604647	5004	46.76635514018691708316
Spring	DATAJPA	147	234	2249	4410	1048	18.84615384615384670042	0.00427350427350427393	7582	51.57823129251701033127
Spring	DATAREST	132	298	1838	5789	1057	19.42617449664429685185	0.00335570469798657711	6423	48.65909090909090650712
Spring	LDAP	53	510	1171	6102	852	11.96470588235294130186	0.00196078431372549017	2615	49.33962264150943610730
Spring	BATCH	432	1255	3152	14419	2227	11.48924302788844542533	0.00079681274900398409	14389	33.30787037037037379150
Spring	ANDROID	11	180	235	4020	211	22.33333333333333214910	0.00555555555555555577	300	27.27272727272727337322
Spring	SHL	11	118	205	2582	163	21.88135593220339103482	0.00847457627118644065	278	25.27272727272727337322
Spring	BATCHADM	20	227	446	3057	294	13.46696035242290712119	0.00440528634361233521	658	32.89999999999999857891
Spring	DATAGRAPH	60	312	658	8787	477	28.16346153846154010125	0.00320512820512820502	1582	26.36666666666666714036
Spring	DATAREDIS	49	339	904	7700	705	22.71386430678466084032	0.00294985250737463123	1856	37.87755102040816268527
Spring	SOCIALFB	15	188	388	4181	274	22.23936170212765972565	0.00531914893617021264	589	39.26666666666666571928
Spring	SOCIAL	15	153	314	2870	229	18.75816993464052373497	0.00653594771241830085	417	27.80000000000000071054
