Group	Project	Number of Bugs	Number of source files	Number of distinct tokens in bug reports	Number of distinct tokens in source code	Size of intersection between source and bug	Avg. of number of distinct tokens	Inverse of number of source files	Sum of distinct tokens in bug reports	Avg. of distinct tokens in bug reports
Apache	HBASE	840	1835	6258	43853	4046	23.89809264305177194387	0.00054495912806539512	36762	43.76428571428571245860
Apache	HIVE	1247	2776	7645	54496	4604	19.63112391930835798348	0.00036023054755043225	52523	42.11948676824378168249
Apache	CAMEL	1468	8908	7046	53068	4900	5.95734171531207934436	0.00011225864391558149	59404	40.46594005449590980561
JBoss	ENTESB	47	99	755	3485	395	35.20202020202020065653	0.01010101010101010187	1672	35.57446808510638192047
JBoss	JBMETA	26	818	494	4536	334	5.54523227383863037687	0.00122249388753056234	843	32.42307692307691979750
Commons	LANG	217	235	2389	8746	1660	37.21702127659574443896	0.00425531914893617028	7691	35.44239631336405693673
Commons	CSV	14	25	215	1229	171	49.15999999999999658939	0.04000000000000000083	333	23.78571428571428469922
Commons	COMPRESS	113	187	1638	8222	1125	43.96791443850267455673	0.00534759358288770022	5504	48.70796460176990905211
Commons	CRYPTO	8	82	109	1294	75	15.78048780487804947370	0.01219512195121951262	128	16.00000000000000000000
Commons	CODEC	42	71	880	9267	628	130.52112676056339068964	0.01408450704225352144	1629	38.78571428571428469922
Commons	COLLECTIONS	94	415	866	5139	726	12.38313253012048242852	0.00240963855421686768	2985	31.75531914893617013718
Commons	IO	91	141	1218	4105	929	29.11347517730496292643	0.00709219858156028352	3356	36.87912087912087599761
Commons	WEAVER	2	112	40	1105	27	9.86607142857142882519	0.00892857142857142808	44	22.00000000000000000000
Commons	CONFIGURATION	133	222	1327	7447	1033	33.54504504504504325268	0.00450450450450450447	5205	39.13533834586466042538
Commons	MATH	245	1010	2311	27516	1872	27.24356435643564466886	0.00099009900990099011	8786	35.86122448979591581519
Wildfly	WFCORE	361	3356	3122	25271	2287	7.53009535160905851825	0.00029797377830750892	17661	48.92243767313019731091
Wildfly	WFARQ	1	126	49	1353	34	10.73809523809523724935	0.00793650793650793607	49	49.00000000000000000000
Wildfly	SWARM	58	605	1059	4398	716	7.26942148760330564272	0.00165289256198347103	2696	46.48275862068965835761
Wildfly	WFLY	984	7233	7215	53868	4400	7.44753214433844856757	0.00013825521913452232	54941	55.83434959349593640354
Wildfly	ELY	25	58	360	1222	173	21.06896551724138078043	0.01724137931034482735	647	25.87999999999999900524
Wildfly	WFMP	3	80	206	1223	125	15.28749999999999964473	0.01250000000000000069	242	80.66666666666667140362
Spring	DATAMONGO	271	454	2356	6785	1359	14.94493392070484638623	0.00220264317180616761	12475	46.03321033210332302588
Spring	DATACMNS	158	420	1868	4930	1097	11.73809523809523724935	0.00238095238095238117	7217	45.67721518987341511320
Spring	SWF	134	683	1539	7101	1161	10.39677891654465646809	0.00146412884333821380	5640	42.08955223880597174002
Spring	SHDP	45	700	632	6086	527	8.69428571428571395074	0.00142857142857142857	1276	28.35555555555555429237
Spring	MOBILE	11	49	180	1342	126	27.38775510204081697907	0.02040816326530612082	260	23.63636363636363668661
Spring	SECOAUTH	101	431	1263	4408	853	10.22737819025522121308	0.00232018561484918784	3889	38.50495049504950628716
Spring	SWS	174	802	2229	5968	1398	7.44139650872817970395	0.00124688279301745633	9308	53.49425287356321945254
Spring	SOCIALLI	4	180	53	1621	47	9.00555555555555642400	0.00555555555555555577	67	16.75000000000000000000
Spring	AMQP	108	316	1290	4880	915	15.44303797468354488842	0.00316455696202531641	4476	41.44444444444444286546
Spring	ROO	720	788	4636	12481	2507	15.83883248730964510287	0.00126903553299492376	32399	44.99861111111111000582
Spring	SPR	132	4570	1937	40547	1606	8.87242888402625773381	0.00021881838074398250	6892	52.21212121212121104463
Spring	SEC	542	1074	3941	14575	2683	13.57076350093109873285	0.00093109869646182495	24902	45.94464944649446636049
Spring	SOCIALTW	8	106	228	2259	158	21.31132075471698072988	0.00943396226415094304	319	39.87500000000000000000
Spring	SGF	107	344	1284	6128	896	17.81395348837209269277	0.00290697674418604647	5122	47.86915887850467044018
Spring	DATAJPA	147	234	1923	3435	953	14.67948717948717884951	0.00427350427350427393	7721	52.52380952380952550129
Spring	DATAREST	132	298	1606	4024	960	13.50335570469798618376	0.00335570469798657711	6584	49.87878787878787534282
Spring	LDAP	53	510	1044	4657	770	9.13137254901960737641	0.00196078431372549017	2659	50.16981132075471805365
Spring	BATCH	432	1255	2637	10019	1901	7.98326693227091599425	0.00079681274900398409	14782	34.21759259259259522423
Spring	ANDROID	11	180	231	3017	208	16.76111111111111284799	0.00555555555555555577	310	28.18181818181818343305
Spring	SHL	11	118	210	2031	168	17.21186440677966089652	0.00847457627118644065	283	25.72727272727272662678
Spring	BATCHADM	20	227	432	2244	308	9.88546255506607884911	0.00440528634361233521	670	33.50000000000000000000
Spring	DATAGRAPH	60	312	606	6284	467	20.14102564102564230097	0.00320512820512820502	1590	26.50000000000000000000
Spring	DATAREDIS	49	339	812	5664	648	16.70796460176991260482	0.00294985250737463123	1873	38.22448979591836604186
Spring	SOCIALFB	15	188	380	3299	272	17.54787234042553123459	0.00531914893617021264	624	41.60000000000000142109
Spring	SOCIAL	15	153	305	2162	232	14.13071895424836554866	0.00653594771241830085	441	29.39999999999999857891
