Group	Project	Number of Bugs	Number of source files	Number of distinct tokens in bug reports	Number of distinct tokens in source code	Size of intersection between source and bug	Avg. of number of distinct tokens	Inverse of number of source files	Sum of distinct tokens in bug reports	Avg. of distinct tokens in bug reports
Apache	HBASE	840	1835	7130	67960	4794	37.03542234332424953891	0.00054495912806539512	34463	41.02738095238095183959
Apache	HIVE	1247	2776	8601	86029	5301	30.99027377521613857425	0.00036023054755043225	49181	39.43945469125902292262
Apache	CAMEL	1468	8908	9200	84915	6437	9.53244274809160252460	0.00011225864391558149	57461	39.14237057220708493332
JBoss	ENTESB	47	99	777	4917	372	49.66666666666666429819	0.01010101010101010187	1611	34.27659574468085423860
JBoss	JBMETA	26	818	482	6904	312	8.44009779951100291839	0.00122249388753056234	795	30.57692307692307664979
Commons	LANG	217	235	2601	12433	1806	52.90638297872340700678	0.00425531914893617028	7424	34.21198156682027757824
Commons	CSV	14	25	220	1459	174	58.35999999999999943157	0.04000000000000000083	318	22.71428571428571530078
Commons	COMPRESS	113	187	1748	8976	1170	48.00000000000000000000	0.00534759358288770022	5303	46.92920353982300696316
Commons	CRYPTO	8	82	110	1515	71	18.47560975609756184213	0.01219512195121951262	123	15.37500000000000000000
Commons	CODEC	42	71	828	9344	607	131.60563380281689660478	0.01408450704225352144	1509	35.92857142857143060155
Commons	COLLECTIONS	94	415	957	6969	795	16.79277108433734966297	0.00240963855421686768	2975	31.64893617021276739365
Commons	IO	91	141	1302	5136	1002	36.42553191489361807953	0.00709219858156028352	3186	35.01098901098901450268
Commons	WEAVER	2	112	39	1502	26	13.41071428571428647558	0.00892857142857142808	43	21.50000000000000000000
Commons	CONFIGURATION	133	222	1513	10208	1162	45.98198198198198127784	0.00450450450450450447	5144	38.67669172932330923231
Commons	MATH	245	1010	2530	32940	2075	32.61386138613861618296	0.00099009900990099011	8367	34.15102040816326223194
Wildfly	WFCORE	361	3356	3490	39449	2533	11.75476758045292058341	0.00029797377830750892	16815	46.57894736842105487540
Wildfly	WFARQ	1	126	48	1840	32	14.60317460317460280805	0.00793650793650793607	48	48.00000000000000000000
Wildfly	SWARM	58	605	1064	7118	681	11.76528925619834708982	0.00165289256198347103	2526	43.55172413793103203261
Wildfly	WFLY	984	7233	8750	88458	5166	12.22978017420157570427	0.00013825521913452232	52214	53.06300813008130035087
Wildfly	ELY	25	58	362	1496	153	25.79310344827586121141	0.01724137931034482735	619	24.76000000000000156319
Wildfly	WFMP	3	80	203	1620	119	20.25000000000000000000	0.01250000000000000069	239	79.66666666666667140362
Spring	DATAMONGO	271	454	2814	9011	1558	19.84801762114537382331	0.00220264317180616761	11754	43.37269372693727120804
Spring	DATACMNS	158	420	2165	6829	1226	16.25952380952380948997	0.00238095238095238117	6936	43.89873417721518933377
Spring	SWF	134	683	1737	10527	1286	15.41288433382137590399	0.00146412884333821380	5290	39.47761194029850884135
Spring	SHDP	45	700	653	9288	541	13.26857142857142868309	0.00142857142857142857	1213	26.95555555555555571345
Spring	MOBILE	11	49	173	1490	111	30.40816326530612201395	0.02040816326530612082	242	22.00000000000000000000
Spring	SECOAUTH	101	431	1328	5737	905	13.31090487238979136464	0.00232018561484918784	3723	36.86138613861385948667
Spring	SWS	174	802	2597	9328	1632	11.63092269326683236841	0.00124688279301745633	8696	49.97701149425287070471
Spring	SOCIALLI	4	180	51	2007	43	11.15000000000000035527	0.00555555555555555577	64	16.00000000000000000000
Spring	AMQP	108	316	1443	7155	993	22.64240506329113955530	0.00316455696202531641	4168	38.59259259259259522423
Spring	ROO	720	788	5476	19024	2837	24.14213197969543145405	0.00126903553299492376	30912	42.93333333333333001747
Spring	SPR	132	4570	2173	61826	1745	13.52866520787746118515	0.00021881838074398250	6691	50.68939393939393767141
Spring	SEC	542	1074	4646	19144	3147	17.82495344506517653826	0.00093109869646182495	23513	43.38191881918819348130
Spring	SOCIALTW	8	106	222	2752	157	25.96226415094339756706	0.00943396226415094304	297	37.12500000000000000000
Spring	SGF	107	344	1378	8828	932	25.66279069767441711747	0.00290697674418604647	4760	44.48598130841121189860
Spring	DATAJPA	147	234	2196	4410	1038	18.84615384615384670042	0.00427350427350427393	7442	50.62585034013605422842
Spring	DATAREST	132	298	1813	5789	1050	19.42617449664429685185	0.00335570469798657711	6289	47.64393939393939092497
Spring	LDAP	53	510	1132	6102	838	11.96470588235294130186	0.00196078431372549017	2504	47.24528301886792291953
Spring	BATCH	432	1255	3047	14419	2198	11.48924302788844542533	0.00079681274900398409	14062	32.55092592592592382061
Spring	ANDROID	11	180	233	4020	209	22.33333333333333214910	0.00555555555555555577	296	26.90909090909091005983
Spring	SHL	11	118	205	2582	163	21.88135593220339103482	0.00847457627118644065	278	25.27272727272727337322
Spring	BATCHADM	20	227	440	3057	291	13.46696035242290712119	0.00440528634361233521	651	32.54999999999999715783
Spring	DATAGRAPH	60	312	656	8787	476	28.16346153846154010125	0.00320512820512820502	1578	26.30000000000000071054
Spring	DATAREDIS	49	339	876	7700	690	22.71386430678466084032	0.00294985250737463123	1802	36.77551020408163395814
Spring	SOCIALFB	15	188	370	4181	266	22.23936170212765972565	0.00531914893617021264	556	37.06666666666666998253
Spring	SOCIAL	15	153	310	2870	227	18.75816993464052373497	0.00653594771241830085	412	27.46666666666666500873
