Group	Project	Number of Bugs	Number of source files	Number of distinct tokens in bug reports	Number of distinct tokens in source code	Size of intersection between source and bug	Avg. of number of distinct tokens	Inverse of number of source files	Sum of distinct tokens in bug reports	Avg. of distinct tokens in bug reports
Apache	HBASE	840	1835	6112	43853	3959	23.89809264305177194387	0.00054495912806539512	35529	42.29642857142857081953
Apache	HIVE	1247	2776	7404	54496	4444	19.63112391930835798348	0.00036023054755043225	50457	40.46271050521251311238
Apache	CAMEL	1468	8908	6865	53068	4814	5.95734171531207934436	0.00011225864391558149	57917	39.45299727520436050554
JBoss	ENTESB	47	99	739	3485	390	35.20202020202020065653	0.01010101010101010187	1623	34.53191489361702082306
JBoss	JBMETA	26	818	471	4536	328	5.54523227383863037687	0.00122249388753056234	811	31.19230769230769340083
Commons	LANG	217	235	2369	8746	1650	37.21702127659574443896	0.00425531914893617028	7580	34.93087557603686832408
Commons	CSV	14	25	210	1229	166	49.15999999999999658939	0.04000000000000000083	326	23.28571428571428469922
Commons	COMPRESS	113	187	1615	8222	1110	43.96791443850267455673	0.00534759358288770022	5414	47.91150442477876225666
Commons	CRYPTO	8	82	109	1294	75	15.78048780487804947370	0.01219512195121951262	128	16.00000000000000000000
Commons	CODEC	42	71	866	9267	615	130.52112676056339068964	0.01408450704225352144	1606	38.23809523809524080207
Commons	COLLECTIONS	94	415	861	5139	722	12.38313253012048242852	0.00240963855421686768	2959	31.47872340425531945129
Commons	IO	91	141	1182	4105	912	29.11347517730496292643	0.00709219858156028352	3248	35.69230769230769340083
Commons	WEAVER	2	112	40	1105	27	9.86607142857142882519	0.00892857142857142808	44	22.00000000000000000000
Commons	CONFIGURATION	133	222	1298	7447	1013	33.54504504504504325268	0.00450450450450450447	5104	38.37593984962406068462
Commons	MATH	245	1010	2287	27516	1854	27.24356435643564466886	0.00099009900990099011	8659	35.34285714285714163907
Wildfly	WFCORE	361	3356	3069	25271	2253	7.53009535160905851825	0.00029797377830750892	17265	47.82548476454293506777
Wildfly	WFARQ	1	126	49	1353	34	10.73809523809523724935	0.00793650793650793607	49	49.00000000000000000000
Wildfly	SWARM	58	605	1024	4398	701	7.26942148760330564272	0.00165289256198347103	2596	44.75862068965517437391
Wildfly	WFLY	984	7233	7041	53868	4300	7.44753214433844856757	0.00013825521913452232	53565	54.43597560975609894740
Wildfly	ELY	25	58	360	1222	173	21.06896551724138078043	0.01724137931034482735	647	25.87999999999999900524
Wildfly	WFMP	3	80	206	1223	125	15.28749999999999964473	0.01250000000000000069	242	80.66666666666667140362
Spring	DATAMONGO	271	454	2281	6785	1337	14.94493392070484638623	0.00220264317180616761	12071	44.54243542435424529913
Spring	DATACMNS	158	420	1821	4930	1080	11.73809523809523724935	0.00238095238095238117	7030	44.49367088607594666883
Spring	SWF	134	683	1492	7101	1131	10.39677891654465646809	0.00146412884333821380	5432	40.53731343283582333470
Spring	SHDP	45	700	618	6086	522	8.69428571428571395074	0.00142857142857142857	1252	27.82222222222222285382
Spring	MOBILE	11	49	180	1342	126	27.38775510204081697907	0.02040816326530612082	260	23.63636363636363668661
Spring	SECOAUTH	101	431	1249	4408	843	10.22737819025522121308	0.00232018561484918784	3829	37.91089108910890814741
Spring	SWS	174	802	2134	5968	1358	7.44139650872817970395	0.00124688279301745633	8895	51.12068965517241281304
Spring	SOCIALLI	4	180	53	1621	47	9.00555555555555642400	0.00555555555555555577	67	16.75000000000000000000
Spring	AMQP	108	316	1257	4880	905	15.44303797468354488842	0.00316455696202531641	4282	39.64814814814814525334
Spring	ROO	720	788	4468	12481	2457	15.83883248730964510287	0.00126903553299492376	31388	43.59444444444444144438
Spring	SPR	132	4570	1903	40547	1582	8.87242888402625773381	0.00021881838074398250	6759	51.20454545454545325356
Spring	SEC	542	1074	3806	14575	2640	13.57076350093109873285	0.00093109869646182495	24137	44.53321033210332302588
Spring	SOCIALTW	8	106	228	2259	158	21.31132075471698072988	0.00943396226415094304	319	39.87500000000000000000
Spring	SGF	107	344	1222	6128	874	17.81395348837209269277	0.00290697674418604647	4896	45.75700934579439405070
Spring	DATAJPA	147	234	1887	3435	943	14.67948717948717884951	0.00427350427350427393	7582	51.57823129251701033127
Spring	DATAREST	132	298	1586	4024	952	13.50335570469798618376	0.00335570469798657711	6456	48.90909090909090650712
Spring	LDAP	53	510	1016	4657	760	9.13137254901960737641	0.00196078431372549017	2556	48.22641509433962170306
Spring	BATCH	432	1255	2566	10019	1879	7.98326693227091599425	0.00079681274900398409	14473	33.50231481481481665696
Spring	ANDROID	11	180	229	3017	206	16.76111111111111284799	0.00555555555555555577	305	27.72727272727272662678
Spring	SHL	11	118	210	2031	168	17.21186440677966089652	0.00847457627118644065	283	25.72727272727272662678
Spring	BATCHADM	20	227	430	2244	306	9.88546255506607884911	0.00440528634361233521	666	33.29999999999999715783
Spring	DATAGRAPH	60	312	605	6284	467	20.14102564102564230097	0.00320512820512820502	1587	26.44999999999999928946
Spring	DATAREDIS	49	339	793	5664	639	16.70796460176991260482	0.00294985250737463123	1821	37.16326530612244738450
Spring	SOCIALFB	15	188	363	3299	266	17.54787234042553123459	0.00531914893617021264	588	39.20000000000000284217
Spring	SOCIAL	15	153	302	2162	229	14.13071895424836554866	0.00653594771241830085	438	29.19999999999999928946
