Paper Feature Name		NReport	RatioEnum	RatioSTrace	RatioCode	RepNDistTk						RepAvgTk	RepAvgLocalTk	RepAvgCE	RepAvgDistTk		
Group	Project	Number of bugs	ratio of reports with enumeration	ratio of reports with stack traces	ratio of reports with source code regions	# of distinct tokens of all bug reports [over all bug reports]	sum of # of tokens	sum of # of local tokens	sum of # of code entities (in full description)	sum of # of distinct tokens	sum of # of distinct code entities (in full description)	avg. # of tokens	avg. # of local tokens	avg. # of code entities (in full description)	avg. # of distinct tokens	avg. # of distinct code entities (in full description)	
Apache	CAMEL	1468	0.020436	0.120572	0.288828	9512	147482	5981	15807	59050	15240	100.464578	10.767711	4	40.224796	10.381471	
Apache	HBASE	840	0.041667	0.158333	0.205952	7376	104527	4669	8416	35717	8076	124.436905	10.019048	5	42.520238	9.614286	
Apache	HIVE	1247	0.044106	0.146752	0.271852	8946	170405	5459	12363	51286	12083	136.651965	9.914194	4	41.127506	9.689655	
Commons	CODEC	42	0.023810	0.047619	0.309524	845	2901	595	250	1536	217	69.071429	5.952381	14	36.571429	5.166667	
Commons	COLLECTIONS	94	0.085106	0.021277	0.531915	964	6358	542	631	3001	543	67.638298	6.712766	5	31.925532	5.776596	
Commons	COMPRESS	113	0.026549	0.132743	0.327434	1780	11379	1064	1168	5393	1102	100.699115	10.336283	9	47.725664	9.752212	
Commons	CONFIGURATION	133	0.060150	0.090226	0.511278	1552	11187	879	1344	5257	1264	84.112782	10.105263	6	39.526316	9.503759	
Commons	CRYPTO	8	0.000000	0.000000	0.125000	110	180	98	23	123	19	22.500000	2.875000	12	15.375000	2.375000	
Commons	CSV	14	0.071429	0.071429	0.142857	225	466	165	63	325	53	33.285714	4.500000	11	23.214286	3.785714	
Commons	IO	91	0.032967	0.043956	0.384615	1343	6418	828	700	3297	634	70.527473	7.692308	9	36.230769	6.967033	
Commons	LANG	217	0.023041	0.069124	0.377880	2630	14935	1762	1661	7533	1462	68.824885	7.654378	8	34.714286	6.737327	
Commons	MATH	245	0.036735	0.028571	0.404082	2559	15519	1530	1530	8491	1368	63.342857	6.244898	6	34.657143	5.583673	
Commons	WEAVER	2	0.000000	0.000000	0.000000	39	54	35	2	43	2	27.000000	1.000000	17	21.500000	1.000000	
JBoss	ENTESB	47	0.085106	0.106383	0.063830	793	4474	512	277	1659	273	95.191489	5.893617	10	35.297872	5.808511	
JBoss	JBMETA	26	0.000000	0.115385	0.115385	512	3172	377	244	829	228	122.000000	9.384615	14	31.884615	8.769231	
Wildfly	ELY	25	0.000000	0.000000	0.040000	362	1045	269	107	619	98	41.800000	4.280000	10	24.760000	3.920000	
Wildfly	SWARM	58	0.017241	0.120690	0.172414	1108	7001	686	651	2633	621	120.706897	11.224138	11	45.396552	10.706897	
Wildfly	WFARQ	1	0.000000	0.000000	1.000000	48	132	48	5	48	4	132.000000	5.000000	48	48.000000	4.000000	
Wildfly	WFCORE	361	0.038781	0.083102	0.149584	3574	51128	2010	3939	17230	3848	141.628809	10.911357	5	47.728532	10.659280	
Wildfly	WFLY	984	0.037602	0.157520	0.188008	9015	218616	5358	16473	53618	16177	222.170732	16.740854	5	54.489837	16.440041	
Wildfly	WFMP	3	0.000000	0.000000	0.333333	203	730	174	37	239	36	243.333333	12.333333	58	79.666667	12.000000	
Spring	AMQP	108	0.027778	0.166667	0.222222	1508	12550	852	1465	4376	1405	116.203704	13.564815	7	40.518519	13.009259	
Spring	ANDROID	11	0.000000	0.181818	0.181818	235	503	194	54	300	50	45.727273	4.909091	17	27.272727	4.545455	
Spring	BATCH	432	0.016204	0.053241	0.261574	3152	29310	1707	3331	14389	3044	67.847222	7.710648	3	33.307870	7.046296	
Spring	BATCHADM	20	0.000000	0.100000	0.100000	446	1346	345	165	658	156	67.300000	8.250000	17	32.900000	7.800000	
Spring	DATACMNS	158	0.018987	0.177215	0.322785	2234	16689	1321	2098	7136	2018	105.626582	13.278481	8	45.164557	12.772152	
Spring	DATAGRAPH	60	0.000000	0.033333	0.266667	658	2679	419	256	1582	242	44.650000	4.266667	6	26.366667	4.033333	
Spring	DATAJPA	147	0.006803	0.163265	0.517007	2249	18740	1355	2185	7582	2120	127.482993	14.863946	9	51.578231	14.421769	
Spring	DATAMONGO	271	0.022140	0.180812	0.487085	2919	39910	1718	3651	12158	3536	147.269373	13.472325	6	44.863469	13.047970	
Spring	DATAREDIS	49	0.081633	0.163265	0.428571	904	3876	607	533	1856	498	79.102041	10.877551	12	37.877551	10.163265	
Spring	DATAREST	132	0.015152	0.106061	0.340909	1838	15769	1021	1697	6423	1651	119.462121	12.856061	7	48.659091	12.507576	
Spring	LDAP	53	0.056604	0.113208	0.433962	1171	4886	751	637	2615	596	92.188679	12.018868	14	49.339623	11.245283	
Spring	MOBILE	11	0.000000	0.000000	0.090909	173	361	129	40	242	35	32.818182	3.636364	11	22.000000	3.181818	
Spring	ROO	720	0.034722	0.088889	0.234722	5728	91933	3503	7766	31976	7526	127.684722	10.786111	4	44.411111	10.452778	
Spring	SEC	542	0.025830	0.090406	0.396679	4838	51965	2738	6333	24302	5961	95.876384	11.684502	5	44.837638	10.998155	
Spring	SECOAUTH	101	0.049505	0.029703	0.217822	1343	7384	796	570	3782	537	73.108911	5.643564	7	37.445545	5.316832	
Spring	SGF	107	0.018692	0.177570	0.336449	1468	13739	851	1393	5004	1322	128.401869	13.018692	7	46.766355	12.355140	
Spring	SHDP	45	0.000000	0.111111	0.133333	672	2039	455	194	1236	182	45.311111	4.311111	10	27.466667	4.044444	
Spring	SHL	11	0.000000	0.000000	0.090909	205	432	162	13	278	13	39.272727	1.181818	14	25.272727	1.181818	
Spring	SOCIAL	15	0.000000	0.066667	0.466667	314	707	247	119	417	109	47.133333	7.933333	16	27.800000	7.266667	
Spring	SOCIALFB	15	0.066667	0.200000	0.466667	388	1218	279	145	589	133	81.200000	9.666667	18	39.266667	8.866667	
