Paper Feature Name		NReport	RatioEnum	RatioSTrace	RatioCode	RepNDistTk						RepAvgTk	RepAvgLocalTk	RepAvgCE	RepAvgDistTk		
Group	Project	Number of bugs	ratio of reports with enumeration	ratio of reports with stack traces	ratio of reports with source code regions	# of distinct tokens of all bug reports [over all bug reports]	sum of # of tokens	sum of # of local tokens	sum of # of code entities (in full description)	sum of # of distinct tokens	sum of # of distinct code entities (in full description)	avg. # of tokens	avg. # of local tokens	avg. # of code entities (in full description)	avg. # of distinct tokens	avg. # of distinct code entities (in full description)	
Apache	CAMEL	1468	0.020436	0.120572	0.288828	7046	167954	4209	15807	59404	15240	114.410082	10.767711	2	40.465940	10.381471	
Apache	HBASE	840	0.041667	0.158333	0.205952	6258	119816	3870	8416	36762	8076	142.638095	10.019048	4	43.764286	9.614286	
Apache	HIVE	1247	0.044106	0.146752	0.271852	7645	192870	4540	12363	52523	12083	154.667201	9.914194	3	42.119487	9.689655	
Commons	CODEC	42	0.023810	0.047619	0.309524	880	3223	625	250	1629	217	76.738095	5.952381	14	38.785714	5.166667	
Commons	COLLECTIONS	94	0.085106	0.021277	0.531915	866	7036	468	631	2985	543	74.851064	6.712766	4	31.755319	5.776596	
Commons	COMPRESS	113	0.026549	0.132743	0.327434	1638	12902	952	1168	5504	1102	114.176991	10.336283	8	48.707965	9.752212	
Commons	CONFIGURATION	133	0.060150	0.090226	0.511278	1327	12955	715	1344	5205	1264	97.406015	10.105263	5	39.135338	9.503759	
Commons	CRYPTO	8	0.000000	0.000000	0.125000	109	203	92	23	128	19	25.375000	2.875000	11	16.000000	2.375000	
Commons	CSV	14	0.071429	0.071429	0.142857	215	525	154	63	333	53	37.500000	4.500000	11	23.785714	3.785714	
Commons	IO	91	0.032967	0.043956	0.384615	1218	7391	710	700	3356	634	81.219780	7.692308	7	36.879121	6.967033	
Commons	LANG	217	0.023041	0.069124	0.377880	2389	17206	1555	1661	7691	1462	79.290323	7.654378	7	35.442396	6.737327	
Commons	MATH	245	0.036735	0.028571	0.404082	2311	17436	1300	1530	8786	1368	71.167347	6.244898	5	35.861224	5.583673	
Commons	WEAVER	2	0.000000	0.000000	0.000000	40	55	36	2	44	2	27.500000	1.000000	18	22.000000	1.000000	
JBoss	ENTESB	47	0.085106	0.106383	0.063830	755	4758	458	277	1672	273	101.234043	5.893617	9	35.574468	5.808511	
JBoss	JBMETA	26	0.000000	0.115385	0.115385	494	3643	352	244	843	228	140.115385	9.384615	13	32.423077	8.769231	
Wildfly	ELY	25	0.000000	0.000000	0.040000	360	1160	254	107	647	98	46.400000	4.280000	10	25.880000	3.920000	
Wildfly	SWARM	58	0.017241	0.120690	0.172414	1059	7735	611	651	2696	621	133.362069	11.224138	10	46.482759	10.706897	
Wildfly	WFARQ	1	0.000000	0.000000	1.000000	49	138	49	5	49	4	138.000000	5.000000	49	49.000000	4.000000	
Wildfly	WFCORE	361	0.038781	0.083102	0.149584	3122	56300	1621	3939	17661	3848	155.955679	10.911357	4	48.922438	10.659280	
Wildfly	WFLY	984	0.037602	0.157520	0.188008	7215	257039	4019	16473	54941	16177	261.218496	16.740854	4	55.834350	16.440041	
Wildfly	WFMP	3	0.000000	0.000000	0.333333	206	786	177	37	242	36	262.000000	12.333333	59	80.666667	12.000000	
Spring	AMQP	108	0.027778	0.166667	0.222222	1290	14588	646	1465	4476	1405	135.074074	13.564815	5	41.444444	13.009259	
Spring	ANDROID	11	0.000000	0.181818	0.181818	231	568	185	54	310	50	51.636364	4.909091	16	28.181818	4.545455	
Spring	BATCH	432	0.016204	0.053241	0.261574	2637	33679	1299	3331	14782	3044	77.960648	7.710648	3	34.217593	7.046296	
Spring	BATCHADM	20	0.000000	0.100000	0.100000	432	1562	320	165	670	156	78.100000	8.250000	16	33.500000	7.800000	
Spring	DATACMNS	158	0.018987	0.177215	0.322785	1868	19196	1008	2098	7217	2018	121.493671	13.278481	6	45.677215	12.772152	
Spring	DATAGRAPH	60	0.000000	0.033333	0.266667	606	2939	367	256	1590	242	48.983333	4.266667	6	26.500000	4.033333	
Spring	DATAJPA	147	0.006803	0.163265	0.517007	1923	21443	1073	2185	7721	2120	145.870748	14.863946	7	52.523810	14.421769	
Spring	DATAMONGO	271	0.022140	0.180812	0.487085	2356	47114	1258	3651	12475	3536	173.852399	13.472325	4	46.033210	13.047970	
Spring	DATAREDIS	49	0.081633	0.163265	0.428571	812	4475	508	533	1873	498	91.326531	10.877551	10	38.224490	10.163265	
Spring	DATAREST	132	0.015152	0.106061	0.340909	1606	18049	824	1697	6584	1651	136.734848	12.856061	6	49.878788	12.507576	
Spring	LDAP	53	0.056604	0.113208	0.433962	1044	5677	603	637	2659	596	107.113208	12.018868	11	50.169811	11.245283	
Spring	MOBILE	11	0.000000	0.000000	0.090909	180	398	132	40	260	35	36.181818	3.636364	12	23.636364	3.181818	
Spring	ROO	720	0.034722	0.088889	0.234722	4636	103370	2630	7766	32399	7526	143.569444	10.786111	3	44.998611	10.452778	
Spring	SEC	542	0.025830	0.090406	0.396679	3941	59982	2078	6333	24902	5961	110.667897	11.684502	3	45.944649	10.998155	
Spring	SECOAUTH	101	0.049505	0.029703	0.217822	1263	8182	706	570	3889	537	81.009901	5.643564	6	38.504950	5.316832	
Spring	SGF	107	0.018692	0.177570	0.336449	1284	15543	671	1393	5122	1322	145.261682	13.018692	6	47.869159	12.355140	
Spring	SHDP	45	0.000000	0.111111	0.133333	632	2279	395	194	1276	182	50.644444	4.311111	8	28.355556	4.044444	
Spring	SHL	11	0.000000	0.000000	0.090909	210	448	167	13	283	13	40.727273	1.181818	15	25.727273	1.181818	
Spring	SOCIAL	15	0.000000	0.066667	0.466667	305	862	227	119	441	109	57.466667	7.933333	15	29.400000	7.266667	
Spring	SOCIALFB	15	0.066667	0.200000	0.466667	380	1428	260	145	624	133	95.200000	9.666667	17	41.600000	8.866667	
Spring	SOCIALLI	4	0.000000	0.000000	0.000000	53	98	43	8	67	6	24.500000	2.000000	10	16.750000	1.500000	
Spring	SOCIALTW	8	0.000000	0.000000	0.125000	228	742	173	53	319	52	92.750000	6.625000	21	39.875000	6.500000	
Spring	SPR	132	0.015152	0.143939	0.446970	1937	19932	1012	1734	6892	1646	151.000000	13.136364	7	52.212121	12.469697	
Spring	SWF	134	0.014925	0.089552	0.291045	1539	13520	821	1379	5640	1318	100.895522	10.291045	6	42.089552	9.835821	
Spring	SWS	174	0.051724	0.155172	0.442529	2229	27857	1226	2708	9308	2599	160.097701	15.563218	7	53.494253	14.936782	
