Papaer Feature Name		NSrc	SrcNDistTk	SrcAvgNTk	SrcAvgDistTk			InvNSrc	AvgLOC	AvgCC		SrcNumCmt		SrcRatioCmt	SrcRatioDict	
Group	Project	Number of source files	# of distinct tokens (SU)  [distinct tokens over all versions]	avg. # of tokens in source code files	avg. # of distinct tokens in source code files	avg. # of local tokens in source code files	# of distinct tokens/# of source code files  [# of files is avg. of versions' SU]	inverse # of source files	avg. LOC	avg. cyclomatic complexity	# of methods	# of methods with comments	# of methods in dictionary	ratio of methods with comments	ration of methods with name tokens in English Dictionary (after tokenization)	
Apache	CAMEL	8908.316667	84915	246.161841	101.118202	2.778275	101.118202	0.000144	94.870333	1.147667	6.431486	0.687113	4.396655	0.064398	0.749058	
Apache	HBASE	1835.114286	67960	924.740278	181.396514	11.793226	181.396514	0.000692	369.536571	1.562571	24.475382	6.830632	9.090037	0.273977	0.643936	
Apache	HIVE	2776.714286	86029	620.314617	143.927422	9.105242	143.927422	0.000474	264.843810	1.759048	16.665330	2.848914	6.611543	0.178959	0.582755	
Commons	CODEC	71.222222	9344	650.007399	202.739786	61.470776	202.739786	0.019154	257.892222	1.474444	10.316737	5.155980	6.984174	0.563349	0.713968	
Commons	COLLECTIONS	415.500000	6969	507.929536	139.164150	6.452539	139.164150	0.004536	236.162500	1.141250	13.804337	6.111599	8.979851	0.475207	0.724840	
Commons	COMPRESS	187.066667	8976	473.254875	149.682671	22.395411	149.682671	0.005931	224.807333	1.570000	9.817576	5.006689	5.922614	0.398980	0.601120	
Commons	CONFIGURATION	222.583333	10208	670.784723	166.346323	13.831768	166.346323	0.005791	313.637500	1.293333	15.726909	10.685959	11.303039	0.624214	0.716680	
Commons	CRYPTO	82.000000	1515	326.536585	114.878049	8.524390	114.878049	0.012195	124.260000	1.090000	5.963415	3.926829	3.487805	0.419345	0.549737	
Commons	CSV	25.666667	1459	672.789630	161.822222	34.406420	161.822222	0.039012	279.946667	1.456667	15.362469	4.077037	11.726914	0.212561	0.663160	
Commons	IO	141.153846	5136	546.679205	127.929912	12.336027	127.929912	0.008560	227.580769	1.293846	11.334673	5.918800	7.682067	0.585115	0.688744	
