Papaer Feature Name		NSrc	SrcNDistTk	SrcAvgNTk	SrcAvgDistTk			InvNSrc	AvgLOC	AvgCC		SrcNumCmt		SrcRatioCmt	SrcRatioDict	
Group	Project	Number of source files	# of distinct tokens (SU)  [distinct tokens over all versions]	avg. # of tokens in source code files	avg. # of distinct tokens in source code files	avg. # of local tokens in source code files	# of distinct tokens/# of source code files  [# of files is avg. of versions' SU]	inverse # of source files	avg. LOC	avg. cyclomatic complexity	# of methods	# of methods with comments	# of methods in dictionary	ratio of methods with comments	ration of methods with name tokens in English Dictionary (after tokenization)	
Apache	CAMEL	8908.316667	53068	290.937411	98.696198	1.801054	98.696198	0.000144	94.870333	1.147667	6.431486	0.687113	4.396655	0.064398	0.749058	
Apache	HBASE	1835.114286	43853	1155.400601	167.162008	7.514052	167.162008	0.000692	369.536571	1.562571	24.475382	6.830632	9.090037	0.273977	0.643936	
Apache	HIVE	2776.714286	54496	784.890299	132.659898	5.585272	132.659898	0.000474	264.843810	1.759048	16.665330	2.848914	6.611543	0.178959	0.582755	
Commons	CODEC	71.222222	9267	745.461154	203.481485	62.130667	203.481485	0.019154	257.892222	1.474444	10.316737	5.155980	6.984174	0.563349	0.713968	
Commons	COLLECTIONS	415.500000	5139	574.878733	131.624441	4.830182	131.624441	0.004536	236.162500	1.141250	13.804337	6.111599	8.979851	0.475207	0.724840	
Commons	COMPRESS	187.066667	8222	573.994395	145.694009	19.737849	145.694009	0.005931	224.807333	1.570000	9.817576	5.006689	5.922614	0.398980	0.601120	
Commons	CONFIGURATION	222.583333	7447	783.231213	150.892695	10.222632	150.892695	0.005791	313.637500	1.293333	15.726909	10.685959	11.303039	0.624214	0.716680	
Commons	CRYPTO	82.000000	1294	377.390244	112.280488	6.902439	112.280488	0.012195	124.260000	1.090000	5.963415	3.926829	3.487805	0.419345	0.549737	
Commons	CSV	25.666667	1229	780.031605	151.011358	28.266667	151.011358	0.039012	279.946667	1.456667	15.362469	4.077037	11.726914	0.212561	0.663160	
Commons	IO	141.153846	4105	643.744797	121.176364	9.889982	121.176364	0.008560	227.580769	1.293846	11.334673	5.918800	7.682067	0.585115	0.688744	
Commons	LANG	235.125000	8746	1215.716592	158.749952	16.943394	158.749952	0.004380	434.875000	1.366250	20.532999	10.886296	12.740306	0.467047	0.608798	
Commons	MATH	1010.133333	27516	593.955093	137.391020	10.333609	137.391020	0.001517	222.560000	1.394000	10.382733	6.245723	6.487211	0.605612	0.631174	
Commons	WEAVER	112.000000	1105	265.026786	88.366071	4.205357	88.366071	0.008929	93.510000	1.180000	4.633929	1.687500	2.732143	0.372193	0.513876	
JBoss	ENTESB	99.333333	3485	453.488498	104.456752	8.113412	104.456752	0.030308	130.310000	1.413333	6.173913	3.191224	3.431044	0.193784	0.527175	
JBoss	JBMETA	818.000000	4536	338.594371	108.854392	1.877089	108.854392	0.001224	113.052000	3.026000	5.711733	1.889019	3.210082	0.259522	0.630586	
Wildfly	ELY	58.000000	1222	406.403767	105.764448	8.092621	105.764448	0.018576	141.586667	1.243333	11.070691	3.233488	4.427245	0.359289	0.645128	
Wildfly	SWARM	605.500000	4398	232.407398	83.393439	2.732180	83.393439	0.001723	73.321667	1.245000	4.356244	0.362995	2.938128	0.042298	0.684879	
Wildfly	WFARQ	126.000000	1353	262.365079	92.150794	4.198413	92.150794	0.007937	81.620000	1.370000	5.063492	0.436508	2.825397	0.097020	0.615146	
Wildfly	WFCORE	3356.312500	25271	613.790662	143.054249	3.131529	143.054249	0.000298	167.429375	1.467500	10.090197	1.679774	6.049548	0.152403	0.634005	
Wildfly	WFLY	7233.333333	53868	403.118222	122.257105	1.921615	122.257105	0.000151	115.037500	1.404167	6.092964	1.036480	3.764394	0.137241	0.645572	
