Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk	NLocalTk		NDiskTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of local tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	8193	0	1	0	1	478	11	61	108	61	0.011354	0.006413	
Apache	CAMEL	8194	0	1	1	1	228	9	20	68	19	0.007149	0.001997	
Apache	CAMEL	1366	0	0	1	1	137	6	14	73	13	0.007675	0.001367	
Apache	CAMEL	8200	1	0	1	1	207	9	27	99	26	0.010408	0.002733	
Apache	CAMEL	8201	0	0	0	1	51	7	6	41	5	0.004310	0.000526	
Apache	CAMEL	8213	0	0	1	1	42	5	8	28	7	0.002944	0.000736	
Apache	CAMEL	8214	0	0	0	1	22	1	1	14	1	0.001472	0.000105	
Apache	CAMEL	8217	0	0	0	1	25	3	2	18	1	0.001892	0.000105	
Apache	CAMEL	8218	0	0	0	1	23	1	1	17	1	0.001787	0.000105	
Apache	CAMEL	8222	0	0	1	1	42	0	6	27	5	0.002839	0.000526	
Apache	CAMEL	8226	0	0	0	1	21	0	3	19	2	0.001997	0.000210	
Apache	CAMEL	8231	0	0	0	1	40	2	3	25	3	0.002628	0.000315	
Apache	CAMEL	8233	0	0	0	1	24	0	2	19	1	0.001997	0.000105	
Apache	CAMEL	8236	0	0	0	1	47	1	8	36	7	0.003785	0.000736	
Apache	CAMEL	8241	0	0	0	1	71	2	2	48	2	0.005046	0.000210	
Apache	CAMEL	8253	0	1	0	1	931	23	99	143	98	0.015034	0.010303	
Apache	CAMEL	72	0	0	0	1	24	1	2	16	2	0.001682	0.000210	
Apache	CAMEL	8268	0	0	0	1	31	1	1	20	1	0.002103	0.000105	
Apache	CAMEL	8270	0	1	0	1	594	13	81	145	80	0.015244	0.008410	
Apache	CAMEL	8272	0	0	0	1	52	5	7	35	7	0.003680	0.000736	
Apache	CAMEL	81	0	0	0	1	11	0	1	8	1	0.000841	0.000105	
Apache	CAMEL	85	0	0	0	0	15	0	0	10	0	0.001051	0.000000	
Apache	CAMEL	8289	0	0	0	0	24	0	0	14	0	0.001472	0.000000	
Apache	CAMEL	103	0	1	0	1	73	6	19	32	19	0.003364	0.001997	
Apache	CAMEL	105	0	0	0	1	25	2	4	22	3	0.002313	0.000315	
Apache	CAMEL	8302	0	0	0	1	35	1	1	28	1	0.002944	0.000105	
Apache	CAMEL	112	0	0	0	1	18	3	6	18	6	0.001892	0.000631	
Apache	CAMEL	1384	0	0	1	1	63	1	10	37	9	0.003890	0.000946	
Apache	CAMEL	8313	0	0	1	1	203	7	8	63	8	0.006623	0.000841	
Apache	CAMEL	122	0	0	0	0	13	1	0	13	0	0.001367	0.000000	
Apache	CAMEL	123	0	0	0	0	23	0	0	18	0	0.001892	0.000000	
Apache	CAMEL	8327	0	0	1	1	78	6	17	54	16	0.005677	0.001682	
Apache	CAMEL	8329	0	0	0	1	22	2	3	17	3	0.001787	0.000315	
Apache	CAMEL	140	0	0	0	1	25	1	3	18	2	0.001892	0.000210	
Apache	CAMEL	8336	0	0	0	1	25	4	5	15	3	0.001577	0.000315	
Apache	CAMEL	8338	0	0	1	1	25	2	8	18	7	0.001892	0.000736	
Apache	CAMEL	8339	0	0	0	1	63	6	13	40	13	0.004205	0.001367	
Apache	CAMEL	8341	0	1	1	1	323	16	54	87	54	0.009146	0.005677	
Apache	CAMEL	154	1	0	1	1	167	9	15	96	15	0.010093	0.001577	
Apache	CAMEL	158	0	0	0	0	8	0	0	8	0	0.000841	0.000000	
Apache	CAMEL	8352	0	0	0	1	40	1	2	28	2	0.002944	0.000210	
Apache	CAMEL	8353	0	0	0	1	39	1	4	26	3	0.002733	0.000315	
Apache	CAMEL	8355	0	0	0	1	23	2	4	15	3	0.001577	0.000315	
Apache	CAMEL	8356	0	0	0	1	38	0	5	25	4	0.002628	0.000421	
Apache	CAMEL	166	0	0	0	1	31	1	2	20	1	0.002103	0.000105	
