Paper Feature Name			hasEnum	hasSTrace	hasCR	hasCE	NTk	NLocalTk		NDiskTk	NDistCE	RatioDistTk	RatioDistCE	
Group	Project	BugID	enumeration (Boolean)	stack traces (Boolean)	source code regions (Boolean)	code entity (Boolean)	# of tokens	# of local tokens	# of code entities (in full description)	# of distinct tokens	# of distinct code entities (in full description)	# of distinct tokens / RU	# of distinct code entities / RU	
Apache	CAMEL	8193	0	1	0	1	535	9	61	113	61	0.016037	0.008657	
Apache	CAMEL	8194	0	1	1	1	250	6	20	71	19	0.010077	0.002697	
Apache	CAMEL	1366	0	0	1	1	151	4	14	70	13	0.009935	0.001845	
Apache	CAMEL	8200	1	0	1	1	241	4	27	92	26	0.013057	0.003690	
Apache	CAMEL	8201	0	0	0	1	54	6	6	42	5	0.005961	0.000710	
Apache	CAMEL	8213	0	0	1	1	50	3	8	26	7	0.003690	0.000993	
Apache	CAMEL	8214	0	0	0	1	22	1	1	15	1	0.002129	0.000142	
Apache	CAMEL	8217	0	0	0	1	28	3	2	20	1	0.002838	0.000142	
Apache	CAMEL	8218	0	0	0	1	24	1	1	17	1	0.002413	0.000142	
Apache	CAMEL	8222	0	0	1	1	56	0	6	28	5	0.003974	0.000710	
Apache	CAMEL	8226	0	0	0	1	25	0	3	20	2	0.002838	0.000284	
Apache	CAMEL	8231	0	0	0	1	43	2	3	27	3	0.003832	0.000426	
Apache	CAMEL	8233	0	0	0	1	26	0	2	18	1	0.002555	0.000142	
Apache	CAMEL	8236	0	0	0	1	51	1	8	35	7	0.004967	0.000993	
Apache	CAMEL	8241	0	0	0	1	71	1	2	48	2	0.006812	0.000284	
Apache	CAMEL	8253	0	1	0	1	1074	19	99	133	98	0.018876	0.013909	
Apache	CAMEL	72	0	0	0	1	25	1	2	16	2	0.002271	0.000284	
Apache	CAMEL	8268	0	0	0	1	32	0	1	19	1	0.002697	0.000142	
Apache	CAMEL	8270	0	1	0	1	711	9	81	133	80	0.018876	0.011354	
Apache	CAMEL	8272	0	0	0	1	57	2	7	36	7	0.005109	0.000993	
Apache	CAMEL	81	0	0	0	1	12	0	1	8	1	0.001135	0.000142	
Apache	CAMEL	85	0	0	0	0	15	0	0	10	0	0.001419	0.000000	
Apache	CAMEL	8289	0	0	0	0	24	0	0	14	0	0.001987	0.000000	
Apache	CAMEL	103	0	1	0	1	86	2	19	32	19	0.004542	0.002697	
Apache	CAMEL	105	0	0	0	1	29	3	4	23	3	0.003264	0.000426	
Apache	CAMEL	8302	0	0	0	1	36	1	1	29	1	0.004116	0.000142	
Apache	CAMEL	112	0	0	0	1	23	2	6	23	6	0.003264	0.000852	
Apache	CAMEL	1384	0	0	1	1	69	1	10	34	9	0.004825	0.001277	
Apache	CAMEL	8313	0	0	1	1	219	7	8	64	8	0.009083	0.001135	
Apache	CAMEL	122	0	0	0	0	14	1	0	14	0	0.001987	0.000000	
Apache	CAMEL	123	0	0	0	0	23	0	0	18	0	0.002555	0.000000	
Apache	CAMEL	8327	0	0	1	1	93	5	17	58	16	0.008232	0.002271	
Apache	CAMEL	8329	0	0	0	1	23	2	3	17	3	0.002413	0.000426	
Apache	CAMEL	140	0	0	0	1	28	0	3	19	2	0.002697	0.000284	
Apache	CAMEL	8336	0	0	0	1	30	4	5	18	3	0.002555	0.000426	
Apache	CAMEL	8338	0	0	1	1	33	2	8	19	7	0.002697	0.000993	
Apache	CAMEL	8339	0	0	0	1	77	1	13	43	13	0.006103	0.001845	
Apache	CAMEL	8341	0	1	1	1	387	14	54	91	54	0.012915	0.007664	
Apache	CAMEL	154	1	0	1	1	183	7	15	92	15	0.013057	0.002129	
Apache	CAMEL	158	0	0	0	0	8	0	0	8	0	0.001135	0.000000	
Apache	CAMEL	8352	0	0	0	1	42	1	2	29	2	0.004116	0.000284	
Apache	CAMEL	8353	0	0	0	1	41	1	4	27	3	0.003832	0.000426	
Apache	CAMEL	8355	0	0	0	1	27	1	4	19	3	0.002697	0.000426	
Apache	CAMEL	8356	0	0	0	1	44	0	5	27	4	0.003832	0.000568	
Apache	CAMEL	166	0	0	0	1	33	1	2	21	1	0.002980	0.000142	
Apache	CAMEL	8359	0	0	0	1	44	2	4	24	3	0.003406	0.000426	
Apache	CAMEL	171	0	1	1	1	181	3	21	53	20	0.007522	0.002838	
Apache	CAMEL	173	0	1	0	1	573	16	75	138	75	0.019586	0.010644	
Apache	CAMEL	8369	0	0	0	1	38	0	3	28	2	0.003974	0.000284	
Apache	CAMEL	189	0	0	1	1	22	0	6	16	4	0.002271	0.000568	
Apache	CAMEL	8382	0	0	1	1	81	1	9	37	8	0.005251	0.001135	
Apache	CAMEL	191	0	0	0	1	26	1	3	20	3	0.002838	0.000426	
Apache	CAMEL	194	0	0	0	1	26	0	2	16	2	0.002271	0.000284	
Apache	CAMEL	197	1	0	0	1	57	1	1	32	1	0.004542	0.000142	
Apache	CAMEL	8393	0	0	1	1	237	5	37	85	37	0.012064	0.005251	
Apache	CAMEL	203	0	0	0	1	56	1	5	39	4	0.005535	0.000568	
Apache	CAMEL	8401	0	0	0	1	34	2	3	22	2	0.003122	0.000284	
Apache	CAMEL	210	0	0	0	0	17	0	0	11	0	0.001561	0.000000	
Apache	CAMEL	211	0	0	0	1	13	0	2	10	1	0.001419	0.000142	
Apache	CAMEL	9593	0	0	0	1	19	1	2	13	2	0.001845	0.000284	
Apache	CAMEL	8409	0	0	0	1	113	5	4	64	4	0.009083	0.000568	
Apache	CAMEL	8411	0	0	0	1	36	1	3	24	3	0.003406	0.000426	
Apache	CAMEL	224	0	0	0	1	26	1	1	20	1	0.002838	0.000142	
Apache	CAMEL	8417	0	0	1	1	52	4	6	31	6	0.004400	0.000852	
Apache	CAMEL	9282	0	0	0	1	405	8	44	98	43	0.013909	0.006103	
Apache	CAMEL	232	0	0	0	0	3	0	0	3	0	0.000426	0.000000	
Apache	CAMEL	8425	0	0	0	1	39	0	3	27	2	0.003832	0.000284	
Apache	CAMEL	8426	0	0	0	1	40	0	2	28	2	0.003974	0.000284	
Apache	CAMEL	8430	0	0	0	1	18	2	3	12	2	0.001703	0.000284	
Apache	CAMEL	8431	0	0	1	1	97	4	17	45	16	0.006387	0.002271	
Apache	CAMEL	8432	0	0	0	1	51	1	1	42	1	0.005961	0.000142	
Apache	CAMEL	8434	0	0	0	0	15	0	0	8	0	0.001135	0.000000	
Apache	CAMEL	8436	0	0	0	1	42	1	4	36	4	0.005109	0.000568	
Apache	CAMEL	8437	0	0	1	1	159	1	9	40	9	0.005677	0.001277	
Apache	CAMEL	247	1	0	1	1	57	1	8	26	8	0.003690	0.001135	
Apache	CAMEL	257	0	1	0	1	1608	7	38	79	37	0.011212	0.005251	
Apache	CAMEL	261	1	0	1	1	80	4	9	46	9	0.006529	0.001277	
Apache	CAMEL	8455	0	0	0	1	43	4	5	31	4	0.004400	0.000568	
Apache	CAMEL	8456	0	0	0	1	59	0	4	35	4	0.004967	0.000568	
Apache	CAMEL	8457	0	0	0	1	31	2	7	20	7	0.002838	0.000993	
Apache	CAMEL	8461	0	0	1	1	109	0	5	49	5	0.006954	0.000710	
Apache	CAMEL	8462	0	0	0	1	29	1	6	20	5	0.002838	0.000710	
Apache	CAMEL	271	0	0	1	1	94	6	12	62	11	0.008799	0.001561	
Apache	CAMEL	8464	0	0	0	1	61	0	4	37	4	0.005251	0.000568	
Apache	CAMEL	8469	0	0	1	1	135	11	12	68	12	0.009651	0.001703	
Apache	CAMEL	8476	0	0	0	1	84	2	6	53	5	0.007522	0.000710	
Apache	CAMEL	8479	0	0	0	1	5	1	1	5	1	0.000710	0.000142	
Apache	CAMEL	8484	0	0	0	1	21	1	2	18	2	0.002555	0.000284	
Apache	CAMEL	9606	1	0	1	1	284	15	28	132	28	0.018734	0.003974	
Apache	CAMEL	297	0	0	1	1	27	1	5	17	5	0.002413	0.000710	
Apache	CAMEL	8492	0	1	1	1	72	3	8	39	7	0.005535	0.000993	
Apache	CAMEL	304	0	0	0	1	17	2	2	14	2	0.001987	0.000284	
Apache	CAMEL	9608	0	1	0	1	928	23	69	147	69	0.020863	0.009793	
Apache	CAMEL	8498	0	0	0	1	44	0	6	29	4	0.004116	0.000568	
Apache	CAMEL	307	0	0	0	1	21	1	2	17	2	0.002413	0.000284	
