Group	Project	BugID	# of project distinct tokens	# of distinct tokens	# of distinct code entities	Enumeration(Bool)	StackTrace(Bool)	CodeRegions(Bool)	CodeEntity(Bool)	DistinctTokens/ProjectTokens	DistinctCodeEntities/ProjectTokens	CodeRelevancy (Product)	CodeRelevancy (Min)	CodeRelevancy (Max)	CodeRelevancy (Mean)	CodeRelevancy (FileCount))	CodeRelevancy (InverseFileCount)
Apache	HBASE	9076	6258	30	2	0	0	1	0	0.00479386385426653922	0.00031959092361776926	0.00000000000000000000	0.00036845983787767134	0.02222222222222222307	0.00511785242398362338	2714	0.00036845983787767134
Apache	HBASE	3920	6258	19	2	0	0	1	0	0.00303611377436880780	0.00031959092361776926	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.02107659648745226211	2714	0.00036845983787767134
Apache	HBASE	1718	6258	24	1	0	0	1	0	0.00383509108341323086	0.00015979546180888463	0.00000000000000000000	0.00037133308577794280	0.33333333333333331483	0.02467005699285266043	2714	0.00036845983787767134
Apache	HBASE	14178	6258	102	55	0	0	1	0	0.01629913710450623179	0.00878875039948865538	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06745813537357790712	2714	0.00036845983787767134
Apache	HBASE	16076	6258	66	1	0	0	1	1	0.01054650047938638507	0.00015979546180888463	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.05297620569105752214	2714	0.00036845983787767134
Apache	HBASE	16074	6258	44	1	0	0	1	0	0.00703100031959092396	0.00015979546180888463	0.00000000000000000000	0.00037993920972644377	0.50000000000000000000	0.05343418103631866756	2714	0.00036845983787767134
Apache	HBASE	13737	6258	34	0	1	0	0	0	0.00543304570150207698	0.00000000000000000000	0.00000000000000000000	0.00066093853271645734	1.00000000000000000000	0.04035752584500126167	2469	0.00040502227622519240
Apache	HBASE	6529	6258	25	4	0	0	1	0	0.00399488654522211530	0.00063918184723553851	0.00000000000000000000	0.00037133308577794280	0.25000000000000000000	0.01779674634586382934	2712	0.00036873156342182890
Apache	HBASE	13734	6258	31	1	1	0	1	0	0.00495365931607542366	0.00015979546180888463	0.00000000000000000000	0.00037133308577794280	1.00000000000000000000	0.05778359361476206185	2714	0.00036845983787767134
Apache	HBASE	14079	6258	93	55	0	1	1	0	0.01486097794822627098	0.00878875039948865538	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06501676588619663411	2714	0.00036845983787767134
Apache	HBASE	13732	6258	87	26	0	1	1	0	0.01390220517737296262	0.00415468200703100060	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.05869207829376406338	2714	0.00036845983787767134
Apache	HBASE	13731	6258	26	5	0	0	1	0	0.00415468200703100060	0.00079897730904442317	0.00000000000000000000	0.00036845983787767134	0.50000000000000000000	0.04629058481204174902	2714	0.00036845983787767134
Apache	HBASE	14077	6258	15	0	0	0	0	0	0.00239693192713326961	0.00000000000000000000	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.02800008754084096912	2714	0.00036845983787767134
Apache	HBASE	14076	6258	20	3	0	0	1	0	0.00319590923617769267	0.00047938638542665386	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.01612701986940438467	2714	0.00036845983787767134
Apache	HBASE	14073	6258	11	1	0	0	1	0	0.00175775007989773099	0.00015979546180888463	0.00000000000000000000	0.00036873156342182890	1.00000000000000000000	0.12391804321309347892	2713	0.00036859565057132326
Apache	HBASE	5820	6258	23	0	0	0	0	0	0.00367529562160434642	0.00000000000000000000	0.00000000000000000000	0.00036873156342182890	0.33333333333333331483	0.03248480585753078104	2714	0.00036845983787767134
Apache	HBASE	14983	6258	14	0	0	0	0	0	0.00223713646532438474	0.00000000000000000000	0.00000000000000000000	0.00073475385745775160	0.25000000000000000000	0.02348113149330572844	2059	0.00048567265662943174
Apache	HBASE	1949	6258	48	3	0	0	1	0	0.00767018216682646171	0.00047938638542665386	0.00000000000000000000	0.00037355248412401944	0.20000000000000001110	0.01484186069460545834	2714	0.00036845983787767134
Apache	HBASE	15200	6258	38	1	0	0	1	0	0.00607222754873761560	0.00015979546180888463	0.00000000000000000000	0.00036900369003690036	0.50000000000000000000	0.03124358079857144505	2714	0.00036845983787767134
Apache	HBASE	1869	6258	64	32	0	1	1	1	0.01022690955576861620	0.00511345477788430810	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06231134561553356571	2714	0.00036845983787767134
Apache	HBASE	1525	6258	47	15	0	0	1	1	0.00751038670501757728	0.00239693192713326961	0.00000000000000000000	0.00036873156342182890	0.16666666666666665741	0.01381572735392695879	2714	0.00036845983787767134
Apache	HBASE	15465	6258	78	24	0	0	1	1	0.01246404602109300180	0.00383509108341323086	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.05585814209183421336	2714	0.00036845983787767134
Apache	HBASE	1946	6258	41	6	0	1	1	0	0.00655161393416426978	0.00095877277085330771	0.00000000000000000000	0.00036845983787767134	0.20000000000000001110	0.02658462932736303450	2714	0.00036845983787767134
Apache	HBASE	818	6258	66	29	1	0	1	0	0.01054650047938638507	0.00463406839245765392	0.00000000000000000000	0.00036845983787767134	0.20000000000000001110	0.02020927682868170483	2714	0.00036845983787767134
