Group	Project	BugID	# of project distinct tokens	# of distinct tokens	# of distinct code entities	Enumeration(Bool)	StackTrace(Bool)	CodeRegions(Bool)	CodeEntity(Bool)	DistinctTokens/ProjectTokens	DistinctCodeEntities/ProjectTokens	CodeRelevancy (Product)	CodeRelevancy (Min)	CodeRelevancy (Max)	CodeRelevancy (Mean)	CodeRelevancy (FileCount))	CodeRelevancy (InverseFileCount)
Apache	HBASE	9076	6112	30	2	0	0	1	0	0.00490837696335078531	0.00032722513089005238	0.00000000000000000000	0.00036845983787767134	0.02222222222222222307	0.00511785242398362338	2714	0.00036845983787767134
Apache	HBASE	3920	6112	19	2	0	0	1	0	0.00310863874345549719	0.00032722513089005238	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.02107659648745226211	2714	0.00036845983787767134
Apache	HBASE	1718	6112	24	1	0	0	1	0	0.00392670157068062808	0.00016361256544502619	0.00000000000000000000	0.00037133308577794280	0.33333333333333331483	0.02467005699285266043	2714	0.00036845983787767134
Apache	HBASE	14178	6112	102	55	0	0	1	0	0.01668848167539267041	0.00899869109947644061	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06745813537357790712	2714	0.00036845983787767134
Apache	HBASE	16076	6112	66	1	0	0	1	1	0.01079842931937172699	0.00016361256544502619	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.05297620569105752214	2714	0.00036845983787767134
Apache	HBASE	16074	6112	44	1	0	0	1	0	0.00719895287958115162	0.00016361256544502619	0.00000000000000000000	0.00037993920972644377	0.50000000000000000000	0.05343418103631866756	2714	0.00036845983787767134
Apache	HBASE	13737	6112	18	0	1	0	0	0	0.00294502617801047127	0.00000000000000000000	0.00000000000000000000	0.00066093853271645734	1.00000000000000000000	0.06911617065583669506	2244	0.00044563279857397502
Apache	HBASE	6529	6112	25	4	0	0	1	0	0.00409031413612565443	0.00065445026178010475	0.00000000000000000000	0.00037133308577794280	0.25000000000000000000	0.01779674634586382934	2712	0.00036873156342182890
Apache	HBASE	13734	6112	13	1	1	0	1	0	0.00212696335078534039	0.00016361256544502619	0.00000000000000000000	0.00037133308577794280	1.00000000000000000000	0.10432766204282094280	2714	0.00036845983787767134
Apache	HBASE	14079	6112	84	55	0	1	1	0	0.01374345549738219957	0.00899869109947644061	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06587340983853476328	2714	0.00036845983787767134
Apache	HBASE	13732	6112	84	26	0	1	1	0	0.01374345549738219957	0.00425392670157068078	0.00000000000000000000	0.00036845983787767134	1.00000000000000000000	0.06087921049677465918	2714	0.00036845983787767134
Apache	HBASE	13731	6112	26	5	0	0	1	0	0.00425392670157068078	0.00081806282722513089	0.00000000000000000000	0.00036845983787767134	0.50000000000000000000	0.04629058481204174902	2714	0.00036845983787767134
Apache	HBASE	14077	6112	15	0	0	0	0	0	0.00245418848167539266	0.00000000000000000000	0.00000000000000000000	0.00036900369003690036	0.20000000000000001110	0.02800008754084096912	2714	0.00036845983787767134
