Key	Group	Project	BugID	Talks	Enums	Code	Stack	CountSummaryHints	CountDescHints	CountRemainHints	Grade	Sentences	Words	Syllables	ASW	ALS
entesb3072	JBoss	ENTESB	3072	0	0	0	0	0	0	0	8.900000	2	18	32	1.780000	9.000000
entesb257	JBoss	ENTESB	257	0	0	0	0	0	0	0	1.700000	6	30	39	1.300000	5.000000
entesb2305	JBoss	ENTESB	2305	0	0	0	0	0	0	0	15.300000	2	43	82	1.910000	21.500000
entesb522	JBoss	ENTESB	522	0	1	0	0	0	5	4	10.140000	17	103	204	1.980000	6.060000
entesb1035	JBoss	ENTESB	1035	0	0	0	0	0	2	2	14.550000	5	22	53	2.410000	4.400000
entesb4622	JBoss	ENTESB	4622	0	0	0	0	0	0	0	5.860000	2	22	32	1.450000	11.000000
entesb2582	JBoss	ENTESB	2582	0	0	0	0	0	0	0	9.980000	3	44	74	1.680000	14.670000
entesb3099	JBoss	ENTESB	3099	0	0	0	0	0	18	18	22.530000	91	384	1187	3.090000	4.220000
entesb2592	JBoss	ENTESB	2592	0	0	0	0	0	1	1	14.710000	2	39	75	1.920000	19.500000
entesb605	JBoss	ENTESB	605	0	0	0	0	0	4	4	9.500000	8	106	179	1.690000	13.250000
entesb2620	JBoss	ENTESB	2620	0	0	0	0	0	0	0	15.880000	5	113	217	1.920000	22.600000
entesb523	JBoss	ENTESB	523	0	0	0	0	0	0	0	13.080000	2	26	52	2.000000	13.000000
entesb737	JBoss	ENTESB	737	0	0	0	0	1	0	0	10.740000	1	7	14	2.000000	7.000000
entesb587	JBoss	ENTESB	587	0	0	0	0	0	4	4	11.430000	22	94	202	2.150000	4.270000
entesb591	JBoss	ENTESB	591	0	0	0	0	0	1	1	11.150000	4	56	101	1.800000	14.000000
entesb601	JBoss	ENTESB	601	0	0	0	0	0	6	6	15.380000	8	46	112	2.430000	5.750000
entesb5213	JBoss	ENTESB	5213	0	0	0	0	0	0	0	2.880000	1	5	7	1.400000	5.000000
entesb2910	JBoss	ENTESB	2910	0	0	0	0	0	0	0	16.160000	4	85	169	1.990000	21.250000
entesb2913	JBoss	ENTESB	2913	0	0	0	0	0	0	0	8.380000	1	6	11	1.830000	6.000000
entesb102	JBoss	ENTESB	102	0	0	0	0	0	0	0	7.280000	2	24	37	1.540000	12.000000
entesb1150	JBoss	ENTESB	1150	0	0	0	0	0	13	13	27.460000	15	92	317	3.450000	6.130000
entesb3457	JBoss	ENTESB	3457	0	0	0	1	1	12	9	22.800000	16	98	299	3.050000	6.120000
entesb1154	JBoss	ENTESB	1154	0	1	0	0	0	0	0	7.560000	5	74	109	1.470000	14.800000
entesb648	JBoss	ENTESB	648	0	0	0	0	0	1	1	8.370000	13	75	138	1.840000	5.770000
entesb652	JBoss	ENTESB	652	0	0	0	0	0	1	1	13.270000	3	27	58	2.150000	9.000000
entesb665	JBoss	ENTESB	665	0	1	0	0	0	0	0	9.730000	6	40	77	1.930000	6.670000
entesb2202	JBoss	ENTESB	2202	0	0	0	0	0	24	24	28.420000	22	63	229	3.630000	2.860000
entesb1181	JBoss	ENTESB	1181	0	0	0	1	0	75	73	103.280000	46	134	1337	9.980000	2.910000
entesb418	JBoss	ENTESB	418	0	0	0	0	0	1	1	11.540000	17	113	235	2.080000	6.650000
entesb419	JBoss	ENTESB	419	0	0	0	0	0	19	19	14.050000	33	321	703	2.190000	9.730000
entesb932	JBoss	ENTESB	932	0	0	0	0	0	2	2	10.020000	12	80	156	1.950000	6.670000
entesb936	JBoss	ENTESB	936	0	0	0	0	0	1	1	9.440000	6	57	103	1.810000	9.500000
entesb937	JBoss	ENTESB	937	0	0	0	0	0	0	0	14.150000	2	27	56	2.070000	13.500000
entesb693	JBoss	ENTESB	693	0	1	0	0	0	2	1	14.330000	6	51	115	2.250000	8.500000
entesb3008	JBoss	ENTESB	3008	0	0	0	0	0	1	1	10.510000	3	44	76	1.730000	14.670000
entesb3522	JBoss	ENTESB	3522	0	0	0	0	0	0	0	17.130000	2	39	83	2.130000	19.500000
entesb1225	JBoss	ENTESB	1225	0	0	0	0	0	3	3	10.530000	19	79	164	2.080000	4.160000
entesb3276	JBoss	ENTESB	3276	0	0	0	0	0	11	11	21.160000	10	52	153	2.940000	5.200000
entesb1236	JBoss	ENTESB	1236	0	0	0	1	0	7	4	11.900000	5	64	122	1.910000	12.800000
entesb2980	JBoss	ENTESB	2980	0	0	0	0	0	0	0	10.270000	3	37	66	1.780000	12.330000
entesb3040	JBoss	ENTESB	3040	0	0	0	1	2	35	21	37.370000	14	52	227	4.370000	3.710000
entesb1249	JBoss	ENTESB	1249	0	0	0	0	1	4	4	18.600000	13	77	208	2.700000	5.920000
entesb2787	JBoss	ENTESB	2787	0	0	0	1	1	6	6	18.860000	5	45	118	2.620000	9.000000
entesb1260	JBoss	ENTESB	1260	0	0	0	0	0	0	0	12.840000	4	47	95	2.020000	11.750000
entesb241	JBoss	ENTESB	241	0	0	0	0	0	2	2	15.640000	10	53	131	2.470000	5.300000
entesb498	JBoss	ENTESB	498	0	0	0	0	0	8	8	53.850000	22	86	495	5.760000	3.910000
entesb4961	JBoss	ENTESB	4961	0	0	0	0	0	2	2	15.320000	7	49	117	2.390000	7.000000
jbmeta386	JBoss	JBMETA	386	0	0	0	0	1	6	6	12.670000	10	89	187	2.100000	8.900000
jbmeta286	JBoss	JBMETA	286	0	0	0	0	1	0	0	13.270000	2	13	29	2.230000	6.500000
jbmeta289	JBoss	JBMETA	289	0	0	0	1	1	89	61	57.640000	100	335	2042	6.100000	3.350000
jbmeta290	JBoss	JBMETA	290	0	0	0	0	0	0	0	11.060000	3	32	61	1.910000	10.670000
jbmeta291	JBoss	JBMETA	291	0	0	0	0	2	5	5	25.170000	4	44	136	3.090000	11.000000
jbmeta301	JBoss	JBMETA	301	0	0	0	0	0	4	4	23.770000	2	40	107	2.670000	20.000000
jbmeta302	JBoss	JBMETA	302	0	0	0	0	1	1	1	15.920000	4	49	111	2.270000	12.250000
jbmeta305	JBoss	JBMETA	305	0	0	0	0	0	2	2	10.280000	20	248	442	1.780000	12.400000
jbmeta315	JBoss	JBMETA	315	0	0	0	0	4	4	4	23.490000	2	38	102	2.680000	19.000000
jbmeta317	JBoss	JBMETA	317	0	0	0	0	4	3	3	27.500000	11	47	165	3.510000	4.270000
jbmeta320	JBoss	JBMETA	320	0	0	0	0	0	0	0	10.210000	1	9	17	1.890000	9.000000
jbmeta324	JBoss	JBMETA	324	0	0	0	0	0	0	0	14.700000	7	164	294	1.790000	23.430000
jbmeta326	JBoss	JBMETA	326	0	0	0	0	0	0	0	10.530000	2	25	45	1.800000	12.500000
jbmeta327	JBoss	JBMETA	327	0	0	0	0	0	1	1	14.820000	2	19	43	2.260000	9.500000
jbmeta207	JBoss	JBMETA	207	0	0	0	1	1	59	39	41.940000	30	176	824	4.680000	5.870000
jbmeta336	JBoss	JBMETA	336	0	0	0	0	1	0	0	28.850000	1	3	11	3.670000	3.000000
